time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.116071428571428770e-01,2.132493622448979664e+00,2.500000000000000000e+00
2.000000000000000111e-01,4.132861556883686838e-01,3.564304834117458576e+00,2.500000000000000000e+00
3.000000000000000444e-01,8.161629350992350984e-01,4.069202740676065133e+00,2.500000000000000000e+00
4.000000000000000222e-01,1.227189168992115054e+00,3.845046921243690630e+00,2.500000000000000000e+00
5.000000000000000000e-01,1.590678587442386771e+00,3.328183345971322815e+00,2.500000000000000000e+00
5.999999999999999778e-01,1.897645339826496080e+00,2.876182201455277365e+00,2.500000000000000000e+00
6.999999999999999556e-01,2.167897530541198492e+00,2.681188686135400179e+00,2.500000000000000000e+00
7.999999999999999334e-01,2.414089343346224048e+00,2.464725825094679745e+00,2.048471071170975044e+00
8.999999999999999112e-01,2.609167416888194424e+00,1.720243382504546892e+00,9.218770768487599687e-01
9.999999999999998890e-01,2.747061672533007037e+00,1.254238844581578860e+00,8.018531028880179212e-01
1.099999999999999867e+00,2.849319924414393412e+00,9.553550647450722577e-01,6.623157913768750182e-01
1.199999999999999956e+00,2.926263386087355034e+00,7.130599423025494321e-01,4.705075480279401479e-01
1.300000000000000044e+00,2.982796853102993140e+00,5.165335996836142307e-01,3.273079749910329239e-01
1.400000000000000133e+00,3.024318049327415103e+00,3.856023925123991392e-01,2.590426522413556976e-01
1.500000000000000222e+00,3.055772591077727363e+00,2.968429841517081225e-01,2.007847311244908284e-01
1.600000000000000311e+00,3.078778788262244603e+00,2.055318005877673770e-01,1.155361535551963498e-01
1.700000000000000400e+00,3.094985625868891699e+00,1.476469288759246212e-01,9.561881269736778599e-02
1.800000000000000488e+00,3.107382462313682758e+00,1.204924327920283700e-01,8.969858981341741200e-02
1.900000000000000577e+00,3.116834371983765450e+00,8.563299138521456022e-02,4.781923803669559797e-02
2.000000000000000444e+00,3.123522254735419779e+00,6.029720268901495733e-02,3.455308405692177759e-02
2.100000000000000533e+00,3.128225631370878723e+00,4.234749319545791368e-02,2.595269356672806269e-02
2.200000000000000622e+00,3.131522095366654046e+00,2.961200848682244910e-02,1.993260135893230520e-02
2.300000000000000711e+00,3.133546102710425441e+00,1.533593243440943728e-02,9.629408223225856961e-03
2.400000000000000799e+00,3.135422090774426351e+00,2.375863234700871171e-02,3.130526507046191287e-02
2.500000000000000888e+00,3.137514397532197297e+00,2.125403516810262308e-02,1.297339266159359093e-02
2.600000000000000977e+00,3.138535710953906044e+00,2.764287528136025185e-03,-1.140409192434976675e-02
2.700000000000001066e+00,3.139274277098671018e+00,1.193338170898893165e-02,1.902510334929760627e-02
2.800000000000001155e+00,3.140001242592799890e+00,4.485660331640351287e-03,-2.885298879055406274e-03
2.900000000000001243e+00,3.140433893250885511e+00,4.731616444546091899e-03,4.463347555583639312e-03
3.000000000000001332e+00,3.140800508848719641e+00,3.276040075102347546e-03,1.269412448047801912e-03
3.100000000000001421e+00,3.141046054053876269e+00,2.109855134173820815e-03,6.653498284224406475e-04
3.200000000000001510e+00,3.141204099064973665e+00,1.357034355566892571e-03,5.265178235618855722e-04
3.300000000000001599e+00,3.141287618945979965e+00,5.263620563216705800e-04,3.407337340047809655e-05
3.400000000000001688e+00,3.141326472610248111e+00,3.275622159928646450e-04,5.817764360933227975e-04
3.500000000000001776e+00,3.141344778920132974e+00,9.163300539909960581e-05,4.402241117541573793e-04
3.600000000000001865e+00,3.141349631193209202e+00,2.049808606036259123e-05,5.934584246238268183e-04
3.700000000000001954e+00,3.141357424325344816e+00,1.327501676832943886e-04,7.982341692459569722e-04
3.800000000000002043e+00,3.141377476880054864e+00,2.785280423637584977e-04,8.112196045649974156e-04
3.900000000000002132e+00,3.141420152150667278e+00,5.958975253530533409e-04,9.509234329726717156e-04
4.000000000000001776e+00,3.141485207940962976e+00,7.734098227095813089e-04,6.558559493970777740e-04
4.100000000000001421e+00,3.141550070686105034e+00,6.298257428907002176e-04,9.296017870859382606e-05
4.200000000000001066e+00,3.141593220225264105e+00,3.281054906370229024e-04,-2.643106937294514023e-04
4.300000000000000711e+00,3.141602108352538725e+00,-8.874970149218730942e-05,-5.046081378534879877e-04
4.400000000000000355e+00,3.141593854922509976e+00,-8.775677643264301049e-05,-2.092282212930239409e-05
4.500000000000000000e+00,3.141592147845750027e+00,3.654281625860381641e-05,1.462611512590092930e-04
4.599999999999999645e+00,3.141608776375296674e+00,2.889246874686017671e-04,2.956666022796736008e-04
4.699999999999999289e+00,3.141628091703557502e+00,1.413622847571344501e-04,-2.299215544598487036e-04
4.799999999999998934e+00,3.141631024992579846e+00,-5.535933139202313998e-05,-3.341510315795256491e-04
4.899999999999998579e+00,3.141608559180303573e+00,-3.856293895925306170e-04,-4.901637968728172470e-04
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,4.252721901861638860e-04
