time,cart_pos,pend_pos,cart_vel,pend_vel,force
4.053115844726562500e-06,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.410874108323782803e-04
1.000165939331054688e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.999472850739705487e-01
2.000212669372558594e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.205542801047195134e+00
3.000140190124511719e-02,4.539062499999999369e-05,3.141592653589793116e+00,4.539391511683356535e-03,0.000000000000000000e+00,1.698184575323714585e+00
4.000163078308105469e-02,1.815624999999999748e-04,3.140058672801907313e+00,1.361687583444592606e-02,-1.533945678655486700e-01,2.022101347590514742e+00
5.000114440917968750e-02,4.312109374999999536e-04,3.140058672801907313e+00,2.496605803390476719e-02,0.000000000000000000e+00,2.369498250921111104e+00
6.000328063964843750e-02,8.170312499999998323e-04,3.136990711226136153e+00,3.857379099923721050e-02,-3.067306328447578778e-01,2.666081665370244380e+00
7.000184059143066406e-02,1.361718749999999865e-03,3.135456730438250350e+00,5.447659489233851182e-02,-1.534201720331109242e-01,2.994262108484539553e+00
8.000183105468750000e-02,2.110664062499999910e-03,3.130854788074593831e+00,7.489460267505901325e-02,-4.601946752414942665e-01,3.278538222912815048e+00
9.000229835510253906e-02,3.063867187499999534e-03,3.126252845710936867e+00,9.531585838598161109e-02,-4.601727324748088321e-01,3.562453234849211725e+00
1.000039577484130859e-01,4.266718749999999678e-03,3.120116922559394101e+00,1.202651995232419668e-01,-6.134905129489494069e-01,3.833456234493560100e+00
1.100015640258789062e-01,5.741914062499998972e-03,3.113980999407851780e+00,1.475548517873750409e-01,-6.137392272960811024e-01,4.089298256230097017e+00
1.200013160705566406e-01,7.534843749999999007e-03,3.104777114680537853e+00,1.792974145248199813e-01,-9.204112948193150512e-01,4.304247906136567714e+00
1.300008296966552734e-01,9.622812499999999422e-03,3.095573229953223926e+00,2.088070308290217725e-01,-9.204332402019912429e-01,4.541489683673275657e+00
1.400141716003417969e-01,1.200582031249999848e-02,3.084835364438024197e+00,2.379832662682443978e-01,-1.072355824706880734e+00,4.718315572473771091e+00
1.500015258789062500e-01,1.475195312499999814e-02,3.074097498922824911e+00,2.749609892575793357e-01,-1.075146151393230332e+00,4.905981662353089412e+00
