time,cart_pos,pend_pos,cart_vel,pend_vel,force
4.768371582031250000e-06,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.592061968996283186e-04
1.001429557800292969e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.600874529654539913e-01
2.002835273742675781e-02,2.269531249999999685e-05,3.141592653589793116e+00,2.266345412123231713e-03,0.000000000000000000e+00,1.525184320514773706e+00
3.004598617553710938e-02,1.134765624999999842e-04,3.141592653589793116e+00,9.062145322131516523e-03,0.000000000000000000e+00,2.056488465972024837e+00
4.005575180053710938e-02,3.177343749999999830e-04,3.140058672801907313e+00,2.040585365853658795e-02,-1.532484221263474833e-01,2.338940260034380270e+00
5.006909370422363281e-02,7.035546874999998616e-04,3.138524692014021955e+00,3.853062406247766830e-02,-1.531936892438084397e-01,2.626262503077706700e+00
6.008315086364746094e-02,1.293632812499999861e-03,3.135456730438250350e+00,5.892498071520403669e-02,-3.063654947170407761e-01,2.885388631541289328e+00
7.009601593017578125e-02,2.065273437499999618e-03,3.132388768862479189e+00,7.706491797033118707e-02,-3.064019694050356679e-01,3.151447954583943112e+00
8.011007308959960938e-02,3.063867187499999534e-03,3.126252845710936867e+00,9.971919813342221273e-02,-6.127309894339928453e-01,3.389957300364823123e+00
9.012341499328613281e-02,4.425585937499999616e-03,3.120116922559394101e+00,1.359904378675682868e-01,-6.127747569753667634e-01,3.619712707018156284e+00
1.001369953155517578e-01,5.923476562499999272e-03,3.113980999407851780e+00,1.495859199999999556e-01,-6.127601671001563499e-01,3.857127182248779818e+00
1.101500988006591797e-01,7.716406249999999307e-03,3.104777114680537853e+00,1.790583399209486337e-01,-9.191840213179607311e-01,4.040375963415019811e+00
1.201639175415039062e-01,9.804374999999998855e-03,3.095573229953223926e+00,2.085087421728053780e-01,-9.191183668796388817e-01,4.233815612061580858e+00
1.301777362823486328e-01,1.218738281249999791e-02,3.084835364438024197e+00,2.379719340015712947e-01,-1.072304761359593517e+00,4.399844606457560481e+00
1.401913166046142578e-01,1.486542968749999735e-02,3.074097498922824911e+00,2.674414933333332800e-01,-1.072330292425295761e+00,4.546941112246146055e+00
1.502048969268798828e-01,1.786121093749999666e-02,3.060291671831854021e+00,2.991718399999999112e-01,-1.378710375975418234e+00,4.678285590995533205e+00
1.602184772491455078e-01,2.115203124999999809e-02,3.046485844740883575e+00,3.286357333333334574e-01,-1.378710375975374047e+00,4.774863225899128594e+00
1.702320575714111328e-01,2.476058593749999592e-02,3.032680017649912685e+00,3.603660799999998110e-01,-1.378710375975418234e+00,4.867886659167464103e+00
1.802456378936767578e-01,2.870957031249999486e-02,3.015806228983170634e+00,3.943628799999999157e-01,-1.685090459525496520e+00,4.916961987432552306e+00
1.902594566345214844e-01,3.297628906249999714e-02,2.998932440316428583e+00,4.260830818313852131e-01,-1.685050339279323239e+00,4.951653514358441477e+00
2.002730369567871094e-01,3.756074218749999583e-02,2.980524670861800729e+00,4.578235733333331781e-01,-1.838280501300557646e+00,4.974449428752470759e+00
