time,cart_pos,pend_pos,cart_vel,pend_vel,force
4.529953002929687500e-06,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.412458099980796803e-04
1.001477241516113281e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.601238488583895725e-01
2.002859115600585938e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.526011598779795753e+00
3.004217147827148438e-02,9.078124999999998739e-05,3.141592653589793116e+00,9.065813333333332114e-03,0.000000000000000000e+00,2.056399669175575262e+00
4.005527496337890625e-02,3.177343749999999830e-04,3.140058672801907313e+00,2.266561264822134283e-02,-1.531973368863415730e-01,2.338153134070636963e+00
5.006909370422363281e-02,7.035546874999998616e-04,3.138524692014021955e+00,3.852878931454011696e-02,-1.531863944799102539e-01,2.626263407228865532e+00
6.008219718933105469e-02,1.248242187499999786e-03,3.135456730438250350e+00,5.439747035573121864e-02,-3.063946737726831460e-01,2.886925537746877435e+00
7.009649276733398438e-02,1.974492187499999902e-03,3.132388768862479189e+00,7.252132657191154297e-02,-3.063582008214480457e-01,3.153053978360822907e+00
8.010959625244140625e-02,2.904999999999999596e-03,3.127786826498822226e+00,9.292901185770748029e-02,-4.595920106589803655e-01,3.398367079096261900e+00
9.012317657470703125e-02,4.062460937499999016e-03,3.123184884135165262e+00,1.155891199999999480e-01,-4.595701253251394114e-01,3.633128360561401760e+00
1.001365184783935547e-01,5.469570312499998956e-03,3.115514980195737138e+00,1.405234524631538695e-01,-7.659684462191752585e-01,3.855349637550753439e+00
1.101500988006591797e-01,7.149023437499998912e-03,3.107845076256309014e+00,1.677175466666666614e-01,-7.659502088752175863e-01,4.051093500183739593e+00
1.201639175415039062e-01,9.100820312499998885e-03,3.100175172316880889e+00,1.949103459441441921e-01,-7.659319723996842466e-01,4.245867854410730224e+00
1.301774978637695312e-01,1.134765624999999924e-02,3.089437306801681160e+00,2.243788800000000305e-01,-1.072330292425340170e+00,4.405763048830361406e+00
1.401910781860351562e-01,1.361718749999999735e-02,3.080233422074367677e+00,2.266453333333331432e-01,-9.191402506502345249e-01,4.567492131702494795e+00
1.502056121826171875e-01,1.643140624999999896e-02,3.067961575771282146e+00,2.810134501476051483e-01,-1.225403629092868707e+00,4.693566723976275945e+00
1.602189540863037109e-01,1.985839843749999736e-02,3.052621767892425897e+00,3.422426019667133557e-01,-1.531936892438350517e+00,4.766345128296324951e+00
1.702325344085693359e-01,2.328539062499999576e-02,3.038815940801455007e+00,3.422344533333331884e-01,-1.378710375975418234e+00,4.874969868560837583e+00
1.802458763122558594e-01,2.707550781249999650e-02,3.023476132922598758e+00,3.785067187313984616e-01,-1.531936892438350517e+00,4.932876336680289242e+00
1.902592182159423828e-01,3.118335937499999710e-02,3.006602344255856707e+00,4.102378209004977072e-01,-1.685130581682203088e+00,4.958390051742751936e+00
2.002732753753662109e-01,3.558624999999999289e-02,2.989728555589114656e+00,4.396710099519066106e-01,-1.685010220943546688e+00,4.992514538172196481e+00
2.102866172790527344e-01,4.035226562499999448e-02,2.971320786134486802e+00,4.759665325364891286e-01,-1.838324270926055881e+00,4.959092794117167635e+00
