time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.116071428571428770e-01,2.132493622448979664e+00,2.500000000000000000e+00
2.000000000000000111e-01,4.132861556883686838e-01,3.564304834117458576e+00,2.500000000000000000e+00
3.000000000000000444e-01,8.161629350992353205e-01,4.069202740676065133e+00,2.500000000000000000e+00
4.000000000000000222e-01,1.227189168992115054e+00,3.845046921243690186e+00,2.500000000000000000e+00
5.000000000000000000e-01,1.590678587442386549e+00,3.328183345971322371e+00,2.500000000000000000e+00
5.999999999999999778e-01,1.897645339826495858e+00,2.876182201455276921e+00,2.500000000000000000e+00
6.999999999999999556e-01,2.167897530541198492e+00,2.681188686135398846e+00,2.500000000000000000e+00
7.999999999999999334e-01,2.403988079560239743e+00,2.271719534898197779e+00,1.822202762364932838e+00
8.999999999999999112e-01,2.593470055733771762e+00,1.767921289186273670e+00,1.230186251778851991e+00
9.999999999999998890e-01,2.737462205995891740e+00,1.330988543147842318e+00,8.733910204486164952e-01
1.099999999999999867e+00,2.844813233143077991e+00,9.911098898575794180e-01,6.364426348450498150e-01
1.199999999999999956e+00,2.924190049648922596e+00,7.311008707637903781e-01,4.603451847490732662e-01
1.300000000000000044e+00,2.982416959642768095e+00,5.346007135594975646e-01,3.321956387092621088e-01
1.400000000000000133e+00,3.025082345062498845e+00,3.932029775832109886e-01,2.470390584670748291e-01
1.500000000000000222e+00,3.056339018018660703e+00,2.870718086284347326e-01,1.780021023172927708e-01
1.600000000000000311e+00,3.079206039814207152e+00,2.105776970954988114e-01,1.317787424369232241e-01
1.700000000000000400e+00,3.095866030095479449e+00,1.523285521613923776e-01,9.379992362601842493e-02
1.800000000000000488e+00,3.108061435859367894e+00,1.129544048598029871e-01,7.275211093360946235e-02
1.900000000000000577e+00,3.117029016700849198e+00,8.232014410571046603e-02,5.123767558882901668e-02
2.000000000000000444e+00,3.123572847750811121e+00,6.015572772488423509e-02,3.788132026064960217e-02
2.100000000000000533e+00,3.128385972796043468e+00,4.455597450568291040e-02,2.857486781429845885e-02
2.200000000000000622e+00,3.132016628046519369e+00,3.425696180948731989e-02,2.225194856212981201e-02
2.300000000000000711e+00,3.134717435511764183e+00,2.460700922945448579e-02,1.349121408670249725e-02
2.400000000000000799e+00,3.136603016262842658e+00,1.663548114194200039e-02,8.462709566189932295e-03
2.500000000000000888e+00,3.137932354021967463e+00,1.228958068780986942e-02,7.882715192016958097e-03
2.600000000000000977e+00,3.138913452735841325e+00,9.060697924605358791e-03,5.730996925146850975e-03
2.700000000000001066e+00,3.139635946070642891e+00,6.664141053286347718e-03,4.153177242696631105e-03
2.800000000000001155e+00,3.140168293985068804e+00,4.919708174995645646e-03,3.038012214502256326e-03
2.900000000000001243e+00,3.140566506678784453e+00,3.731537012679077888e-03,2.304218485201611332e-03
3.000000000000001332e+00,3.140889350775687650e+00,3.227843741597883134e-03,2.064838404588687035e-03
3.100000000000001421e+00,3.140976492177837365e+00,-8.788059264049214976e-04,-3.023786187617012299e-03
3.200000000000001510e+00,3.141044104956035365e+00,1.984464568929763997e-03,5.087642973604124264e-03
3.300000000000001599e+00,3.141176114930074981e+00,9.583981373101778303e-04,2.170225527523905816e-04
3.400000000000001688e+00,3.141302766342460639e+00,1.664643315177239064e-03,1.930167982599729874e-03
3.500000000000001776e+00,3.141407539428504592e+00,6.900267555900392634e-04,-4.191572866648026526e-04
3.600000000000001865e+00,3.141460843906090705e+00,4.746935739864416998e-04,2.258346162936327242e-04
3.700000000000001954e+00,3.141457491620828435e+00,-4.381535132968064714e-04,-7.288805994113997481e-04
3.800000000000002043e+00,3.141473496165625434e+00,6.511052141822750187e-04,1.667413217742025767e-03
3.900000000000002132e+00,3.141522902226493219e+00,4.308796194509366233e-04,4.063221710424620172e-05
4.000000000000001776e+00,3.141533029788626141e+00,-1.460628351396604688e-04,-5.036319492836743893e-04
4.100000000000001421e+00,3.141514427208978333e+00,-2.403315913850985930e-04,5.965134004470021767e-05
4.200000000000001066e+00,3.141486598362666527e+00,-3.423269898483831657e-04,1.058156708001785221e-04
4.300000000000000711e+00,3.141457452364174063e+00,-2.871125243021927106e-04,3.710218898323646634e-04
4.400000000000000355e+00,3.141429390878949679e+00,-3.099045040564436717e-04,3.572142605829948104e-04
4.500000000000000000e+00,3.141412580012450384e+00,-7.697520865985251295e-05,7.350822478889519531e-04
4.599999999999999645e+00,3.141420424142244983e+00,2.105422450509528143e-04,8.350615617444003512e-04
4.699999999999999289e+00,3.141456407519226168e+00,5.216134361149880709e-04,8.285470937775664488e-04
4.799999999999998934e+00,3.141518642048376719e+00,7.780460766174533867e-04,6.520414065248673853e-04
4.899999999999998579e+00,3.141574177427204795e+00,4.479526444058962078e-04,-2.177312110092478957e-04
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,-4.940022918544436118e-04
