time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.116071428571428492e-01,2.132493622448979664e+00,2.500000000000000000e+00
2.000000000000000111e-01,4.132861556883687393e-01,3.564304834117458576e+00,2.500000000000000000e+00
3.000000000000000444e-01,8.161629350992352094e-01,4.069202740676065133e+00,2.500000000000000000e+00
4.000000000000000222e-01,1.227189168992115054e+00,3.845046921243690630e+00,2.500000000000000000e+00
5.000000000000000000e-01,1.590678587442386771e+00,3.328183345971322371e+00,2.500000000000000000e+00
5.999999999999999778e-01,1.897645339826496080e+00,2.876182201455276921e+00,2.500000000000000000e+00
6.999999999999999556e-01,2.167897530541198048e+00,2.681188686135398402e+00,2.500000000000000000e+00
7.999999999999999334e-01,2.405767393848318392e+00,2.305717147188285132e+00,1.862059402417909570e+00
8.999999999999999112e-01,2.596208383023753896e+00,1.758984191402030772e+00,1.175293294596299720e+00
9.999999999999998890e-01,2.738506544827639999e+00,1.306062957733645558e+00,8.481460204798263458e-01
1.099999999999999867e+00,2.843515256418942094e+00,9.662323417603303488e-01,6.346773889086014808e-01
1.199999999999999956e+00,2.921314196236557859e+00,7.206096155026373573e-01,4.816473340207070297e-01
1.300000000000000044e+00,2.978819035919639369e+00,5.290424202010624022e-01,3.461833979701862130e-01
1.400000000000000133e+00,3.020905245934321304e+00,3.864886170042975966e-01,2.557151660875117694e-01
1.500000000000000222e+00,3.052013018376002584e+00,2.895005842539066232e-01,2.004284702313663957e-01
1.600000000000000311e+00,3.075178508204188699e+00,2.143534230916545602e-01,1.451041155165009866e-01
1.700000000000000400e+00,3.092372199187922277e+00,1.595435705729106035e-01,1.087146518675247975e-01
1.800000000000000488e+00,3.105086877709771542e+00,1.171865392533106148e-01,7.852972271435675056e-02
1.900000000000000577e+00,3.114547759839953578e+00,8.840885090942876556e-02,6.139636346721170923e-02
2.000000000000000444e+00,3.121608215222809068e+00,6.522771037718477771e-02,4.323711941533717878e-02
2.100000000000000533e+00,3.126778396395454518e+00,4.738077970893753155e-02,3.111435958530218981e-02
2.200000000000000622e+00,3.130575979172339984e+00,3.522013078535214670e-02,2.436129903897303606e-02
2.300000000000000711e+00,3.133408827188242540e+00,2.637080162477121667e-02,1.834470489412778904e-02
2.400000000000000799e+00,3.135568562753214383e+00,2.048373797811699204e-02,1.442364461358929678e-02
2.500000000000000888e+00,3.137129050026011612e+00,1.367340054666494470e-02,7.666588269625887811e-03
2.600000000000000977e+00,3.138209587074955564e+00,9.870100776599579490e-03,7.203538374936542532e-03
2.700000000000001066e+00,3.139015628625793752e+00,7.622624278127206748e-03,6.225904950948215125e-03
2.800000000000001155e+00,3.139631295993391635e+00,5.756333208067556002e-03,4.557098005053311814e-03
2.900000000000001243e+00,3.140097558825967639e+00,4.372444912860487358e-03,3.513188462377953621e-03
3.000000000000001332e+00,3.140464074997626032e+00,3.557199401467433988e-03,2.959655275805459472e-03
3.100000000000001421e+00,3.140753983015632134e+00,2.735923003881620200e-03,1.981512148291326644e-03
3.200000000000001510e+00,3.140974692254835166e+00,2.060971294881103026e-03,1.392671929782711166e-03
3.300000000000001599e+00,3.141158113215032355e+00,1.880421077654448585e-03,1.395567084594882216e-03
3.400000000000001688e+00,3.141331410381014599e+00,1.829273994878788693e-03,1.051350886193043368e-03
3.500000000000001776e+00,3.141488488646521748e+00,1.559685596315661671e-03,3.214896406993068660e-04
3.600000000000001865e+00,3.141618163161690624e+00,1.248537938717010024e-03,-1.468977154794001184e-04
3.700000000000001954e+00,3.141715497612185271e+00,8.758238423397714679e-04,-5.616490623901499064e-04
3.800000000000002043e+00,3.141755090919074345e+00,6.628756370944289145e-05,-1.324800725276751960e-03
3.900000000000002132e+00,3.141735987802304564e+00,-4.172464830949573983e-04,-1.015947876195567173e-03
4.000000000000001776e+00,3.141698180676762320e+00,-3.935586355701804848e-04,-3.476824308815422340e-04
4.100000000000001421e+00,3.141669623739682393e+00,-2.354821111160111061e-04,-8.732165344629339888e-05
4.200000000000001066e+00,3.141665237725467019e+00,1.017767383114933592e-04,1.942634136234380380e-04
4.300000000000000711e+00,3.141671779273891740e+00,4.478114629557052376e-05,-2.706456316297740049e-04
4.400000000000000355e+00,3.141695292755834146e+00,4.139839180574701977e-04,2.135279148006787617e-04
4.500000000000000000e+00,3.141731985386861048e+00,3.748350538747145431e-04,-3.459399090884372014e-04
4.599999999999999645e+00,3.141732303780997881e+00,-2.893198874934676721e-04,-1.177731566638704494e-03
4.699999999999999289e+00,3.141702559550890062e+00,-3.403173503626822000e-04,-4.307173403696567789e-04
4.799999999999998934e+00,3.141660784259467043e+00,-5.300060035383245480e-04,-5.093770920182213698e-04
4.899999999999998579e+00,3.141613046872377968e+00,-4.944330170246469518e-04,-1.222459408827672521e-04
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,5.452608584316230881e-04
