time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.277739204677054707e-01,2.424869011340608616e+00,2.500000000000000000e+00
2.000000000000000111e-01,4.700613348212681064e-01,4.027807881363052900e+00,2.500000000000000000e+00
3.000000000000000444e-01,9.246505455667282103e-01,4.597311465763501026e+00,2.500000000000000000e+00
4.000000000000000222e-01,1.391040038663651224e+00,4.439551638086447483e+00,2.500000000000000000e+00
5.000000000000000000e-01,1.818745614909080155e+00,4.093948413320188884e+00,2.479717865090727891e+00
5.999999999999999778e-01,2.176490697007125164e+00,3.285228084557482831e+00,1.717909862939649868e+00
6.999999999999999556e-01,2.448851600407558671e+00,2.474117409343659091e+00,1.196350684846634094e+00
7.999999999999999334e-01,2.648162369959926377e+00,1.805382136943914473e+00,8.340815302947991450e-01
8.999999999999999112e-01,2.791447027785609158e+00,1.297249899623595271e+00,5.847283744050267851e-01
9.999999999999998890e-01,2.893621329300134715e+00,9.250439725242419753e-01,4.112961781543953421e-01
1.099999999999999867e+00,2.966189403979082151e+00,6.569414690721145922e-01,2.895814885716140319e-01
1.199999999999999956e+00,3.017640472295420206e+00,4.659445624414805809e-01,2.044759563002709335e-01
1.300000000000000044e+00,3.054099129555305936e+00,3.301986055944695631e-01,1.440445664377985879e-01
1.400000000000000133e+00,3.079851903114357636e+00,2.325303409201038840e-01,9.987239573421770322e-02
1.500000000000000222e+00,3.097966192873673918e+00,1.633943125790502937e-01,7.031450406615639970e-02
1.600000000000000311e+00,3.110706191241407126e+00,1.150469562239073290e-01,5.024567929755324736e-02
1.700000000000000400e+00,3.119720678368543609e+00,8.184911584953269426e-02,3.665798156407983760e-02
1.800000000000000488e+00,3.126167581215028246e+00,5.887095575383793911e-02,2.649831440142528388e-02
1.900000000000000577e+00,3.130743082204675787e+00,4.117701421722656102e-02,1.712377381545303681e-02
2.000000000000000444e+00,3.133941524111738985e+00,2.876581309889153157e-02,1.208596605531789443e-02
2.100000000000000533e+00,3.136192430564470168e+00,2.040888847392014968e-02,8.937941513117043241e-03
2.200000000000000622e+00,3.137791294581248724e+00,1.451552101476485945e-02,6.310907167531663170e-03
2.300000000000000711e+00,3.138922692513703261e+00,1.021444912679558142e-02,4.281235535481528465e-03
2.400000000000000799e+00,3.139724715248331854e+00,7.299179183019727235e-03,3.115464927438407836e-03
2.500000000000000888e+00,3.140299857955612506e+00,5.254329285221983475e-03,2.170178567756233558e-03
2.600000000000000977e+00,3.140704806985846975e+00,3.610237382533822842e-03,1.260750563706909862e-03
2.700000000000001066e+00,3.140985363050825097e+00,2.524548538761594522e-03,9.105546234037865429e-04
2.800000000000001155e+00,3.141182099566888208e+00,1.775804473557771089e-03,6.150679528289278034e-04
2.900000000000001243e+00,3.141315150645966003e+00,1.147856179931814290e-03,2.884729773484956579e-04
3.000000000000001332e+00,3.141399817289784568e+00,7.166085053745576122e-04,1.893384495874125958e-04
3.100000000000001421e+00,3.141456094374377006e+00,5.122756135381232711e-04,2.319766231813571609e-04
3.200000000000001510e+00,3.141504237317244819e+00,5.163705038117566816e-04,3.175575449655008357e-04
3.300000000000001599e+00,3.141555283319534819e+00,5.682885644466592438e-04,2.515860620996195410e-04
3.400000000000001688e+00,3.141608813770896624e+00,5.751747663338011235e-04,8.169172081078920422e-05
3.500000000000001776e+00,3.141662617189965090e+00,5.750147473218157525e-04,-5.381016571208422001e-05
3.600000000000001865e+00,3.141701707470641480e+00,2.959157188306046340e-04,-4.700984541189795192e-04
3.700000000000001954e+00,3.141732850927415832e+00,3.615476958332746664e-04,-2.009280952000923413e-04
3.800000000000002043e+00,3.141733727077729466e+00,-2.637579879077049574e-04,-9.894862341854192452e-04
3.900000000000002132e+00,3.141691169838912945e+00,-6.030950474421840771e-04,-6.804610266743177458e-04
4.000000000000001776e+00,3.141632874449786783e+00,-6.386099183844937219e-04,-2.565766639002722187e-04
4.100000000000001421e+00,3.141571923967533930e+00,-6.614554786391414797e-04,-1.031326528026574449e-04
4.200000000000001066e+00,3.141513973998591336e+00,-5.867952528664925919e-04,1.437979016856893088e-04
4.300000000000000711e+00,3.141472883779007574e+00,-3.247342233621672205e-04,4.736902744489746410e-04
4.400000000000000355e+00,3.141458578309107796e+00,-1.965044081079973077e-05,6.095159168751509244e-04
4.500000000000000000e+00,3.141469562452805953e+00,2.236941744002760978e-04,5.721371280805913947e-04
4.599999999999999645e+00,3.141497378453611322e+00,3.544087123381367858e-04,4.234003164899345661e-04
4.699999999999999289e+00,3.141525376707925421e+00,2.564964945090546277e-04,1.177414791397463485e-04
4.799999999999998934e+00,3.141553334641641992e+00,3.316636202410459680e-04,2.317558473110133371e-04
4.899999999999998579e+00,3.141581399547707765e+00,2.754005462848966310e-04,2.741279584524533081e-05
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,-2.641865209302039427e-04
