time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.083226800930266770e-02,1.850987142158920865e-02,8.901900845403980522e-01,2.500000000000000000e+00
8.166453601860533540e-02,7.235860689933687473e-02,1.714973130786103805e+00,2.500000000000000000e+00
1.224968040279079962e-01,1.582558185192990408e-01,2.445905594694697260e+00,2.500000000000000000e+00
1.633290720372106708e-01,2.718420455520962897e-01,3.059925463058966066e+00,2.500000000000000000e+00
2.041613400465133454e-01,4.079450438401578949e-01,3.541307609471852302e+00,2.500000000000000000e+00
2.449936080558160201e-01,5.609193502712701562e-01,3.883521852028505528e+00,2.500000000000000000e+00
2.858258760651186670e-01,7.250524509929088257e-01,4.090260571056197669e+00,2.500000000000000000e+00
3.266581440744213416e-01,8.949892230718721198e-01,4.175028513626035220e+00,2.500000000000000000e+00
3.674904120837240162e-01,1.066108213684196837e+00,4.159185881184332523e+00,2.500000000000000000e+00
4.083226800930266909e-01,1.234790590074114291e+00,4.068926508797649610e+00,2.500000000000000000e+00
4.491549481023293655e-01,1.398552228330043112e+00,3.932018004321053972e+00,2.500000000000000000e+00
4.899872161116320401e-01,1.556046146053859713e+00,3.775081991267073445e+00,2.500000000000000000e+00
5.308194841209347148e-01,1.706970030005866557e+00,3.621861913898202889e+00,2.500000000000000000e+00
5.716517521302373339e-01,1.851924290054693722e+00,3.492544413762973754e+00,2.500000000000000000e+00
6.124840201395399530e-01,1.990131319991190306e+00,3.301464734187306238e+00,2.212209611067932791e+00
6.533162881488425722e-01,2.119456626704236513e+00,3.065230495070640160e+00,1.926101737745623987e+00
6.941485561581451913e-01,2.238572454038770143e+00,2.806339902098745842e+00,1.672551964665813129e+00
7.349808241674478104e-01,2.346912487376474399e+00,2.539887292324214396e+00,1.445021544724430118e+00
7.758130921767504296e-01,2.444481795998586726e+00,2.279165442683396048e+00,1.250074607514236824e+00
8.166453601860530487e-01,2.531675248288609126e+00,2.030584922353695365e+00,1.077240733265225625e+00
8.574776281953556678e-01,2.609113858173544021e+00,1.799257185102088652e+00,9.287516462007388007e-01
8.983098962046582869e-01,2.677554331497472795e+00,1.587149761924546487e+00,7.994688438554657939e-01
9.391421642139609061e-01,2.737805867842798335e+00,1.395161033959459562e+00,6.882470670531908308e-01
9.799744322232635252e-01,2.790679858398086743e+00,1.222729993966424011e+00,5.916076547271252872e-01
1.020806700232566255e+00,2.836959343656771715e+00,1.069160716888896800e+00,5.089219105539808385e-01
1.061638968241868985e+00,2.877383215164784680e+00,9.330865496048311725e-01,4.375480197639605162e-01
1.102471236251171716e+00,2.912633929229461849e+00,8.131549864428201380e-01,3.764406069660886645e-01
1.143303504260474446e+00,2.943341788595185804e+00,7.081844362746039234e-01,3.248560531821519382e-01
1.184135772269777176e+00,2.970077401180894139e+00,6.164536698799933934e-01,2.800028844030422182e-01
1.224968040279079906e+00,2.993345571896089297e+00,5.364469546281831480e-01,2.411774322049490271e-01
1.265800308288382636e+00,3.013593835848295210e+00,4.668572016775117128e-01,2.077745206639664000e-01
1.306632576297685366e+00,3.031216983759837724e+00,4.063927335323904710e-01,1.787441463301022160e-01
1.347464844306988097e+00,3.046560388222332882e+00,3.539039392254668126e-01,1.534888917594339486e-01
1.388297112316290827e+00,3.059928014187839995e+00,3.084899927825343613e-01,1.318185192963513275e-01
1.429129380325593557e+00,3.071589450597416171e+00,2.693516591772353030e-01,1.132301543853526105e-01
1.469961648334896287e+00,3.081778844636934966e+00,2.355413977287368898e-01,9.660072191050636525e-02
1.510793916344199017e+00,3.090704981844852650e+00,2.067359207118335540e-01,8.305356987839000726e-02
1.551626184353501747e+00,3.098532575370230635e+00,1.811219183131424493e-01,6.786373221729029293e-02
1.592458452362804477e+00,3.105398192463429297e+00,1.590597172049231789e-01,5.663536609488227513e-02
1.633290720372107208e+00,3.111448102773674229e+00,1.406756764347650845e-01,4.838142165811276652e-02
1.674122988381409938e+00,3.116806257651604906e+00,1.247771583315124416e-01,3.903291916334231809e-02
1.714955256390712668e+00,3.121557433889764699e+00,1.106072624352513328e-01,2.944202061132891735e-02
1.755787524400015398e+00,3.125773401477158764e+00,9.825562920971661618e-02,2.173447662758597534e-02
1.796619792409318128e+00,3.129519043358329977e+00,8.730641066001267048e-02,1.431235335529739382e-02
1.837452060418620858e+00,3.132817311587327680e+00,7.613582567275313517e-02,3.597529584090846354e-03
1.878284328427923588e+00,3.135664145081904497e+00,6.497894326061130765e-02,-5.322957192761181705e-03
1.919116596437226319e+00,3.138048024227257926e+00,5.325519753999662098e-02,-1.471867207972726681e-02
1.959948864446529049e+00,3.139915372848220976e+00,3.949043200734723286e-02,-2.709709049457615510e-02
2.000781132455831557e+00,3.141154709019580160e+00,2.229254628484731229e-02,-4.215933688699534387e-02
2.041613400465134287e+00,3.141592653589793116e+00,0.000000000000000000e+00,-6.044226717346363326e-02
