time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.397052973736910841e+00
5.000000000000000278e-02,0.000000000000000000e+00,-4.365790542927845408e-01,-1.899351752786864189e+00
1.000000000000000056e-01,-2.182895271463923537e-02,-9.891971906987315766e-01,-2.255956559190166910e+00
1.500000000000000222e-01,-7.128881224957574203e-02,-1.574680751320587602e+00,-2.488932389553397684e+00
2.000000000000000111e-01,-1.500228498153069190e-01,-2.117501922132718928e+00,-2.598876757803085802e+00
2.500000000000000000e-01,-2.558979459222412434e-01,-2.547858888890594198e+00,-2.575030225715061238e+00
2.999999999999999889e-01,-3.832908903667708866e-01,-2.803312756054187282e+00,-2.409670727437708493e+00
3.499999999999999778e-01,-5.234565281694801842e-01,-2.834937947884000220e+00,-2.102845854814664239e+00
3.999999999999999667e-01,-6.652034255636802840e-01,-2.613327912685937893e+00,-1.666079757034661046e+00
4.499999999999999556e-01,-7.958698211979772230e-01,-2.132113302211530836e+00,-1.121828839029679781e+00
4.999999999999999445e-01,-9.024754863085537870e-01,-1.406677341489458000e+00,-4.983148729399143884e-01
5.499999999999999334e-01,-9.728093533830265427e-01,-4.680861231360293195e-01,1.753134369558347894e-01
5.999999999999999778e-01,-9.962136595398281003e-01,6.440419514006293644e-01,8.694959496675983557e-01
6.500000000000000222e-01,-9.640115619699299865e-01,1.884718283730925759e+00,1.550736622823035482e+00
7.000000000000000666e-01,-8.697756477833837874e-01,3.199977956363612819e+00,2.180767477970434243e+00
7.500000000000001110e-01,-7.097767499652031242e-01,4.518550795801188791e+00,2.606778451178161760e+00
8.000000000000001554e-01,-4.838492101751437624e-01,5.708658457069207159e+00,2.606778451178161760e+00
8.500000000000001998e-01,-1.984162873217434064e-01,6.558529200830945705e+00,2.606778451178161760e+00
9.000000000000002442e-01,1.295101727197979224e-01,7.000000000000000000e+00,2.606778451178161760e+00
9.499999999999217959e-01,4.795101727192488950e-01,7.000000000000000000e+00,2.606778451178161760e+00
9.999999999999218403e-01,8.295101727192488728e-01,6.592644394019272269e+00,2.606778451178161760e+00
1.049999999999921885e+00,1.159142392420179357e+00,5.884719377388352157e+00,2.606778451178161760e+00
1.099999999999921929e+00,1.453378361289533238e+00,5.023835764938556991e+00,2.606778451178161760e+00
1.149999999999921974e+00,1.704570149536370094e+00,4.149662861759574106e+00,2.606778451178161760e+00
1.199999999999922018e+00,1.912053292624232848e+00,3.359956020603043658e+00,2.606778451178161760e+00
1.249999999999922062e+00,2.080051093654246674e+00,2.704040435965087141e+00,2.606778451178161760e+00
1.299999999999922107e+00,2.215253115452342492e+00,2.194506138868455469e+00,2.606778451178161760e+00
1.349999999999922151e+00,2.324978422395588051e+00,1.823093043681126568e+00,2.606778451178161760e+00
1.399999999999922196e+00,2.416133074579644102e+00,1.573066341904990395e+00,2.606778451178161760e+00
1.449999999999922240e+00,2.494786391674893800e+00,1.426618064262455521e+00,2.606778451178161760e+00
1.499999999999922284e+00,2.566117294888016431e+00,1.368502556098497580e+00,2.459761050159979590e+00
1.549999999999922329e+00,2.634542422692941255e+00,1.341514260510743961e+00,2.034416681350386114e+00
1.599999999999922373e+00,2.701618135718478975e+00,1.256034613912672349e+00,1.680429668837953638e+00
1.649999999999922418e+00,2.764419866414112192e+00,1.141135642693561270e+00,1.386495072421307873e+00
1.699999999999922462e+00,2.821476648548789878e+00,1.015814033527141058e+00,1.140164969505667036e+00
1.749999999999922506e+00,2.872267350225146565e+00,8.910107486336917848e-01,9.346386750447208680e-01
1.799999999999922551e+00,2.916817887656831587e+00,7.732710997627163518e-01,7.636567442199633238e-01
1.849999999999922595e+00,2.955481442644967593e+00,6.661047286762806774e-01,6.215588776078291300e-01
1.899999999999922640e+00,2.988786679078781372e+00,5.709908914382058054e-01,5.032954672900530335e-01
1.949999999999922684e+00,3.017336223650691096e+00,4.880903553380088189e-01,4.043804766640106130e-01
1.999999999999922728e+00,3.041740741417592098e+00,4.167231224455485994e-01,3.208027940663669697e-01
2.049999999999922551e+00,3.062576897539868614e+00,3.556661625303360053e-01,2.489190075939785862e-01
2.099999999999922373e+00,3.080360205666385909e+00,3.033173724867342935e-01,1.853202456447595736e-01
2.149999999999922196e+00,3.095526074290722462e+00,2.577545690983611970e-01,1.266648623840332111e-01
2.199999999999922018e+00,3.108413802745640275e+00,2.167036823028572479e-01,6.953059821297791210e-02
2.249999999999921840e+00,3.119248986860783113e+00,1.774379224601183025e-01,1.013308487167195737e-02
2.299999999999921663e+00,3.128120882983789208e+00,1.365730646388577663e-01,-5.880765080000704970e-02
2.349999999999921485e+00,3.134949536215732468e+00,8.887268993512510706e-02,-1.411482455982538131e-01
2.399999999999921307e+00,3.139393170712751147e+00,2.828598574027807802e-02,-2.314684501652361157e-02
2.449999999999921130e+00,3.140807469999618462e+00,1.570367180614037558e-02,-4.245958814654789137e-02
2.499999999999920952e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
