q11,q22,r,Vol
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,7.258114794269911840e+01
1.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000266e-01,2.108005262708306020e+02
1.000000000000000000e+00,1.000000000000000000e+00,4.599999999999999645e-01,4.747409444107430545e+02
1.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000133e-01,7.093619444738517359e+02
1.000000000000000000e+00,1.000000000000000000e+00,8.199999999999999512e-01,1.071965665683506131e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.379741090479811191e+03
2.799999999999999822e+00,1.000000000000000000e+00,1.000000000000000056e-01,7.958560165079036608e+01
2.799999999999999822e+00,1.000000000000000000e+00,2.800000000000000266e-01,2.166891979866497309e+02
2.799999999999999822e+00,1.000000000000000000e+00,4.599999999999999645e-01,2.775283540568818239e+02
2.799999999999999822e+00,1.000000000000000000e+00,6.400000000000000133e-01,7.755299626996563802e+02
2.799999999999999822e+00,1.000000000000000000e+00,8.199999999999999512e-01,1.041233393821279833e+03
2.799999999999999822e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.292781972095963056e+03
4.599999999999999645e+00,1.000000000000000000e+00,1.000000000000000056e-01,7.995411868432975666e+01
4.599999999999999645e+00,1.000000000000000000e+00,2.800000000000000266e-01,1.826909180690006451e+02
4.599999999999999645e+00,1.000000000000000000e+00,4.599999999999999645e-01,3.863248276690887906e+02
4.599999999999999645e+00,1.000000000000000000e+00,6.400000000000000133e-01,8.142259962494583760e+02
4.599999999999999645e+00,1.000000000000000000e+00,8.199999999999999512e-01,1.108021439827026825e+03
4.599999999999999645e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.403945311972778882e+03
6.400000000000000355e+00,1.000000000000000000e+00,1.000000000000000056e-01,7.700376464471774796e+01
6.400000000000000355e+00,1.000000000000000000e+00,2.800000000000000266e-01,1.669726560748840143e+02
6.400000000000000355e+00,1.000000000000000000e+00,4.599999999999999645e-01,3.684039182200401683e+02
6.400000000000000355e+00,1.000000000000000000e+00,6.400000000000000133e-01,8.341241958782572965e+02
6.400000000000000355e+00,1.000000000000000000e+00,8.199999999999999512e-01,1.124850058965394282e+03
6.400000000000000355e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.413688083796879482e+03
8.199999999999999289e+00,1.000000000000000000e+00,1.000000000000000056e-01,6.844095365341243564e+01
8.199999999999999289e+00,1.000000000000000000e+00,2.800000000000000266e-01,2.111436800577110660e+02
8.199999999999999289e+00,1.000000000000000000e+00,4.599999999999999645e-01,3.748403754446509311e+02
8.199999999999999289e+00,1.000000000000000000e+00,6.400000000000000133e-01,7.501619097427699216e+02
8.199999999999999289e+00,1.000000000000000000e+00,8.199999999999999512e-01,1.153471339786574845e+03
8.199999999999999289e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.426987558775312436e+03
1.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000056e-01,6.752968077210208264e+01
1.000000000000000000e+01,1.000000000000000000e+00,2.800000000000000266e-01,1.958675795637861370e+02
1.000000000000000000e+01,1.000000000000000000e+00,4.599999999999999645e-01,4.251349025507306578e+02
1.000000000000000000e+01,1.000000000000000000e+00,6.400000000000000133e-01,8.154110096562336594e+02
1.000000000000000000e+01,1.000000000000000000e+00,8.199999999999999512e-01,1.072524903055460982e+03
