time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.885336971294025998e-01
5.000000000000000278e-02,0.000000000000000000e+00,-1.533824230629098617e-01,-1.082185740417198838e+00
1.000000000000000056e-01,-7.669121153145494647e-03,-3.824984605646207791e-01,-1.430895647780055624e+00
1.500000000000000222e-01,-2.679404418137653482e-02,-6.658172436650467985e-01,-1.739925135171039416e+00
2.000000000000000111e-01,-6.008490636462889001e-02,-9.818887581325692615e-01,-1.996432764683308658e+00
2.500000000000000000e-01,-1.091793442711795903e-01,-1.306110290178794209e+00,-2.188725934424209374e+00
2.999999999999999889e-01,-1.744848587802084738e-01,-1.612080037684106681e+00,-2.307904952941497889e+00
3.499999999999999778e-01,-2.550888606644137746e-01,-1.873421943242761678e+00,-2.348132463893748412e+00
3.999999999999999667e-01,-3.487599578265518918e-01,-2.065710983600826278e+00,-2.307227079970809225e+00
4.499999999999999556e-01,-4.520455070065931835e-01,-2.168445452554653929e+00,-2.186665420187850817e+00
4.999999999999999445e-01,-5.604677796343258134e-01,-2.166710207510651021e+00,-1.991126265345630308e+00
5.499999999999999334e-01,-6.688032900098583866e-01,-2.052166130718613868e+00,-1.727520320644893914e+00
5.999999999999999778e-01,-7.714115965457891688e-01,-1.823065874040612266e+00,-1.404195123647635990e+00
6.500000000000000222e-01,-8.625648902478196822e-01,-1.483357678452366768e+00,-1.029104153168355573e+00
7.000000000000000666e-01,-9.367327741704380983e-01,-1.040921004827778384e+00,-6.098493325010158062e-01
7.500000000000001110e-01,-9.887788244118269620e-01,-5.058252746503508757e-01,-1.545683776639238116e-01
8.000000000000001554e-01,-1.014070088144344517e+00,1.107352930896492171e-01,3.303924093850227339e-01
8.500000000000001998e-01,-1.008533323489861910e+00,7.972382662332168080e-01,8.365909111500264839e-01
9.000000000000002442e-01,-9.686714101782011310e-01,1.540828550173775735e+00,1.353459643594734807e+00
9.500000000000002887e-01,-8.916299826695122110e-01,2.325538332627509419e+00,1.865128042047105250e+00
1.000000000000000222e+00,-7.753530660381368067e-01,3.129344871595554523e+00,2.350665948623883228e+00
1.050000000000000266e+00,-6.188858224583591028e-01,3.921444670025438395e+00,2.785757142520975727e+00
1.100000000000000311e+00,-4.228135889570872052e-01,4.660975786807456167e+00,2.895495786029974372e+00
1.150000000000000355e+00,-1.897647996167144413e-01,5.242984111775795597e+00,2.895495786029974372e+00
1.200000000000000400e+00,7.238440597207546068e-02,5.617309962249525945e+00,2.895495786029974372e+00
1.250000000000000444e+00,3.532499040845517024e-01,5.771412094182628572e+00,2.895495786029974372e+00
1.300000000000000488e+00,6.418205087936832420e-01,5.713179180439971638e+00,2.895495786029974372e+00
1.350000000000000533e+00,9.274794678156818017e-01,5.474483298222771133e+00,2.895495786029974372e+00
1.400000000000000577e+00,1.201203632726820292e+00,5.106914405728878670e+00,2.895495786029974372e+00
1.450000000000000622e+00,1.456549353013264270e+00,4.671101942432679621e+00,2.784772975065817224e+00
1.500000000000000666e+00,1.690104450134898295e+00,4.199941591945367314e+00,2.510237767971139178e+00
1.550000000000000711e+00,1.900101529732166616e+00,3.704791232698637415e+00,2.239388608666256442e+00
1.600000000000000755e+00,2.085341091367098443e+00,3.222043670986904029e+00,1.981931876440687690e+00
1.650000000000000799e+00,2.246443274916443578e+00,2.775038432576067304e+00,1.743170774601899842e+00
1.700000000000000844e+00,2.385195196545246699e+00,2.375742404371588901e+00,1.525410022855135272e+00
1.750000000000000888e+00,2.503982316763826432e+00,2.027883044165888382e+00,1.328907760205359390e+00
1.800000000000000933e+00,2.605376468972120829e+00,1.730012719875986038e+00,1.152650373366789438e+00
1.850000000000000977e+00,2.691877104965920253e+00,1.477883676529203827e+00,9.948580918447152976e-01
1.900000000000001021e+00,2.765771288792380211e+00,1.266030617729252405e+00,8.533203981247571290e-01
1.950000000000001066e+00,2.829072819678842610e+00,1.088707972929293666e+00,7.255944942571783685e-01
2.000000000000000888e+00,2.883508218325308015e+00,9.403751851450952159e-01,6.090670706571953419e-01
2.050000000000000711e+00,2.930526977582562420e+00,8.158851569484004695e-01,5.009892949428693676e-01
2.100000000000000533e+00,2.971321235429982277e+00,7.105014284543541558e-01,3.984212885834157447e-01
2.150000000000000355e+00,3.006846306852700490e+00,6.198073493699470804e-01,2.981561424779319847e-01
2.200000000000000178e+00,3.037836674321197972e+00,5.395531111307714234e-01,1.965799249596948683e-01
2.250000000000000000e+00,3.064814329877736387e+00,4.654540542702129136e-01,8.954921971637054556e-02
2.299999999999999822e+00,3.088087032591247283e+00,3.929585507302377212e-01,-2.794336739642271430e-02
2.349999999999999645e+00,3.107734960127758850e+00,3.169431419618440327e-01,-1.619624269904261504e-01
2.399999999999999467e+00,3.123582117225851551e+00,2.313696288842123916e-01,-3.200854769714921999e-01
2.449999999999999289e+00,3.135150598670061850e+00,1.288410983946230992e-01,-5.121026055015234224e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
