time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.442480521850490360e-01
5.000000000000000278e-02,0.000000000000000000e+00,-1.326113588612086724e-01,-9.024412347011956381e-01
1.000000000000000056e-01,-6.630567943153239940e-03,-3.881418839656183839e-01,-1.345720601153930884e+00
1.500000000000000222e-01,-2.603766214161007050e-02,-7.427928494795863479e-01,-1.751799133887176785e+00
2.000000000000000111e-01,-6.317730461558943023e-02,-1.162572680515986168e+00,-2.100698296082564642e+00
2.500000000000000000e-01,-1.213059386411501628e-01,-1.606248266159443938e+00,-2.374838874071945938e+00
2.999999999999999889e-01,-2.016183519490341303e-01,-2.028628922106301413e+00,-2.559485607752608249e+00
3.499999999999999778e-01,-3.030497980540976521e-01,-2.384257856858299718e+00,-2.642769017226423767e+00
3.999999999999999667e-01,-4.222626908968284964e-01,-2.631280368179543583e+00,-2.616181712819610539e+00
4.499999999999999556e-01,-5.538267093058056867e-01,-2.735281481941709281e+00,-2.475888794068175081e+00
4.999999999999999445e-01,-6.905907834028728320e-01,-2.672624298470166249e+00,-2.224253477387711619e+00
5.499999999999999334e-01,-8.242219983263139316e-01,-2.432461307100559633e+00,-1.870380380026756217e+00
5.999999999999999778e-01,-9.458450636811936985e-01,-2.016572791748006743e+00,-1.428597703388086559e+00
6.500000000000000222e-01,-1.046673703268336642e+00,-1.436750364491929499e+00,-9.155666977683319940e-01
7.000000000000000666e-01,-1.118511221492870300e+00,-7.106317521792718805e-01,-3.478051613013632415e-01
7.500000000000001110e-01,-1.154042809101750056e+00,1.421521648889386424e-01,2.589224191509593709e-01
8.000000000000001554e-01,-1.146935200857190695e+00,1.101624883460612603e+00,8.880573175518935436e-01
8.500000000000001998e-01,-1.091853956684005533e+00,2.145810559692895136e+00,1.520035266272319552e+00
9.000000000000002442e-01,-9.845634286991451489e-01,3.245983911788191012e+00,2.130743324356421553e+00
9.500000000000002887e-01,-8.222642331097355095e-01,4.360097112250266527e+00,2.697456500076033770e+00
1.000000000000171863e+00,-6.042593774964739595e-01,5.428543051166655253e+00,2.895263639963446600e+00
1.050000000000171907e+00,-3.328322249381411302e-01,6.282997494236267855e+00,2.895263639963446600e+00
1.100000000000171951e+00,-1.868235022632759243e-02,6.811336151604066913e+00,2.895263639963446600e+00
1.150000000000171996e+00,3.218844573538757747e-01,6.982288138792092091e+00,2.895263639963446600e+00
1.200000000000172040e+00,6.709988642934804348e-01,6.806709097552062993e+00,2.895263639963446600e+00
1.250000000000172085e+00,1.011334319171083740e+00,6.349863183788250431e+00,2.895263639963446600e+00
1.300000000000172129e+00,1.328827478360496306e+00,5.719264957119903237e+00,2.895263639963446600e+00
1.350000000000172173e+00,1.614790726216491556e+00,5.033566016961549039e+00,2.895263639963446600e+00
1.400000000000172218e+00,1.866469027064568964e+00,4.391878076074783088e+00,2.596679869493092152e+00
1.450000000000172262e+00,2.086062930868308296e+00,3.769722637474990812e+00,2.191084995255921264e+00
1.500000000000172307e+00,2.274549062742058148e+00,3.176297927727206538e+00,1.825801287500158798e+00
1.550000000000172351e+00,2.433363959128418408e+00,2.641527952017025616e+00,1.508372441054065538e+00
1.600000000000172395e+00,2.565440356729269844e+00,2.177677691029641149e+00,1.238671614966991408e+00
1.650000000000172440e+00,2.674324241280751302e+00,1.785461646235415367e+00,1.012955001532957144e+00
1.700000000000172484e+00,2.763597323592522415e+00,1.459404837556882661e+00,8.258584555174780517e-01
1.750000000000172529e+00,2.836567565470366148e+00,1.191408661280604964e+00,6.715948949262990908e-01
1.800000000000172573e+00,2.896137998534396463e+00,9.727981372027385554e-01,5.446195662662498549e-01
1.850000000000172617e+00,2.944777905394533768e+00,7.953550884134703569e-01,4.400032843344485745e-01
1.900000000000172662e+00,2.984545659815207141e+00,6.517713675241383342e-01,3.533746264495447598e-01
1.950000000000172706e+00,3.017134228191413747e+00,5.357302290721933646e-01,2.809649890436961006e-01
2.000000000000172751e+00,3.043920739645023410e+00,4.418498039616119977e-01,2.194987737503646674e-01
2.050000000000172573e+00,3.066013229843314924e+00,3.655445379173377085e-01,1.660606137973320573e-01
2.100000000000172395e+00,3.084290456739123609e+00,3.028508027728263330e-01,1.179493775850555398e-01
2.150000000000172218e+00,3.099432996877595770e+00,2.502357465968513273e-01,7.263100256354645956e-02
2.200000000000172040e+00,3.111944784207488990e+00,2.044262373896396923e-01,2.754971510357983114e-02
2.250000000000171863e+00,3.122166096076970820e+00,1.622117686606225628e-01,-2.009072292968919551e-02
2.300000000000171685e+00,3.130276684510201690e+00,1.202107854597376929e-01,-7.417951606830064382e-02
2.350000000000171507e+00,3.136287223783132294e+00,7.440758178720865978e-02,-1.368516351162983868e-01
2.400000000000171330e+00,3.140007602872441517e+00,2.057781874466113950e-02,-1.926172171635587294e-02
2.450000000000171152e+00,3.141036493809627572e+00,1.112319560413081027e-02,-3.154185121307083450e-02
2.500000000000170974e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
