time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.026206857219122581e-02
5.000000000000000278e-02,0.000000000000000000e+00,-2.694390106632575319e-02,-6.238457044035916610e-01
1.000000000000000056e-01,-1.347195053529986683e-03,-2.103514649559909133e-01,-1.068591547438478839e+00
1.500000000000000222e-01,-1.186476830111581927e-02,-5.060353997528717063e-01,-1.484167184112099802e+00
2.000000000000000111e-01,-3.716653828852925501e-02,-8.845619450662500771e-01,-1.851966111988046615e+00
2.500000000000000000e-01,-8.139463554184174499e-02,-1.308518746222743889e+00,-2.143613238196945492e+00
2.999999999999999889e-01,-1.468205728529789755e-01,-1.731932358996669752e+00,-2.340667780681822574e+00
3.499999999999999778e-01,-2.334171908028124243e-01,-2.106176844047030094e+00,-2.436702920751940837e+00
3.999999999999999667e-01,-3.387260330051639623e-01,-2.386593697708521589e+00,-2.417217617036635513e+00
4.499999999999999556e-01,-4.580557178905900195e-01,-2.532832832298899994e+00,-2.288909187244502874e+00
4.999999999999999445e-01,-5.846973595055349193e-01,-2.517661116952996547e+00,-2.050696455297130960e+00
5.499999999999999334e-01,-7.105804153531848355e-01,-2.325309087127293228e+00,-1.721310847219068130e+00
5.999999999999999778e-01,-8.268458697095495413e-01,-1.956308748710065659e+00,-1.307017424953839324e+00
6.500000000000000222e-01,-9.246613071450529020e-01,-1.420252776366028202e+00,-8.202492415188572528e-01
7.000000000000000666e-01,-9.956739459633542344e-01,-7.334708492777488598e-01,-2.711428918673183808e-01
7.500000000000001110e-01,-1.032347488427241888e+00,8.540513380109862607e-02,3.291982928891210025e-01
8.000000000000001554e-01,-1.028077231737186903e+00,1.016944100399545636e+00,9.704936565696026252e-01
8.500000000000001998e-01,-9.772300267172094879e-01,2.040433497503022053e+00,1.632183508058598020e+00
9.000000000000002442e-01,-8.752083518420583630e-01,3.127674129011976500e+00,2.286428604184040925e+00
9.500000000000002887e-01,-7.188246453914594047e-01,4.236509962179471955e+00,2.895263639854759319e+00
1.000000000000000222e+00,-5.069991472824858514e-01,5.304137669060870586e+00,2.895263639854759319e+00
1.050000000000000266e+00,-2.417922638294422721e-01,6.090564170048965664e+00,2.895263639854759319e+00
1.100000000000000311e+00,6.273594467300609712e-02,6.553389435262676699e+00,2.895263639854759319e+00
1.150000000000000355e+00,3.904054164361399071e-01,6.671460689164846691e+00,2.895263639854759319e+00
1.200000000000000400e+00,7.239784508943823971e-01,6.465364441299918496e+00,2.895263639854759319e+00
1.250000000000000444e+00,1.047246672959378344e+00,6.004345517795517395e+00,2.895263639854759319e+00
1.300000000000000488e+00,1.347463948849154214e+00,5.391682063403838043e+00,2.895263639854759319e+00
1.350000000000000533e+00,1.617048052019346205e+00,4.735986820463179647e+00,2.895263639854759319e+00
1.400000000000000577e+00,1.853847393042505010e+00,4.125483905987761268e+00,2.632897883823402729e+00
1.450000000000000622e+00,2.060121588341893517e+00,3.538435062932171249e+00,2.306042498634458315e+00
1.500000000000000666e+00,2.237043341488501813e+00,2.991235971290967299e+00,2.005052607020224364e+00
1.550000000000000711e+00,2.386605140053050800e+00,2.506030089913888759e+00,1.734053218589351131e+00
1.600000000000000755e+00,2.511906644548744794e+00,2.089573361418860298e+00,1.494004048171734933e+00
1.650000000000000799e+00,2.616385312619688097e+00,1.739528218753535915e+00,1.283963668895460541e+00
1.700000000000000844e+00,2.703361723557364815e+00,1.449192765738226418e+00,1.101254986408773062e+00
1.750000000000000888e+00,2.775821361844275525e+00,1.210241295902250602e+00,9.427403980117562421e-01
1.800000000000000933e+00,2.836333426639388477e+00,1.014339087716648935e+00,8.055183170871683673e-01
1.850000000000000977e+00,2.887050381025220602e+00,8.539863166343714118e-01,6.868224335957427984e-01
1.900000000000001021e+00,2.929749696856938979e+00,7.227672078327376237e-01,5.839291116130812531e-01
1.950000000000001066e+00,2.965888057248575738e+00,6.152943356924671647e-01,4.943162926170636684e-01
2.000000000000000888e+00,2.996652774033198963e+00,5.270862374869312861e-01,4.157887495040342163e-01
2.050000000000000711e+00,3.023007085907545743e+00,4.544448421279364547e-01,3.463541738710443352e-01
2.100000000000000533e+00,3.045729328013942361e+00,3.942948490942720374e-01,2.835422106896225425e-01
2.150000000000000355e+00,3.065444070468655635e+00,3.438413751348640690e-01,2.238164511731184636e-01
2.200000000000000178e+00,3.082636139225398697e+00,3.000989414651730747e-01,1.644863001253337176e-01
2.250000000000000000e+00,3.097641086298657864e+00,2.600428667606106137e-01,1.064628102276804072e-01
2.299999999999999822e+00,3.110643229636688378e+00,2.215515449033894357e-01,4.916289210350015260e-02
2.349999999999999645e+00,3.121720806881857602e+00,1.827233205280923423e-01,-2.391032024519588323e-02
2.399999999999999467e+00,3.130856972908262481e+00,1.370024165958045603e-01,-1.153942131682189898e-01
2.449999999999999289e+00,3.137707093738052677e+00,7.771119703481077501e-02,-2.203643136164590011e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
