time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.838680445634688132e-01
5.000000000000000278e-02,0.000000000000000000e+00,-1.746197470624790971e-01,-1.228305559439940131e+00
1.000000000000000056e-01,-8.730987353123952771e-03,-4.346305842128627139e-01,-1.586832037713998833e+00
1.500000000000000222e-01,-3.046251656376708708e-02,-7.478448006299704964e-01,-1.900372442269679496e+00
2.000000000000000111e-01,-6.785475659526561676e-02,-1.090578539367259125e+00,-2.155250593012234095e+00
2.500000000000000000e-01,-1.223836835636285814e-01,-1.436028462860565291e+00,-2.339790877619990717e+00
2.999999999999999889e-01,-1.941851067066568404e-01,-1.755918982833255759e+00,-2.445186265741160270e+00
3.499999999999999778e-01,-2.819810558483196727e-01,-2.022449936375671165e+00,-2.466132663261872970e+00
3.999999999999999667e-01,-3.831035526671031644e-01,-2.210424694564590453e+00,-2.401253174909302235e+00
4.499999999999999556e-01,-4.936247873953327203e-01,-2.299345199713040522e+00,-2.253025275361089985e+00
4.999999999999999445e-01,-6.085920473809847131e-01,-2.275088710514522550e+00,-2.027178948013951487e+00
5.499999999999999334e-01,-7.223464829067108850e-01,-2.130746834431715087e+00,-1.731568993925882260e+00
5.999999999999999778e-01,-8.288838246282966837e-01,-1.866333225187911893e+00,-1.374902208763325806e+00
6.500000000000000222e-01,-9.222004858876922118e-01,-1.487420743373262244e+00,-9.656309926835943136e-01
7.000000000000000666e-01,-9.965715230563553240e-01,-1.003133296974509037e+00,-5.113410234000824728e-01
7.500000000000001110e-01,-1.046728187905080931e+00,-4.241580508083426237e-01,-1.881268229093033262e-02
8.000000000000001554e-01,-1.067936090445497976e+00,2.385582917470258080e-01,5.051515186005886004e-01
8.500000000000001998e-01,-1.056008175858146769e+00,9.739517654595848395e-01,1.052317361735037426e+00
9.000000000000002442e-01,-1.007310587585167339e+00,1.769644252754217550e+00,1.610953701970766927e+00
9.500000000000002887e-01,-9.188283749474567275e-01,2.609442251432410043e+00,2.163949240030250021e+00
1.000000000000000222e+00,-7.883562623758363364e-01,3.469975869389599676e+00,2.670664853456211407e+00
1.050000000000000266e+00,-6.148574689063562859e-01,4.313557407635316920e+00,2.670664853456211407e+00
1.100000000000000311e+00,-3.991795985245905065e-01,4.994471820732864664e+00,2.670664853456211407e+00
1.150000000000000355e+00,-1.494560074879473233e-01,5.484532181547951524e+00,2.670664853456211407e+00
1.200000000000000400e+00,1.247706015894503029e-01,5.760855828110154064e+00,2.670664853456211407e+00
1.250000000000000444e+00,4.128133929949579506e-01,5.815520233338220102e+00,2.670664853456211407e+00
1.300000000000000488e+00,7.035894046618690334e-01,5.663323461166488215e+00,2.670664853456211407e+00
1.350000000000000533e+00,9.867555777201933997e-01,5.343066920883492443e+00,2.670664853456211407e+00
1.400000000000000577e+00,1.253908923764367911e+00,4.910672668731435486e+00,2.670664853456211407e+00
1.450000000000000622e+00,1.499442557200939996e+00,4.427092135918623050e+00,2.670664853456211407e+00
1.500000000000000666e+00,1.720797163996871104e+00,3.946627678286112051e+00,2.670664853456211407e+00
1.550000000000000711e+00,1.918128547911176485e+00,3.509982042853232009e+00,2.409297403175031604e+00
1.600000000000000755e+00,2.093627650053838440e+00,3.084653659664411851e+00,2.126555661710475498e+00
1.650000000000000799e+00,2.247860333037058567e+00,2.683585286631535283e+00,1.865612512603703310e+00
1.700000000000000844e+00,2.382039597368636130e+00,2.319345042106784938e+00,1.628641631540027834e+00
1.750000000000000888e+00,2.498006849473975333e+00,1.997201747429018459e+00,1.415651916760255258e+00
1.800000000000000933e+00,2.597866936845425467e+00,1.717540050181075362e+00,1.225317403986574183e+00
1.850000000000000977e+00,2.683743939354479302e+00,1.477855828333959565e+00,1.055541303977316270e+00
1.900000000000001021e+00,2.757636730771177103e+00,1.274171545770818481e+00,9.038085440306450336e-01
1.950000000000001066e+00,2.821345308059718171e+00,1.101930610059712601e+00,7.673811539818772287e-01
2.000000000000000888e+00,2.876441838562704412e+00,9.564991233730661957e-01,6.433856787890352980e-01
2.050000000000000711e+00,2.924266794731357422e+00,8.333998010849762439e-01,5.288255874593045247e-01
2.100000000000000533e+00,2.965936784785606406e+00,7.283732107270904921e-01,4.205344746610363837e-01
2.150000000000000355e+00,3.002355445321961191e+00,6.373287024454434846e-01,3.150845442186648859e-01
2.200000000000000178e+00,3.034221880444233577e+00,5.562225297523115675e-01,2.086493637537853996e-01
2.250000000000000000e+00,3.062033006931848877e+00,4.808808352619586834e-01,9.681889616096824025e-02
2.299999999999999822e+00,3.086077048694947145e+00,4.067720140293585862e-01,-2.564398040781163193e-02
2.349999999999999645e+00,3.106415649396415013e+00,3.287225167717615637e-01,-1.651174173007053936e-01
2.399999999999999467e+00,3.122851775235003124e+00,2.405624798876310477e-01,-3.314315373579554413e-01
2.449999999999999289e+00,3.134879899229384925e+00,1.342550872081688940e-01,-5.336215113399043197e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
