time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.484339160768233024e-01
5.000000000000000278e-02,0.000000000000000000e+00,-1.667262009527341049e-01,-1.111797310384362358e+00
1.000000000000000056e-01,-8.336310047636703163e-03,-4.013983194759923601e-01,-1.442284316130701072e+00
1.500000000000000222e-01,-2.840622602143633851e-02,-6.852921018546961340e-01,-1.732010258314858442e+00
2.000000000000000111e-01,-6.267083111395281569e-02,-9.969022100915623241e-01,-1.968047932240122533e+00
2.500000000000000000e-01,-1.125159416185309291e-01,-1.311740407413573895e+00,-2.139916861267518122e+00
2.999999999999999889e-01,-1.781029619892096350e-01,-1.603970449258777631e+00,-2.238673546326443997e+00
3.499999999999999778e-01,-2.583014844521485109e-01,-1.847914470594801850e+00,-2.259215761310409576e+00
3.999999999999999667e-01,-3.506972079818885812e-01,-2.020109736214331875e+00,-2.199272068919254863e+00
4.499999999999999556e-01,-4.517026947926052194e-01,-2.101018483465744602e+00,-2.060760987342570516e+00
4.999999999999999445e-01,-5.567536189658924828e-01,-2.076718866023664400e+00,-1.848299878887899705e+00
5.499999999999999334e-01,-6.605895622670756584e-01,-1.939680069001720630e+00,-1.568669942332531209e+00
5.999999999999999778e-01,-7.575735657171617232e-01,-1.688696571791903356e+00,-1.229917983028395057e+00
6.500000000000000222e-01,-8.420083943067568910e-01,-1.327953370933279587e+00,-8.402944468619307772e-01
7.000000000000000666e-01,-9.084060628534208481e-01,-8.654789536340464773e-01,-4.077776498179944697e-01
7.500000000000001110e-01,-9.516800105351231887e-01,-3.115677574418153073e-01,5.992635955486844829e-02
8.000000000000001554e-01,-9.672583984072139485e-01,3.222818477532586878e-01,5.546740734897189773e-01
8.500000000000001998e-01,-9.511443060195510224e-01,1.023470340423042080e+00,1.066645556350263258e+00
9.000000000000002442e-01,-8.999707889983988851e-01,1.777265109337212712e+00,1.582828449090841527e+00
9.500000000000002887e-01,-8.111075335315383050e-01,2.564748381271920952e+00,2.085766502513044074e+00
1.000000000000000222e+00,-6.828701144679422130e-01,3.360220405089795470e+00,2.552606912783652593e+00
1.050000000000000266e+00,-5.148590942134524395e-01,4.128830229921551798e+00,2.956876082754242852e+00
1.100000000000000311e+00,-3.084175827173748496e-01,4.826095651135328346e+00,3.000000000000000000e+00
1.150000000000000355e+00,-6.711280016060842957e-02,5.340339871171896569e+00,3.000000000000000000e+00
1.200000000000000400e+00,1.999041933979864016e-01,5.641358291140522674e+00,3.000000000000000000e+00
1.250000000000000444e+00,4.819721079550125520e-01,5.724436068483274020e+00,3.000000000000000000e+00
1.300000000000000488e+00,7.681939113791762530e-01,5.607067720094666363e+00,3.000000000000000000e+00
1.350000000000000533e+00,1.048547297383909616e+00,5.329510756193181820e+00,3.000000000000000000e+00
1.400000000000000577e+00,1.315022835193568884e+00,4.947776072957019267e+00,2.923831395402065159e+00
1.450000000000000622e+00,1.562411638841419759e+00,4.505065287095631810e+00,2.645475230946662926e+00
1.500000000000000666e+00,1.787664903196201305e+00,4.011072766425952452e+00,2.363897042762623357e+00
1.550000000000000711e+00,1.988218541517498883e+00,3.509992499486298101e+00,2.092271226996231359e+00
1.600000000000000755e+00,2.163718166491813921e+00,3.033182402173372427e+00,1.838487876745994676e+00
1.650000000000000799e+00,2.315377286600482254e+00,2.599113780801181939e+00,1.606491162579888776e+00
1.700000000000000844e+00,2.445332975640541751e+00,2.215979833960163070e+00,1.397459950505285375e+00
1.750000000000000888e+00,2.556131967338549416e+00,1.884983711027572451e+00,1.210809275883329317e+00
1.800000000000000933e+00,2.650381152889928149e+00,1.603202130241166534e+00,1.044953083543583627e+00
1.850000000000000977e+00,2.730541259401986665e+00,1.365661283039891538e+00,8.977125039883411262e-01
1.900000000000001021e+00,2.798824323553981586e+00,1.166639924959193664e+00,7.666570973985816773e-01
1.950000000000001066e+00,2.857156319801940736e+00,1.000412507322956390e+00,6.492578287078081267e-01
2.000000000000000888e+00,2.907176945168088888e+00,8.616086502095563482e-01,5.429069909920800630e-01
2.050000000000000711e+00,2.950257377678566773e+00,7.453261719502007887e-01,4.449304342981968974e-01
2.100000000000000533e+00,2.987523686276076340e+00,6.471085694537216382e-01,3.525326164652017868e-01
2.150000000000000355e+00,3.019879114748762916e+00,5.628405397120214149e-01,2.626938780636650650e-01
2.200000000000000178e+00,3.048021141734364114e+00,4.885908771435775177e-01,1.720341998531544903e-01
2.250000000000000000e+00,3.072450685591542996e+00,4.204169401433164865e-01,7.665671313270169818e-02
2.299999999999999822e+00,3.093471532598708329e+00,3.541364945339167680e-01,-2.802338516596599924e-02
2.349999999999999645e+00,3.111178357325404598e+00,2.850669962918403466e-01,-1.474726378425308682e-01
2.399999999999999467e+00,3.125431707139996185e+00,2.077262299683215185e-01,-2.882239253744608987e-01
2.449999999999999289e+00,3.135818018638412141e+00,1.154926990276130133e-01,-4.590469151740100284e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
