time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.193963693493615696e-01
5.000000000000000278e-02,0.000000000000000000e+00,-3.564070726846613885e-02,-6.681173348947815338e-01
1.000000000000000056e-01,-1.782035363423306595e-03,-2.313550617015463495e-01,-1.094472672038191652e+00
1.500000000000000222e-01,-1.334978844850062338e-02,-5.321437218870863628e-01,-1.491084899263905417e+00
2.000000000000000111e-01,-3.995697454285494082e-02,-9.085508329830174201e-01,-1.834397976330943925e+00
2.500000000000000000e-01,-8.538451619200582154e-02,-1.322021733324703074e+00,-2.105363829241401863e+00
2.999999999999999889e-01,-1.514856028582409475e-01,-1.728706399660495441e+00,-2.276563257434138343e+00
3.499999999999999778e-01,-2.379209228412657307e-01,-2.079626727086970384e+00,-2.347836837827786738e+00
3.999999999999999667e-01,-3.419022591956142887e-01,-2.331994420104099852e+00,-2.308161212956647557e+00
4.499999999999999556e-01,-4.585019802008192813e-01,-2.448446974262535214e+00,-2.159798231643146771e+00
4.999999999999999445e-01,-5.809243289139460753e-01,-2.403159076106751169e+00,-1.901006806382684156e+00
5.499999999999999334e-01,-7.010822827192836337e-01,-2.181177616344792458e+00,-1.552569514856085409e+00
5.999999999999999778e-01,-8.101411635365232122e-01,-1.783957623722815189e+00,-1.119789073840617766e+00
6.500000000000000222e-01,-8.993390447226640161e-01,-1.221218092252151166e+00,-6.154185861583244543e-01
7.000000000000000666e-01,-9.603999493352715078e-01,-5.092946354993153069e-01,-5.015356764023651964e-02
7.500000000000001110e-01,-9.858646811102372842e-01,3.327959493072395469e-01,5.637518678109985082e-01
8.000000000000001554e-01,-9.692248836448753568e-01,1.284218946982856879e+00,1.211434576923998918e+00
8.500000000000001998e-01,-9.050139362957324574e-01,2.320451886479974579e+00,1.871632500275088207e+00
9.000000000000002442e-01,-7.889913419717338172e-01,3.408204485439477960e+00,2.511897870871759864e+00
9.500000000000002887e-01,-6.185811176997598748e-01,4.498103635158932967e+00,3.000000000000000000e+00
1.000000000000000222e+00,-3.936759359418131599e-01,5.492537285691166282e+00,3.000000000000000000e+00
1.050000000000000266e+00,-1.190490716572548402e-01,6.190510468163163083e+00,3.000000000000000000e+00
1.100000000000000311e+00,1.904764517509033028e-01,6.555774726370841243e+00,3.000000000000000000e+00
1.150000000000000355e+00,5.182651880694453261e-01,6.580635594014685452e+00,3.000000000000000000e+00
1.200000000000000400e+00,8.472969677701797098e-01,6.302666304703377520e+00,3.000000000000000000e+00
1.250000000000000444e+00,1.162430283005348564e+00,5.804446679644815532e+00,3.000000000000000000e+00
1.300000000000000488e+00,1.452652616987589296e+00,5.193199829099991227e+00,3.000000000000000000e+00
1.350000000000000533e+00,1.712312608442589035e+00,4.571986401704311476e+00,2.798451805903879208e+00
1.400000000000000577e+00,1.940911928527804475e+00,3.958480857818707843e+00,2.453631514433766814e+00
1.450000000000000622e+00,2.138835971418739934e+00,3.362762816691059697e+00,2.132151052743900266e+00
1.500000000000000666e+00,2.306974112253292741e+00,2.820950940618394132e+00,1.841757826722177249e+00
1.550000000000000711e+00,2.448021659284212781e+00,2.349042263198958924e+00,1.582330186432697072e+00
1.600000000000000755e+00,2.565473772444160527e+00,1.948816388657809817e+00,1.353167303654002174e+00
1.650000000000000799e+00,2.662914591877050707e+00,1.614716464277581309e+00,1.154988143895750552e+00
1.700000000000000844e+00,2.743650415090930217e+00,1.338932589040686905e+00,9.859908387401841168e-01
1.750000000000000888e+00,2.810597044542964440e+00,1.113210434307395857e+00,8.410242953970346047e-01
1.800000000000000933e+00,2.866257566258334055e+00,9.291468208061843814e-01,7.169186011270549663e-01
1.850000000000000977e+00,2.912714907298643130e+00,7.793733995245502033e-01,6.087910316307942882e-01
1.900000000000001021e+00,2.951683577274871073e+00,6.571010887602102279e-01,5.162612059760937067e-01
1.950000000000001066e+00,2.984538631712881251e+00,5.573735456092550056e-01,4.353016117153599707e-01
2.000000000000000888e+00,3.012407308993344301e+00,4.756438517016838285e-01,3.642418030116317262e-01
2.050000000000000711e+00,3.036189501578428374e+00,4.082999822832824033e-01,3.013945802184024858e-01
2.100000000000000533e+00,3.056604500692592818e+00,3.524011602432198798e-01,2.453600884626177536e-01
2.150000000000000355e+00,3.074224558704753196e+00,3.055518943020068545e-01,1.944776966404024310e-01
2.200000000000000178e+00,3.089502153419854125e+00,2.656434796083100847e-01,1.461205178977744989e-01
2.250000000000000000e+00,3.102784327400269326e+00,2.304300713627192299e-01,9.600075426894404129e-02
2.299999999999999822e+00,3.114305830968405520e+00,1.969508151294453446e-01,3.889470615871645776e-02
2.349999999999999645e+00,3.124153371724877726e+00,1.612191722979986197e-01,-2.673574653462166759e-02
2.399999999999999467e+00,3.132214330339777586e+00,1.192874898754187202e-01,-9.830790213479116690e-02
2.449999999999999289e+00,3.138178704833548327e+00,6.827897512489343457e-02,-1.936175166717883644e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
