time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.581434583487702605e-01
5.000000000000000278e-02,0.000000000000000000e+00,-1.069084950294836855e-01,-1.173970163743502715e+00
1.000000000000000056e-01,-5.345424751474185492e-03,-4.461778056214787958e-01,-1.639036328048508517e+00
1.500000000000000222e-01,-2.765431503254812615e-02,-8.835829528174872216e-01,-2.047235500607413439e+00
2.000000000000000111e-01,-7.183346267342247127e-02,-1.375257965437545193e+00,-2.375885641090930367e+00
2.500000000000000000e-01,-1.405963609452997309e-01,-1.870385852808513105e+00,-2.606399822767789587e+00
2.999999999999999889e-01,-2.341156535857253917e-01,-2.315531126096632697e+00,-2.669599892852740020e+00
3.499999999999999778e-01,-3.498922098904761468e-01,-2.642930273302441790e+00,-2.669599892852740020e+00
3.999999999999999667e-01,-4.820387235555982364e-01,-2.827415304273920071e+00,-2.622842667013870255e+00
4.499999999999999556e-01,-6.234094887692942510e-01,-2.860173407229391174e+00,-2.410841161893867657e+00
4.999999999999999445e-01,-7.664181591307637209e-01,-2.708289037559674206e+00,-2.107887934902473948e+00
5.499999999999999334e-01,-9.018326110087474534e-01,-2.374172036057260460e+00,-1.727062530587592182e+00
5.999999999999999778e-01,-1.020541212811610476e+00,-1.872105332832305846e+00,-1.279982599776324559e+00
6.500000000000000222e-01,-1.114146479453225869e+00,-1.222400878760411480e+00,-7.752953834120898113e-01
7.000000000000000666e-01,-1.175266523391246487e+00,-4.456372119781100705e-01,-2.191270955537780729e-01
7.500000000000001110e-01,-1.197548383990152177e+00,4.407703299439663103e-01,3.827637557195402995e-01
8.000000000000001554e-01,-1.175509867492953830e+00,1.422433649299256864e+00,1.021273231163247308e+00
8.500000000000001998e-01,-1.104388185027991076e+00,2.484030314492724045e+00,1.679377199809688026e+00
9.000000000000002442e-01,-9.801866693033547406e-01,3.602030027414966362e+00,2.327689346891179234e+00
9.500000000000002887e-01,-8.000851679326065335e-01,4.735351082644401188e+00,2.669599892852740020e+00
1.000000000000000222e+00,-5.633176138003864741e-01,5.741292932631200330e+00,2.669599892852740020e+00
1.050000000000000266e+00,-2.762529671688265243e-01,6.462200094271475237e+00,2.669599892852740020e+00
1.100000000000000311e+00,4.685703754474731392e-02,6.851510662059062007e+00,2.669599892852740020e+00
1.150000000000000355e+00,3.894325706477004823e-01,6.886626745249460058e+00,2.669599892852740020e+00
1.200000000000000400e+00,7.337639079101735406e-01,6.591573992654086389e+00,2.669599892852740020e+00
1.250000000000000444e+00,1.063342607542877793e+00,6.042851624612426420e+00,2.669599892852740020e+00
1.300000000000000488e+00,1.365485188773499337e+00,5.351025404037111244e+00,2.669599892852740020e+00
1.350000000000000533e+00,1.633036458975354988e+00,4.628461893472911370e+00,2.669599892852740020e+00
1.400000000000000577e+00,1.864459553649000512e+00,3.962686240538837446e+00,2.644587617993154005e+00
1.450000000000000622e+00,2.062593865675942606e+00,3.399100053265716070e+00,2.344770610612458839e+00
1.500000000000000666e+00,2.232548868339228054e+00,2.879164481083729132e+00,2.066221218549101124e+00
1.550000000000000711e+00,2.376507092393414400e+00,2.421211612527602419e+00,1.812542798029303848e+00
1.600000000000000755e+00,2.497567673019794654e+00,2.029867414180368090e+00,1.584577539864117535e+00
1.650000000000000799e+00,2.599061043728812859e+00,1.701788881259413300e+00,1.381551305415988695e+00
1.700000000000000844e+00,2.684150487791783668e+00,1.429897500919336206e+00,1.201804784406267812e+00
1.750000000000000888e+00,2.755645362837750856e+00,1.205989657426066453e+00,1.043245548478666018e+00
1.800000000000000933e+00,2.815944845709053901e+00,1.022122705321493186e+00,9.036192116454134782e-01
1.850000000000000977e+00,2.867050980975129004e+00,8.712267593031927104e-01,7.806555666389872750e-01
1.900000000000001021e+00,2.910612318940288379e+00,7.472797880773862644e-01,6.721505680537350758e-01
1.950000000000001066e+00,2.947976308344157914e+00,6.452655149595853956e-01,5.759628573052676392e-01
2.000000000000000888e+00,2.980239584092137850e+00,5.610257768349522500e-01,4.899947795534911332e-01
2.050000000000000711e+00,3.008290872933884863e+00,4.910768174173950618e-01,4.121915390853048144e-01
2.100000000000000533e+00,3.032844713804755177e+00,4.324304244438430533e-01,3.403927808935868771e-01
2.150000000000000355e+00,3.054466235026947807e+00,3.823893302017754570e-01,2.723115389165049471e-01
2.200000000000000178e+00,3.073585701537036474e+00,3.383623103112256558e-01,2.053462099110283101e-01
2.250000000000000000e+00,3.090503817052597579e+00,2.976449937990118810e-01,1.364063269693089331e-01
2.299999999999999822e+00,3.105386066742548135e+00,2.571697126834960323e-01,6.164021021614732310e-02
2.349999999999999645e+00,3.118244552376722822e+00,2.131903961197951503e-01,-2.392380817283145181e-02
2.399999999999999467e+00,3.128904072182712603e+00,1.608729310239667698e-01,-1.297101571383609264e-01
2.449999999999999289e+00,3.136947718733910762e+00,9.289869711765015581e-02,-2.634312645802603936e-01
2.499999999999999112e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
