q11,q22,r,Vol
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01,4.112946261622153088e+01
1.000000000000000056e-01,1.000000000000000056e-01,2.000000000000000111e-01,5.436609479255584176e+01
1.000000000000000056e-01,1.000000000000000056e-01,3.000000000000000444e-01,6.180642200939439590e+01
1.000000000000000056e-01,1.000000000000000056e-01,4.000000000000000222e-01,4.960496633389988119e+01
1.000000000000000056e-01,1.000000000000000056e-01,5.000000000000000000e-01,4.204082291555934603e+01
1.000000000000000056e-01,1.000000000000000056e-01,5.999999999999999778e-01,3.548174109485385941e+01
1.000000000000000056e-01,1.000000000000000056e-01,7.000000000000000666e-01,3.143317325379878824e+01
1.000000000000000056e-01,1.000000000000000056e-01,8.000000000000000444e-01,2.688099844995731758e+01
1.000000000000000056e-01,1.000000000000000056e-01,9.000000000000000222e-01,2.284193583685602391e+01
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,1.906305161544629456e+01
1.000000000000000056e-01,1.200000000000000178e+00,1.000000000000000056e-01,1.732173160686221536e+01
1.000000000000000056e-01,1.200000000000000178e+00,2.000000000000000111e-01,1.606404732201549024e+01
1.000000000000000056e-01,1.200000000000000178e+00,3.000000000000000444e-01,1.565575226219195493e+01
1.000000000000000056e-01,1.200000000000000178e+00,4.000000000000000222e-01,1.913877403981182113e+01
1.000000000000000056e-01,1.200000000000000178e+00,5.000000000000000000e-01,3.060069692323395429e+01
1.000000000000000056e-01,1.200000000000000178e+00,5.999999999999999778e-01,3.102535814567217898e+01
1.000000000000000056e-01,1.200000000000000178e+00,7.000000000000000666e-01,3.383758443367030111e+01
1.000000000000000056e-01,1.200000000000000178e+00,8.000000000000000444e-01,3.414551373783091748e+01
1.000000000000000056e-01,1.200000000000000178e+00,9.000000000000000222e-01,3.863679128932550810e+01
1.000000000000000056e-01,1.200000000000000178e+00,1.000000000000000000e+00,3.891879729500393381e+01
1.000000000000000056e-01,2.300000000000000266e+00,1.000000000000000056e-01,1.426929576400005395e+01
1.000000000000000056e-01,2.300000000000000266e+00,2.000000000000000111e-01,1.773840027140642661e+01
1.000000000000000056e-01,2.300000000000000266e+00,3.000000000000000444e-01,1.621808056332567460e+01
1.000000000000000056e-01,2.300000000000000266e+00,4.000000000000000222e-01,1.575556726664528462e+01
1.000000000000000056e-01,2.300000000000000266e+00,5.000000000000000000e-01,1.633179924242703507e+01
1.000000000000000056e-01,2.300000000000000266e+00,5.999999999999999778e-01,1.661135283842237342e+01
1.000000000000000056e-01,2.300000000000000266e+00,7.000000000000000666e-01,1.893015809545775241e+01
1.000000000000000056e-01,2.300000000000000266e+00,8.000000000000000444e-01,2.042198121939717126e+01
1.000000000000000056e-01,2.300000000000000266e+00,9.000000000000000222e-01,2.522645912270692392e+01
1.000000000000000056e-01,2.300000000000000266e+00,1.000000000000000000e+00,2.743340174472179527e+01
