time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.412389830692640846e-02
1.000000000000000056e-01,0.000000000000000000e+00,3.120705921844826869e-02,7.513828606755023065e-01
2.000000000000000111e-01,3.120705921844828430e-03,3.422929267658013086e-01,1.200307758947565695e+00
3.000000000000000444e-01,3.734999859842497855e-02,7.855390994399579219e-01,1.486679821051267059e+00
4.000000000000000222e-01,1.159039085424207471e-01,1.225863801406553488e+00,1.569100645349716050e+00
5.000000000000000000e-01,2.384902886830760904e-01,1.514974310776093791e+00,1.437895942845951458e+00
5.999999999999999778e-01,3.899877197606854695e-01,1.528039509932048068e+00,1.117148437186101795e+00
6.999999999999999556e-01,5.427916707538903429e-01,1.198419985636879126e+00,6.543505078979469092e-01
7.999999999999999334e-01,6.626336693175782777e-01,5.348533713311613980e-01,1.012989186480277304e-01
8.999999999999999112e-01,7.161190064506942621e-01,-3.906331726616554811e-01,-4.812888478950514415e-01
9.999999999999998890e-01,6.770556891845287417e-01,-1.464439338748408481e+00,-1.024493868532522001e+00
1.099999999999999867e+00,5.306117553096880712e-01,-2.543344079270418501e+00,-1.445812701827118518e+00
1.199999999999999956e+00,2.762773473826460324e-01,-3.446033721993869037e+00,-1.666184795903065119e+00
1.300000000000000044e+00,-6.832602481674088235e-02,-3.956519780829867550e+00,-1.653389246689876080e+00
1.400000000000000133e+00,-4.639780028997276817e-01,-3.888874312562868418e+00,-1.430280723801145237e+00
1.500000000000000222e+00,-8.528654341560144569e-01,-3.197408799531741064e+00,-1.059396873844831388e+00
1.600000000000000311e+00,-1.172606314109188475e+00,-2.029977947471777622e+00,-5.899597604916715365e-01
1.700000000000000400e+00,-1.375604108856366414e+00,-6.208740586964751618e-01,-2.768019018661259725e-02
1.800000000000000488e+00,-1.437691514726013864e+00,8.722177807492249579e-01,6.296909618894087624e-01
1.900000000000000577e+00,-1.350469736651091379e+00,2.405105680584398886e+00,1.358158613768799983e+00
2.000000000000000444e+00,-1.109959168592651535e+00,3.964663352547344477e+00,2.064432572919709941e+00
2.100000000000000533e+00,-7.134928333379172427e-01,5.444542822889002487e+00,2.500000000000000000e+00
2.200000000000000622e+00,-1.690385510490171606e-01,6.514317309852541982e+00,2.500000000000000000e+00
2.300000000000000711e+00,4.823931799362369821e-01,6.709924896858804999e+00,2.500000000000000000e+00
2.400000000000000799e+00,1.153385669622117415e+00,5.970350006840494217e+00,2.129639848324872631e+00
2.500000000000000888e+00,1.750420670306167104e+00,4.556771795223194310e+00,1.728198058240045576e+00
2.600000000000000977e+00,2.206097849828486446e+00,3.112654341379779144e+00,1.370893481683542969e+00
2.700000000000001066e+00,2.517363283966464582e+00,2.016814708533779754e+00,1.076867077296463249e+00
2.800000000000001155e+00,2.719044754819842424e+00,1.296335570582585639e+00,8.419776218053541816e-01
2.900000000000001243e+00,2.848678311878100722e+00,8.471976882622536120e-01,6.558378113375493701e-01
3.000000000000001332e+00,2.933398080704326283e+00,5.685199323595867549e-01,5.121983318574522270e-01
3.100000000000001421e+00,2.990250073940285525e+00,3.934079266715192480e-01,3.981993136423732094e-01
3.200000000000001510e+00,3.029590866607436705e+00,2.796166171748581952e-01,3.098416657318593392e-01
3.300000000000001599e+00,3.057552528324922303e+00,2.034497894726702283e-01,2.403039575578174436e-01
3.400000000000001688e+00,3.077897507272189692e+00,1.505501677239153568e-01,1.869551552998281463e-01
3.500000000000001776e+00,3.092952524044580986e+00,1.130571261468868022e-01,1.453664606603485843e-01
3.600000000000001865e+00,3.104258236659269254e+00,8.582255136381658489e-02,1.130254903182790899e-01
3.700000000000001954e+00,3.112840491795651587e+00,6.568001949816477947e-02,8.752613220649685388e-02
3.800000000000002043e+00,3.119408493745467581e+00,5.043670016461900690e-02,6.852748094330210482e-02
3.900000000000002132e+00,3.124452163761929135e+00,3.913316046686765581e-02,5.271360666857083377e-02
4.000000000000001776e+00,3.128365479808616012e+00,3.027274465142643436e-02,4.135270302205490411e-02
4.100000000000001421e+00,3.131392754273758516e+00,2.370618112077594805e-02,3.135703711780750413e-02
4.200000000000001066e+00,3.133763372385836021e+00,1.835766580657126334e-02,2.542624443438043849e-02
4.300000000000000711e+00,3.135599138966620014e+00,1.479635444889793212e-02,1.930552834573385362e-02
4.400000000000000355e+00,3.137078774411406812e+00,1.187799972352027340e-02,1.484223947068146962e-02
4.500000000000000000e+00,3.138266574383758556e+00,9.683852400514230893e-03,1.125389006951620953e-02
4.599999999999999645e+00,3.139234959623810273e+00,8.043794631369985751e-03,7.832300312763534195e-03
4.699999999999999289e+00,3.140039339086947212e+00,6.621561698642321712e-03,5.022480714851979000e-03
4.799999999999998934e+00,3.140701495256811082e+00,5.403952932932907204e-03,6.785349265953572514e-04
4.899999999999998579e+00,3.141241890550104277e+00,3.507630396890641308e-03,-5.739235126696057808e-03
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
