time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.529988636415434422e-01
1.000000000000000056e-01,0.000000000000000000e+00,3.038247895601825510e-01,1.710170297030262798e+00
2.000000000000000111e-01,3.038247895601825857e-02,3.458543184316422714e+00,2.472028920937645591e+00
3.000000000000000444e-01,3.762367973876605265e-01,5.526401351590220834e+00,2.500000000000000000e+00
4.000000000000000222e-01,9.288769325466824656e-01,4.965385792864555725e+00,2.500000000000000000e+00
5.000000000000000000e-01,1.425415511833137971e+00,3.509876855900753601e+00,2.500000000000000000e+00
5.999999999999999778e-01,1.776403197423213509e+00,2.627803817518605367e+00,2.297936618493683358e+00
6.999999999999999556e-01,2.039183579175074090e+00,2.077620848173379109e+00,1.987887808172701609e+00
7.999999999999999334e-01,2.246945663992411912e+00,1.616586571416912532e+00,1.694424111243994613e+00
8.999999999999999112e-01,2.408604321134103721e+00,1.286173273428864672e+00,1.432362912802526145e+00
9.999999999999998890e-01,2.537221648476990055e+00,1.040612499150727288e+00,1.205213404848978653e+00
1.099999999999999867e+00,2.641282898392062872e+00,8.507778935220899896e-01,1.011073944201399843e+00
1.199999999999999956e+00,2.726360687744271427e+00,6.999294658898503885e-01,8.467303863394454178e-01
1.300000000000000044e+00,2.796353634333256899e+00,5.783944911807666900e-01,7.083320385954049447e-01
1.400000000000000133e+00,2.854193083451333823e+00,4.794349252134030848e-01,5.922248953092928980e-01
1.500000000000000222e+00,2.902136575972673604e+00,3.984154675446857086e-01,4.947753028517661300e-01
1.600000000000000311e+00,2.941978122727141987e+00,3.313135018890345229e-01,4.133202318490321048e-01
1.700000000000000400e+00,2.975109472916045661e+00,2.759534867675645931e-01,3.452088201798743650e-01
1.800000000000000488e+00,3.002704821592801832e+00,2.300119856174695498e-01,2.882814652392017840e-01
1.900000000000000577e+00,3.025706020154548703e+00,1.918245638558622734e-01,2.406374236719049375e-01
2.000000000000000444e+00,3.044888476540135169e+00,1.598826840451434139e-01,2.008971712054333780e-01
2.100000000000000533e+00,3.060876744944649452e+00,1.333582631719886780e-01,1.677309444188658794e-01
2.200000000000000622e+00,3.074212571261848215e+00,1.112695898963820956e-01,1.400882562264193221e-01
2.300000000000000711e+00,3.085339530251486551e+00,9.294421991128498650e-02,1.170361377881636855e-01
2.400000000000000799e+00,3.094633952242615837e+00,7.772814456875593025e-02,9.756543173610987552e-02
2.500000000000000888e+00,3.102406766699491225e+00,6.462630819084567990e-02,8.158386890528974977e-02
2.600000000000000977e+00,3.108869397518575717e+00,5.420045497093053943e-02,6.811460125772336727e-02
2.700000000000001066e+00,3.114289443015668901e+00,4.527325120653700324e-02,5.676551903458756931e-02
2.800000000000001155e+00,3.118816768136322803e+00,3.764707401416671206e-02,4.726563737816731614e-02
2.900000000000001243e+00,3.122581475537740126e+00,3.120420793877115226e-02,3.954532910004247143e-02
3.000000000000001332e+00,3.125701896331617213e+00,2.618303577593293976e-02,3.305727293407202672e-02
3.100000000000001421e+00,3.128320199909210508e+00,2.191072828005977829e-02,2.762892852755561776e-02
3.200000000000001510e+00,3.130511272737216633e+00,1.834527872583355257e-02,2.314479441815732452e-02
3.300000000000001599e+00,3.132345800609800168e+00,1.547992417768973700e-02,1.920511022712339741e-02
3.400000000000001688e+00,3.133893793027568986e+00,1.273778587397890460e-02,1.615779162384960860e-02
3.500000000000001776e+00,3.135167571614966953e+00,1.090742718020186464e-02,1.335744978336528971e-02
3.600000000000001865e+00,3.136258314332986963e+00,8.907469903500345176e-03,1.107261952940926525e-02
3.700000000000001954e+00,3.137149061323336152e+00,7.330567933589981870e-03,9.284260862484360749e-03
3.800000000000002043e+00,3.137882118116695374e+00,6.208368169201935148e-03,7.688972456478266292e-03
3.900000000000002132e+00,3.138502954933615197e+00,5.075650278205109250e-03,6.548010619581230013e-03
4.000000000000001776e+00,3.139010519961435985e+00,4.496081354851527365e-03,5.384338928526181955e-03
4.100000000000001421e+00,3.139460128096920766e+00,3.635044797705029671e-03,4.411604914128047089e-03
4.200000000000001066e+00,3.139823632576691281e+00,2.916124552080096022e-03,3.797373544258500402e-03
4.300000000000000711e+00,3.140115245031898983e+00,2.672185473868733414e-03,3.176100032432442859e-03
4.400000000000000355e+00,3.140382463579285854e+00,2.289723944138378608e-03,2.591932735105051833e-03
4.500000000000000000e+00,3.140611435973699628e+00,1.877050050590792088e-03,2.121595373364546736e-03
4.599999999999999645e+00,3.140799140978758786e+00,1.565978515583108313e-03,1.696807962224654819e-03
4.699999999999999289e+00,3.140955738830317312e+00,1.238691461343048280e-03,1.947348333136230628e-03
4.799999999999998934e+00,3.141079607976451360e+00,2.152974739347848342e-03,2.075029987544978888e-03
4.899999999999998579e+00,3.141294905450386477e+00,2.977481394071363786e-03,1.550975487218652640e-04
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
