time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.282469311005664636e-01
9.999999999999999167e-02,0.000000000000000000e+00,1.959683170749650649e-01,1.611257940877822481e+00
1.999999999999999556e-01,1.959683170749650441e-02,1.111114952327404426e+00,1.384175189867295819e+00
2.999999999999999334e-01,1.307083269402369297e-01,1.633700792903665544e+00,8.779109226207097993e-01
3.999999999999999112e-01,2.940784062306033841e-01,1.511969078809037192e+00,1.985535449612685077e-01
4.999999999999998890e-01,4.452753141115071145e-01,7.007399785950695348e-01,-5.229920903045168767e-01
5.999999999999998668e-01,5.153493119710140791e-01,-6.238808881318570476e-01,-1.155939072906713161e+00
6.999999999999998446e-01,4.529612231578283299e-01,-2.131957065811084906e+00,-1.572734332458784134e+00
7.999999999999998224e-01,2.397655165767198782e-01,-3.420409027296183790e+00,-1.673576100494397423e+00
8.999999999999998002e-01,-1.022753861528984121e-01,-4.068670518555905780e+00,-1.446581057244719304e+00
9.999999999999997780e-01,-5.091424380084890178e-01,-3.760363530829557099e+00,-9.734312477187267998e-01
1.099999999999999645e+00,-8.851787910914447055e-01,-2.487184269309573814e+00,-3.479649165484173245e-01
1.199999999999999734e+00,-1.133897218022402065e+00,-5.823267346570423220e-01,3.892666612177592689e-01
1.299999999999999822e+00,-1.192129891488105997e+00,1.566839992285202765e+00,1.204676502600653398e+00
1.399999999999999911e+00,-1.035445892259585721e+00,3.734887993051588584e+00,1.968058981062194901e+00
1.500000000000000000e+00,-6.619570929544269511e-01,5.705431433698734622e+00,2.430581230360303824e+00
1.600000000000000089e+00,-9.141394958455371922e-02,7.000000000000000000e+00,2.500000000000000000e+00
1.700000000000000178e+00,6.085860504154462225e-01,7.000000000000000000e+00,2.500000000000000000e+00
1.800000000000000266e+00,1.308586050415446067e+00,5.699204530651061695e+00,2.500000000000000000e+00
1.900000000000000355e+00,1.878506503480552148e+00,3.935800116295942175e+00,2.500000000000000000e+00
2.000000000000000444e+00,2.272086515110145921e+00,2.618600783609342120e+00,2.100707321764577973e+00
2.100000000000000533e+00,2.533946593471080089e+00,1.748428525135049316e+00,1.621058375828566822e+00
2.200000000000000622e+00,2.708789445984585154e+00,1.178512041009691202e+00,1.245404017421822385e+00
2.300000000000000711e+00,2.826640650085554096e+00,8.177046069251105997e-01,9.545887265980801395e-01
2.400000000000000799e+00,2.908411110778065467e+00,5.845652009447547259e-01,7.307320232608532917e-01
2.500000000000000888e+00,2.966867630872541017e+00,4.278580289613448384e-01,5.589477311991124520e-01
2.600000000000000977e+00,3.009653433768674891e+00,3.183142262394047517e-01,4.273520512281243078e-01
2.700000000000001066e+00,3.041484856392615566e+00,2.393200890556989591e-01,3.266870150143841300e-01
2.800000000000001155e+00,3.065416865298185911e+00,1.811224425276296568e-01,2.496615518263247402e-01
2.900000000000001243e+00,3.083529109550948721e+00,1.376085993107500904e-01,1.907924254675016362e-01
3.000000000000001332e+00,3.097289969482023508e+00,1.047960971093943872e-01,1.457983079407485505e-01
3.100000000000001421e+00,3.107769579192963150e+00,7.992049432376309437e-02,1.114104748406616746e-01
3.200000000000001510e+00,3.115761628625339341e+00,6.100049956106949611e-02,8.513055568524331707e-02
3.300000000000001599e+00,3.121861678581445698e+00,4.658259328039335984e-02,6.504770952788140048e-02
3.400000000000001688e+00,3.126519937909485236e+00,3.558318418145452189e-02,4.970213307852202472e-02
3.500000000000001776e+00,3.130078256327630815e+00,2.718707420837996810e-02,3.797585241275526491e-02
3.600000000000001865e+00,3.132796963748468944e+00,2.077604103496875562e-02,2.901571446343247443e-02
3.700000000000001954e+00,3.134874567851965832e+00,1.588049204823284086e-02,2.216949459900885433e-02
3.800000000000002043e+00,3.136462617056788638e+00,1.214286983026196046e-02,1.693867776367702360e-02
3.900000000000002132e+00,3.137676904039814918e+00,9.290635928531328427e-03,1.294221306384397453e-02
4.000000000000001776e+00,3.138605967632668303e+00,7.115989981662842676e-03,9.888775439954746935e-03
4.100000000000001421e+00,3.139317566630834389e+00,5.460526481683620342e-03,7.555605696643810307e-03
4.200000000000001066e+00,3.139863619279003260e+00,4.203612760789284669e-03,5.772445855703792726e-03
4.300000000000000711e+00,3.140283980555082177e+00,3.253637635220220370e-03,4.409299448057857514e-03
4.400000000000000355e+00,3.140609344318604279e+00,2.541451355612938529e-03,3.366488711277655210e-03
4.500000000000000000e+00,3.140863489454165602e+00,2.015129118710349328e-03,2.565137053788458382e-03
4.599999999999999645e+00,3.141065002366036918e+00,1.634709446247749939e-03,1.939264340996226270e-03
4.699999999999999289e+00,3.141228473310661240e+00,1.366849167401795176e-03,1.434120539862636465e-03
4.799999999999998934e+00,3.141365158227402254e+00,1.182107096863946284e-03,1.070960765175324285e-03
4.899999999999998579e+00,3.141483368937377563e+00,1.092846527052122180e-03,-1.034231704730991051e-03
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
