time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.611697591001946872e-01
1.000000000000000056e-01,0.000000000000000000e+00,1.559222442389222307e-01,1.332217548082215597e+00
2.000000000000000111e-01,1.559222442389222515e-02,9.140408414846811214e-01,1.209416591522963769e+00
3.000000000000000444e-01,1.069963085723603380e-01,1.387211482568665444e+00,8.339094742576624864e-01
4.000000000000000222e-01,2.457174568292269101e-01,1.344267041745901281e+00,2.720104988172643012e-01
5.000000000000000000e-01,3.801441610038170382e-01,7.083812409097037799e-01,-3.765870752361573093e-01
5.999999999999999778e-01,4.509822850947874384e-01,-4.136214101144038424e-01,-9.970420045444930990e-01
6.999999999999999556e-01,4.096201440833470708e-01,-1.765232604502663172e+00,-1.465029800667952076e+00
7.999999999999999334e-01,2.330968836330807037e-01,-2.999717115435371007e+00,-1.662332962820249893e+00
8.999999999999999112e-01,-6.687482791045640251e-02,-3.729010236086875985e+00,-1.528882999136332854e+00
9.999999999999998890e-01,-4.397758515191440010e-01,-3.620155598147603460e+00,-1.096705635563012482e+00
1.099999999999999867e+00,-8.017914113339043025e-01,-2.575094513409113439e+00,-4.490743207172378515e-01
1.199999999999999956e+00,-1.059300862674815713e+00,-8.183504652156130543e-01,3.564302213411555953e-01
1.300000000000000044e+00,-1.141135909196377085e+00,1.300761802588664029e+00,1.277118747318642056e+00
1.400000000000000133e+00,-1.011059728937510727e+00,3.536259736782290997e+00,2.187263983101184639e+00
1.500000000000000222e+00,-6.574337552592814937e-01,5.660198056747278272e+00,2.500000000000000000e+00
1.600000000000000311e+00,-9.141394958455370534e-02,7.000000000000000000e+00,2.500000000000000000e+00
1.700000000000000400e+00,6.085860504154463335e-01,7.000000000000000000e+00,2.500000000000000000e+00
1.800000000000000488e+00,1.308586050415446289e+00,5.699204530651061695e+00,2.500000000000000000e+00
1.900000000000000577e+00,1.878506503480552592e+00,3.935800116295941287e+00,2.500000000000000000e+00
2.000000000000000444e+00,2.272086515110146809e+00,2.618600783609340787e+00,2.162562579888912762e+00
2.100000000000000533e+00,2.533946593471080533e+00,1.785357037448083606e+00,1.634054140366304475e+00
2.200000000000000622e+00,2.712482297215889293e+00,1.214380469509308114e+00,1.227746024860078888e+00
2.300000000000000711e+00,2.833920344166819927e+00,8.410482559993878171e-01,9.198075531068881094e-01
2.400000000000000799e+00,2.918025169766758520e+00,5.951655582578946335e-01,6.880097074354275533e-01
2.500000000000000888e+00,2.977541725592548261e+00,4.287940460948476695e-01,5.141985517701594954e-01
2.600000000000000977e+00,3.020421130202032955e+00,3.129535326402405060e-01,3.841318579546403322e-01
2.700000000000001066e+00,3.051716483466057284e+00,2.303936211902850306e-01,2.869183499604787690e-01
2.800000000000001155e+00,3.074755845585085634e+00,1.705690431492778436e-01,2.142734364266210834e-01
2.900000000000001243e+00,3.091812749900013202e+00,1.267243696549702481e-01,1.599846948516274736e-01
3.000000000000001332e+00,3.104485186865510560e+00,9.434724557068027706e-02,1.194318421677991598e-01
3.100000000000001421e+00,3.113919911422578402e+00,7.033100978754086574e-02,8.914423606064753036e-02
3.200000000000001510e+00,3.120953012401332494e+00,5.246899333553101813e-02,6.652285291718790239e-02
3.300000000000001599e+00,3.126199911734885539e+00,3.916211951393145513e-02,4.962729488616556689e-02
3.400000000000001688e+00,3.130116123686278673e+00,2.923884026218366225e-02,3.700886799955778461e-02
3.500000000000001776e+00,3.133040007712497133e+00,2.183481966850457992e-02,2.758447051505870731e-02
3.600000000000001865e+00,3.135223489679347608e+00,1.630878818237960909e-02,2.054553999231114106e-02
3.700000000000001954e+00,3.136854368497585366e+00,1.218393097610974245e-02,1.528831203558510612e-02
3.800000000000002043e+00,3.138072761595196436e+00,9.105205303174858378e-03,1.136153492891024339e-02
3.900000000000002132e+00,3.138983282125514140e+00,6.807819914142334422e-03,8.427821562337576081e-03
4.000000000000001776e+00,3.139664064116928444e+00,5.094026054331895516e-03,6.234981707434585421e-03
4.100000000000001421e+00,3.140173466722361084e+00,3.816029096505655759e-03,4.594921188295865953e-03
4.200000000000001066e+00,3.140555069632012142e+00,2.863531347246921210e-03,3.368124244716924360e-03
4.300000000000000711e+00,3.140841422766736724e+00,2.154784011339251019e-03,2.451546681047368434e-03
4.400000000000000355e+00,3.141056901167870397e+00,1.629903918148830656e-03,1.766614474852870251e-03
4.500000000000000000e+00,3.141219891559685617e+00,1.244222118872274343e-03,1.240496600412130173e-03
4.599999999999999645e+00,3.141344313771572860e+00,9.563303364436628873e-04,7.734594024208206204e-04
4.699999999999999289e+00,3.141439946805216987e+00,7.024770270729727324e-04,4.203916507693576665e-04
4.799999999999998934e+00,3.141510194507924236e+00,4.860906977957330367e-04,2.182114664972651351e-04
4.899999999999998579e+00,3.141558803577535919e+00,3.385001208916150117e-04,-3.203446663742810264e-04
4.999999999999998224e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00
