q11,q22,r,Vol
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,-3.268173120185841185e+01
1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000444e-01,-3.400786743118313638e+01
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,-3.937033284716703463e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,-3.972369213845477987e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01,-3.776952469784907862e+01
1.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000666e-01,-3.913845782787857530e+01
1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000222e-01,-4.175311592438909969e+01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-4.437986110654276928e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,-2.420905023249233778e+01
1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000111e-01,-2.579839761264290487e+01
1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000444e-01,-2.754304096574875516e+01
1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,-2.591902761010243239e+01
1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01,-3.038469195938983347e+01
1.000000000000000000e+00,2.000000000000000000e+00,5.999999999999999778e-01,-3.330906699898386591e+01
1.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000666e-01,-3.323745719690155198e+01
1.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000444e-01,-3.110374359851208581e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000222e-01,-2.885905890425191700e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,-3.110959001622419606e+01
1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000056e-01,-2.032123623453553307e+01
1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000111e-01,-2.142701286511350744e+01
1.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000444e-01,-2.272323416443979838e+01
1.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000222e-01,-2.404329732689078014e+01
1.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000000e-01,-2.592692501592471643e+01
1.000000000000000000e+00,3.000000000000000000e+00,5.999999999999999778e-01,-2.746827720981116627e+01
1.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000666e-01,-2.898377034299968003e+01
1.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000444e-01,-2.885551463717728637e+01
1.000000000000000000e+00,3.000000000000000000e+00,9.000000000000000222e-01,-2.936627585031678223e+01
1.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,-2.996892458706651752e+01
1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000056e-01,-1.872385814630682432e+01
1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000111e-01,-1.922753938347664970e+01
1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000444e-01,-2.130893978116762355e+01
1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000222e-01,-2.240803734615111864e+01
1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01,-2.268432342094563126e+01
1.000000000000000000e+00,4.000000000000000000e+00,5.999999999999999778e-01,-2.415810999160075312e+01
1.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000666e-01,-2.555303223827929315e+01
1.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000444e-01,-2.575986011772595674e+01
1.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000222e-01,-2.608260727713932070e+01
1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,-2.588344840909562095e+01
1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000056e-01,-1.710824099674594478e+01
1.000000000000000000e+00,5.000000000000000000e+00,2.000000000000000111e-01,-1.853216469260857124e+01
1.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000444e-01,-1.938885112973842695e+01
1.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000222e-01,-2.056301620117646678e+01
1.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e-01,-2.186706264769306074e+01
1.000000000000000000e+00,5.000000000000000000e+00,5.999999999999999778e-01,-2.188056594644303843e+01
1.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000666e-01,-2.319634350767982056e+01
1.000000000000000000e+00,5.000000000000000000e+00,8.000000000000000444e-01,-2.327194456275510959e+01
1.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000222e-01,-2.345457921829808612e+01
1.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,-2.366702920348319594e+01
1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000056e-01,-1.579971726991556125e+01
1.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000111e-01,-1.722322994140520791e+01
1.000000000000000000e+00,6.000000000000000000e+00,3.000000000000000444e-01,-1.797907764535906594e+01
1.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000222e-01,-1.907410817880866105e+01
1.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e-01,-1.999243767847167064e+01
1.000000000000000000e+00,6.000000000000000000e+00,5.999999999999999778e-01,-2.021075780755970897e+01
1.000000000000000000e+00,6.000000000000000000e+00,7.000000000000000666e-01,-2.145497199014332779e+01
1.000000000000000000e+00,6.000000000000000000e+00,8.000000000000000444e-01,0.000000000000000000e+00
1.000000000000000000e+00,6.000000000000000000e+00,9.000000000000000222e-01,-2.162887542554102538e+01
1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,-2.189305506137942459e+01
1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000056e-01,-1.462950223790940285e+01
1.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000111e-01,-1.621591101179301120e+01
1.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000444e-01,-1.694072720142520794e+01
1.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000222e-01,-1.792064619650442836e+01
1.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e-01,-1.877163074124485220e+01
1.000000000000000000e+00,7.000000000000000000e+00,5.999999999999999778e-01,-1.905443855538853981e+01
1.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000666e-01,-2.010623751176439811e+01
1.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000444e-01,-2.014793875321172223e+01
1.000000000000000000e+00,7.000000000000000000e+00,9.000000000000000222e-01,-2.029377208379219510e+01
1.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,-2.049994813658519632e+01
1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000056e-01,-1.382364374495110582e+01
1.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000111e-01,-1.546210586255931574e+01
1.000000000000000000e+00,8.000000000000000000e+00,3.000000000000000444e-01,-1.594423083295201948e+01
1.000000000000000000e+00,8.000000000000000000e+00,4.000000000000000222e-01,-1.707106819320287272e+01
1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01,-1.780058156347635645e+01
1.000000000000000000e+00,8.000000000000000000e+00,5.999999999999999778e-01,-1.900632696285073209e+01
1.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000666e-01,-1.899885629627860695e+01
1.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000444e-01,-1.914719571501195716e+01
1.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000222e-01,-1.935263493413287961e+01
1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,-1.957065798764736897e+01
1.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000056e-01,-1.296737651278606940e+01
1.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000111e-01,-1.461719631678867160e+01
1.000000000000000000e+00,9.000000000000000000e+00,3.000000000000000444e-01,-1.533084509090770808e+01
1.000000000000000000e+00,9.000000000000000000e+00,4.000000000000000222e-01,-1.612930229535782800e+01
1.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000000e-01,-1.698531317507205429e+01
1.000000000000000000e+00,9.000000000000000000e+00,5.999999999999999778e-01,-1.821914097624607365e+01
1.000000000000000000e+00,9.000000000000000000e+00,7.000000000000000666e-01,-1.822424881884143488e+01
1.000000000000000000e+00,9.000000000000000000e+00,8.000000000000000444e-01,-1.850403570416585808e+01
1.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000222e-01,-1.848052716833829479e+01
1.000000000000000000e+00,9.000000000000000000e+00,1.000000000000000000e+00,-1.878257154419792130e+01
1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000056e-01,-1.248170283433478467e+01
1.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000111e-01,-1.411493106627308158e+01
1.000000000000000000e+00,1.000000000000000000e+01,3.000000000000000444e-01,-1.482621404300956769e+01
1.000000000000000000e+00,1.000000000000000000e+01,4.000000000000000222e-01,-1.378771516014539245e+01
1.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e-01,-1.631489571475916733e+01
1.000000000000000000e+00,1.000000000000000000e+01,5.999999999999999778e-01,-1.750704959057117804e+01
1.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000666e-01,-1.748745316861016263e+01
1.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000444e-01,-1.768547955582684139e+01
1.000000000000000000e+00,1.000000000000000000e+01,9.000000000000000222e-01,-1.787972629493395971e+01
1.000000000000000000e+00,1.000000000000000000e+01,1.000000000000000000e+00,-1.818041332564428814e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,-2.893642875854508389e+01
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,-2.880803398564500029e+01
2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000444e-01,-3.377094523976884943e+01
2.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,-3.884923358887549938e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01,-3.570551574381219950e+01
2.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000666e-01,-3.681693481725041295e+01
2.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01,-3.985824245313587966e+01
2.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000222e-01,-4.063938560336085715e+01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-4.756935464088044796e+01
2.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000056e-01,-1.953275840380646500e+01
2.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000111e-01,-2.480583312036339549e+01
2.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000444e-01,-2.348603424834096742e+01
2.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000222e-01,-2.867749759688161504e+01
2.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01,-2.989665681109003970e+01
2.000000000000000000e+00,2.000000000000000000e+00,5.999999999999999778e-01,-3.242115643529751168e+01
2.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000666e-01,-2.910157419272002954e+01
2.000000000000000000e+00,2.000000000000000000e+00,8.000000000000000444e-01,-2.741943292026606116e+01
