time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.870995657776678561e-02,3.906947247815187665e-03,4.141446135681736140e-01,2.500000000000000000e+00
3.741991315553357123e-02,1.548102946948750301e-02,8.178730844002674027e-01,2.500000000000000000e+00
5.612986973330035684e-02,3.449607921354246737e-02,1.207914780594454562e+00,2.500000000000000000e+00
7.483982631106714245e-02,6.066623916347468892e-02,1.581174796899220469e+00,2.500000000000000000e+00
9.354978288883392112e-02,9.364953674007531204e-02,1.934766404312022514e+00,2.500000000000000000e+00
1.122597394666006998e-01,1.330521015551419384e-01,2.266047718651431175e+00,2.500000000000000000e+00
1.309696960443674785e-01,1.784331086585744242e-01,2.572662429148523611e+00,2.500000000000000000e+00
1.496796526221342571e-01,2.293105165093699271e-01,2.852583247796684596e+00,2.500000000000000000e+00
1.683896091999010358e-01,2.851676329348339367e-01,3.104155674945775267e+00,2.500000000000000000e+00
1.870995657776678145e-01,3.454604884680529953e-01,3.326138864021268571e+00,2.500000000000000000e+00
2.058095223554345932e-01,4.096259303231029603e-01,3.517739929222797546e+00,2.500000000000000000e+00
2.245194789332013718e-01,4.770902798412391399e-01,3.678638057616210766e+00,2.500000000000000000e+00
2.432294355109681505e-01,5.472783305819507449e-01,3.808995286369353472e+00,2.500000000000000000e+00
2.619393920887349569e-01,6.196224122677410628e-01,3.909451742150537257e+00,2.500000000000000000e+00
2.806493486665017634e-01,6.935712149461441545e-01,3.981104398770434649e+00,2.500000000000000000e+00
2.993593052442685698e-01,7.685980627109961771e-01,4.025469823374553613e+00,2.500000000000000000e+00
3.180692618220353762e-01,8.442083483208231431e-01,4.044432758319909560e+00,2.500000000000000000e+00
3.367792183998021827e-01,9.199458865845573374e-01,4.040183542661763383e+00,2.500000000000000000e+00
3.554891749775689891e-01,9.953980098062727988e-01,4.015148173796068143e+00,2.500000000000000000e+00
3.741991315553357955e-01,1.070199305133950896e+00,3.971915170903959069e+00,2.500000000000000000e+00
3.929090881331026019e-01,1.144033972827301460e+00,3.913163324133408505e+00,2.500000000000000000e+00
4.116190447108694084e-01,1.216636858316013425e+00,3.841593957659103609e+00,2.500000000000000000e+00
4.303290012886362148e-01,1.287793273181849552e+00,3.759870606144370520e+00,2.500000000000000000e+00
4.490389578664030212e-01,1.357337766856172800e+00,3.670568127740401643e+00,2.500000000000000000e+00
4.677489144441698277e-01,1.425152040280375232e+00,3.576132373826718336e+00,2.500000000000000000e+00
4.864588710219366341e-01,1.491162205575777167e+00,3.478850705858401504e+00,2.500000000000000000e+00
5.051688275997033850e-01,1.555335594068142591e+00,3.380832961258893654e+00,2.500000000000000000e+00
5.238787841774701359e-01,1.617677301938058143e+00,3.284001958383770070e+00,2.500000000000000000e+00
5.425887407552368868e-01,1.678226641812007758e+00,3.190092301114575424e+00,2.500000000000000000e+00
5.612986973330036378e-01,1.737053643131879266e+00,3.100656080832436601e+00,2.500000000000000000e+00
5.800086539107703887e-01,1.794255717045722287e+00,3.017074048286383370e+00,2.500000000000000000e+00
5.987186104885371396e-01,1.849954575121082190e+00,2.940570905485365483e+00,2.500000000000000000e+00
6.174285670663038905e-01,1.904293466991823447e+00,2.872233513715335196e+00,2.500000000000000000e+00
6.361385236440706414e-01,1.957434781083683406e+00,2.813030997670061595e+00,2.500000000000000000e+00
6.548484802218373924e-01,2.009558035274895627e+00,2.763835923011356943e+00,2.500000000000000000e+00
6.735584367996041433e-01,2.060772120461361379e+00,2.716313688844863794e+00,2.444872278452931091e+00
6.922683933773708942e-01,2.110978666184714303e+00,2.656679680618728945e+00,2.301361587352804605e+00
7.109783499551376451e-01,2.159976922187497816e+00,2.587604783078957027e+00,2.168256538132288025e+00
7.296883065329043960e-01,2.207608584696378884e+00,2.510961485962826867e+00,2.041849418126167937e+00
7.483982631106711469e-01,2.253752290105829115e+00,2.428825039573879963e+00,1.924389877007928185e+00
7.671082196884378979e-01,2.298322135703496194e+00,2.342917542561472999e+00,1.814750479099697333e+00
