time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,3.641137527052020102e-03,3.608627370560483771e-01,2.039037015149131271e+00
4.000000000000000083e-02,1.445640087783367500e-02,7.156810858132647279e-01,2.060972549576442159e+00
5.999999999999999778e-02,3.232040283128311681e-02,1.064039289823030865e+00,2.099488500317034045e+00
8.000000000000000167e-02,5.709855972788663303e-02,1.405438355758186209e+00,2.153693972136645929e+00
1.000000000000000056e-01,8.864552149834249717e-02,1.739308554980875332e+00,2.222685958800757255e+00
1.200000000000000094e-01,1.268035896614128910e-01,2.064996824575237255e+00,2.305365962202436947e+00
1.400000000000000133e-01,1.714009610450357990e-01,2.381762627237955066e+00,2.400434669904883300e+00
1.600000000000000033e-01,2.222385732747498566e-01,2.687652803590590000e+00,2.500000000000000000e+00
1.799999999999999933e-01,2.788948478766759553e-01,2.962564367587537273e+00,2.500000000000000000e+00
1.999999999999999833e-01,3.407310775871634778e-01,3.204842024890616425e+00,2.500000000000000000e+00
2.199999999999999734e-01,4.070807761188655616e-01,3.413387022322893039e+00,2.500000000000000000e+00
2.399999999999999634e-01,4.772612304275041240e-01,3.587692274902881895e+00,2.500000000000000000e+00
2.599999999999999534e-01,5.505855994184456481e-01,3.727859505377035365e+00,2.500000000000000000e+00
2.799999999999999711e-01,6.263751567317672464e-01,3.834594858550001817e+00,2.500000000000000000e+00
2.999999999999999889e-01,7.039712209031308010e-01,3.909181367927700546e+00,2.500000000000000000e+00
3.200000000000000067e-01,7.827463046469051999e-01,3.953428866501998318e+00,2.500000000000000000e+00
3.400000000000000244e-01,8.621140490533132361e-01,3.969604107308547292e+00,2.500000000000000000e+00
3.600000000000000422e-01,9.415375839430955018e-01,3.960345667497771949e+00,2.500000000000000000e+00
3.800000000000000600e-01,1.020536062268835309e+00,3.928569406319001089e+00,2.500000000000000000e+00
4.000000000000000777e-01,1.098689240199306472e+00,3.877370709829922379e+00,2.500000000000000000e+00
4.200000000000000955e-01,1.175640100138243493e+00,3.809929495208220995e+00,2.500000000000000000e+00
4.400000000000001132e-01,1.251095627685219869e+00,3.729423092075087709e+00,2.500000000000000000e+00
4.600000000000001310e-01,1.324825945204127331e+00,3.638950867169938430e+00,2.500000000000000000e+00
4.800000000000001488e-01,1.396662068464943784e+00,3.541473035474939302e+00,2.500000000000000000e+00
