time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.805561279558594995e-02,3.094995710909228745e-03,3.397477272131384507e-01,1.907067897498168296e+00
3.611122559117189990e-02,1.229358827495877042e-02,6.747621201012179437e-01,1.929708833780863442e+00
5.416683838675784984e-02,2.749719834592284987e-02,1.003622581981933770e+00,1.958816582625720226e+00
7.222245118234379979e-02,4.858180531514073169e-02,1.324938235392261410e+00,1.994128707676445122e+00
9.027806397792975668e-02,7.539854120614780664e-02,1.637355600577138581e+00,2.035341061298673537e+00
1.083336767735157136e-01,1.077694631224737909e-01,1.939022159347235874e+00,2.079034444060621212e+00
1.263892895691016705e-01,1.454892388951342097e-01,2.228764795497684581e+00,2.128201289294142651e+00
1.444449023646876273e-01,1.883283805674432765e-01,2.505097860598363813e+00,2.180183268572073452e+00
1.625005151602735842e-01,2.360304614307122684e-01,2.766540513673558355e+00,2.233883414921626009e+00
1.805561279558595411e-01,2.883125876406493759e-01,3.011660718287828775e+00,2.288242883549833628e+00
1.986117407514454980e-01,3.448666281074624917e-01,3.239114431218743650e+00,2.342206824691365874e+00
2.166673535470314549e-01,4.053610665134822488e-01,3.447674363936124031e+00,2.394669488928779622e+00
2.347229663426174118e-01,4.694433920449331277e-01,3.636259700303794862e+00,2.444494958788616223e+00
2.527785791382033409e-01,5.367583802620412570e-01,3.805649961627744382e+00,2.500000000000000000e+00
2.708341919337892700e-01,6.068687986623877428e-01,3.946084005287541885e+00,2.500000000000000000e+00
2.888898047293751992e-01,6.792565951250946199e-01,4.058312287638448090e+00,2.500000000000000000e+00
3.069454175249611283e-01,7.534211836353609248e-01,4.143507514492610788e+00,2.500000000000000000e+00
3.250010303205470574e-01,8.288868156198532233e-01,4.203229850849814930e+00,2.500000000000000000e+00
3.430566431161329866e-01,9.052092066946462179e-01,4.239380164148649932e+00,2.500000000000000000e+00
3.611122559117189157e-01,9.819812224334607542e-01,4.254143929842118865e+00,2.500000000000000000e+00
3.791678687073048448e-01,1.058837481379836909e+00,4.249929065437090259e+00,2.500000000000000000e+00
3.972234815028907740e-01,1.135457796682728837e+00,4.229301243563756252e+00,2.500000000000000000e+00
4.152790942984767031e-01,1.211569442800206842e+00,4.194920165406729851e+00,2.500000000000000000e+00
4.333347070940626322e-01,1.286948294527779701e+00,4.149479901282743910e+00,2.500000000000000000e+00
4.513903198896485613e-01,1.361418937257189432e+00,4.095655807988703323e+00,2.500000000000000000e+00
4.694459326852344905e-01,1.434810203793491779e+00,4.031264604039984434e+00,2.473083621966817081e+00
4.875015454808204196e-01,1.506917038464958170e+00,3.954713571824920670e+00,2.422618999640918869e+00
5.055571582764063487e-01,1.577536303983350541e+00,3.867758560616836316e+00,2.367725025843503417e+00
5.236127710719923334e-01,1.646494781507327643e+00,3.771940898288105082e+00,2.308067959296077554e+00
5.416683838675783180e-01,1.713647560645014556e+00,3.668839878422778700e+00,2.244878636549220374e+00
5.597239966631643027e-01,1.778875872371295852e+00,3.559763630152373626e+00,2.177779507395392500e+00
5.777796094587502873e-01,1.842085924245697948e+00,3.446162368812859533e+00,2.108768311333505174e+00
5.958352222543362720e-01,1.903208698293123113e+00,3.329328202764246569e+00,2.038213532695646979e+00
6.138908350499222566e-01,1.962197607289645873e+00,3.210454264368699295e+00,1.966807321119029783e+00
6.319464478455082412e-01,2.019026170163774392e+00,3.090578286621169735e+00,1.894892962557715332e+00
6.500020606410942259e-01,2.073684695902294539e+00,2.970528555936795101e+00,1.822450128075890241e+00
6.680576734366802105e-01,2.126178117115699262e+00,2.851102537459440978e+00,1.750380076478654345e+00
6.861132862322661952e-01,2.176524638375339382e+00,2.732980739259792458e+00,1.679023997916839761e+00
7.041688990278521798e-01,2.224753636139358726e+00,2.616728614701772759e+00,1.608641135916611065e+00
7.222245118234381644e-01,2.270903690444173062e+00,2.502808799465428002e+00,1.539463541544580538e+00
7.402801246190241491e-01,2.315020905284800090e+00,2.391600518021356425e+00,1.471737296659405780e+00
7.583357374146101337e-01,2.357157481216010986e+00,2.283408029448490861e+00,1.405664695515441043e+00
7.763913502101961184e-01,2.397370590085642128e+00,2.178485342377092682e+00,1.341500058871119672e+00
7.944469630057821030e-01,2.435720955103785723e+00,2.076979539905319250e+00,1.279099617434648728e+00
8.125025758013680877e-01,2.472269487561646439e+00,1.978772879314283806e+00,1.217355082611083938e+00
8.305581885969540723e-01,2.507081565962296477e+00,1.884476116320426442e+00,1.160652961677197448e+00
8.486138013925400569e-01,2.540225975412622628e+00,1.793870074912066848e+00,1.104630811308325411e+00
8.666694141881260416e-01,2.571769501786771883e+00,1.706954205008346381e+00,1.050687176122985456e+00
8.847250269837120262e-01,2.601778714880196297e+00,1.623709205441925318e+00,9.988662430489905208e-01
9.027806397792980109e-01,2.630319581624184000e+00,1.544091256556264558e+00,9.491394183028506459e-01
9.208362525748839955e-01,2.657457065587366163e+00,1.468036181653993744e+00,9.014657732092522524e-01
9.388918653704699802e-01,2.683254808594741192e+00,1.395464415007541037e+00,8.558018261647590830e-01
9.569474781660559648e-01,2.707774901078894292e+00,1.326285909737855873e+00,8.121060308532145333e-01
9.750030909616419494e-01,2.731077730153342209e+00,1.260403897210427004e+00,7.703366219803974291e-01
9.930587037572279341e-01,2.753221872221802702e+00,1.197716126900841394e+00,7.304411654888343097e-01
1.011114316552813808e+00,2.774264010934915259e+00,1.138116464452425758e+00,6.923616441037709901e-01
1.029169929348399792e+00,2.794258875607363635e+00,1.081495601091721381e+00,6.560322038927536292e-01
1.047225542143985777e+00,2.813259196918698635e+00,1.027742281428095650e+00,6.213844077661226928e-01
1.065281154939571762e+00,2.831315689608322028e+00,9.767450884903569053e-01,5.883524505176092045e-01
1.083336767735157746e+00,2.848477070608523398e+00,9.283946087037677763e-01,5.568771268802005237e-01
1.101392380530743731e+00,2.864790117945513970e+00,8.825858084190992825e-01,5.269085904241862517e-01
1.119447993326329716e+00,2.880299764697464848e+00,8.392195745557845532e-01,4.984029630637714092e-01
1.137503606121915700e+00,2.895048822841672642e+00,7.981605851681022878e-01,4.710781409284485188e-01
1.155559218917501685e+00,2.909078109155036618e+00,7.593226756872265559e-01,4.451279106868580304e-01
1.173614831713087669e+00,2.922426776069542154e+00,7.226078517515588384e-01,4.204074708281719253e-01
1.191670444508673654e+00,2.935132211185438766e+00,6.879185947102962606e-01,3.968400606178217882e-01
