time,pos,vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,4.598124951804442861e-03,4.555839445659628506e-01,2.500000000000000000e+00
4.000000000000000083e-02,1.820162252600420610e-02,8.984044751721592670e-01,2.500000000000000000e+00
5.999999999999999778e-02,4.051348513430850368e-02,1.324389574999063290e+00,2.500000000000000000e+00
8.000000000000000167e-02,7.115750772320401929e-02,1.729713360014490942e+00,2.500000000000000000e+00
1.000000000000000056e-01,1.096836590329732380e-01,2.110844050310778375e+00,2.500000000000000000e+00
1.200000000000000094e-01,1.555744773832022088e-01,2.464598955943875680e+00,2.500000000000000000e+00
1.400000000000000133e-01,2.082526343487760834e-01,2.788205684714120558e+00,2.500000000000000000e+00
1.600000000000000033e-01,2.670897719748811516e-01,3.079366631084530681e+00,2.500000000000000000e+00
1.799999999999999933e-01,3.314166402647704124e-01,3.336321981907785172e+00,2.500000000000000000e+00
1.999999999999999833e-01,4.005344509750513593e-01,3.557905259606519266e+00,2.500000000000000000e+00
2.199999999999999734e-01,4.737272360342962285e-01,3.743585043188129902e+00,2.500000000000000000e+00
2.399999999999999634e-01,5.502748726112740574e-01,3.893487078027177972e+00,2.500000000000000000e+00
2.599999999999999534e-01,6.294663314447729308e-01,4.008392471521346145e+00,2.500000000000000000e+00
2.799999999999999711e-01,7.106126376466417316e-01,4.089709874979665649e+00,2.500000000000000000e+00
2.999999999999999889e-01,7.930590154398321490e-01,4.139422137618059772e+00,2.500000000000000000e+00
3.200000000000000067e-01,8.761957240657134438e-01,4.160010479055380905e+00,2.500000000000000000e+00
3.400000000000000244e-01,9.594671768092009057e-01,4.154361367316582232e+00,2.500000000000000000e+00
3.600000000000000422e-01,1.042379056813956817e+00,4.125662709280795148e+00,2.500000000000000000e+00
3.800000000000000600e-01,1.124503285393260610e+00,4.077296508647662243e+00,2.500000000000000000e+00
4.000000000000000777e-01,1.205480842770784600e+00,4.012734836910180292e+00,2.500000000000000000e+00
4.200000000000000955e-01,1.285022571332854913e+00,3.935444950287230181e+00,2.500000000000000000e+00
4.400000000000001132e-01,1.362908195516927101e+00,3.848807913217903387e+00,2.500000000000000000e+00
4.600000000000001310e-01,1.438983863812414610e+00,3.756053426494307956e+00,2.500000000000000000e+00
4.800000000000001488e-01,1.513158555797004423e+00,3.660211947437121083e+00,2.500000000000000000e+00
5.000000000000001110e-01,1.585399703832321983e+00,3.564083809728768149e+00,2.500000000000000000e+00
5.200000000000001288e-01,1.655728361022841266e+00,3.470224004076078561e+00,2.500000000000000000e+00
5.400000000000001465e-01,1.724118861924108570e+00,3.371493314460348945e+00,2.448158379121333716e+00
5.600000000000001643e-01,1.790460106803097196e+00,3.266427838196001687e+00,2.376069781133987924e+00
5.800000000000001821e-01,1.854645327188032766e+00,3.156884795891020001e+00,2.303076144180836060e+00
6.000000000000001998e-01,1.916600646899052851e+00,3.044296639859848330e+00,2.228340287327697400e+00
6.200000000000002176e-01,1.976278805188765642e+00,2.929894748642481783e+00,2.152210662764140192e+00
6.400000000000002354e-01,2.033656823242407707e+00,2.814879802556264465e+00,2.075916005856913937e+00
6.600000000000002531e-01,2.088731995324327073e+00,2.700088133209696650e+00,1.998786170145919527e+00
6.800000000000002709e-01,2.141517756982122656e+00,2.586305626232157096e+00,1.921757071132170536e+00
7.000000000000002887e-01,2.192041823290486580e+00,2.474184471014884146e+00,1.845208438458524114e+00
7.200000000000003064e-01,2.240343650376212192e+00,2.364257152327160494e+00,1.769482264501621493e+00
7.400000000000003242e-01,2.286472178700400981e+00,2.256950218055461033e+00,1.694880758080305361e+00
7.600000000000003419e-01,2.330483849771411098e+00,2.152597537592543020e+00,1.621666295252493173e+00
7.800000000000003597e-01,2.372440880531567764e+00,2.051452584640872434e+00,1.550061400703953929e+00
8.000000000000003775e-01,2.412409725791241577e+00,1.953694851493076090e+00,1.480223617417586457e+00
8.200000000000003952e-01,2.450459779495847812e+00,1.859447097218055456e+00,1.412312810220665460e+00
8.400000000000004130e-01,2.486662342842377971e+00,1.768784827198159437e+00,1.346457846552872262e+00
8.600000000000004308e-01,2.521089743223266399e+00,1.681741918777919897e+00,1.282744171615601392e+00
8.800000000000004485e-01,2.553814581908246506e+00,1.598317856531523029e+00,1.221230988242214988e+00
9.000000000000004663e-01,2.584909116442959842e+00,1.518484007857999307e+00,1.161954194451035205e+00
9.200000000000004841e-01,2.614444758569252070e+00,1.442188951305529043e+00,1.104928845547922478e+00
9.400000000000005018e-01,2.642491667595867622e+00,1.369362753252657772e+00,1.050150417231021649e+00
9.600000000000005196e-01,2.669118413803343692e+00,1.299919761092099613e+00,9.975930311043575971e-01
9.800000000000005373e-01,2.694391871441948361e+00,1.233778658985819954e+00,9.473098646078037532e-01
1.000000000000000444e+00,2.718377071217865204e+00,1.170838894772777916e+00,8.991997551797603627e-01
1.020000000000000462e+00,2.741136871673739428e+00,1.110985811599974449e+00,8.531670733827975139e-01
1.040000000000000480e+00,2.762731862309840469e+00,1.054108628199208697e+00,8.091968254413757222e-01
1.060000000000000497e+00,2.783220385486264714e+00,1.000094673509704712e+00,7.672289709119050061e-01
1.080000000000000515e+00,2.802658514205245588e+00,9.488306820408748399e-01,7.271993393861948540e-01
1.100000000000000533e+00,2.821100051839728007e+00,9.002037321821287907e-01,6.890401550474558601e-01
1.120000000000000551e+00,2.838596550824455722e+00,8.541022348963622779e-01,6.526824207369765762e-01
1.140000000000000568e+00,2.855197347260449714e+00,8.104165683211697058e-01,6.180557745050095919e-01
1.160000000000000586e+00,2.870949606406255405e+00,7.690395576440297587e-01,5.850891385984592352e-01
1.180000000000000604e+00,2.885898376494596462e+00,7.298668498914234748e-01,5.537113940843945148e-01
1.200000000000000622e+00,2.900086648659431443e+00,6.927971696490577980e-01,5.238517672322232643e-01
1.220000000000000639e+00,2.913555420766702486e+00,6.577324704060820704e-01,4.954401123774924698e-01
1.240000000000000657e+00,2.926343763233039130e+00,6.245779962025068688e-01,4.684071184174826152e-01
1.260000000000000675e+00,2.938488885224111336e+00,5.932422698984834986e-01,4.426844722311933933e-01
1.280000000000000693e+00,2.950026199982151542e+00,5.636370277659769057e-01,4.182050191398836714e-01
1.300000000000000711e+00,2.960989388479893236e+00,5.356771256926999847e-01,3.949029700371139429e-01
