time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,7.142857142857295116e-02,8.791208791208759976e-03
1.602697372436523438e-02,4.005493247882796481e-03,7.142857142857295116e-02,1.421245421245421525e+00
3.102755546569824219e-02,8.964675364309115935e-03,1.703296703296715009e-01,2.616849816849816435e+00
4.603409767150878906e-02,1.659418631265729971e-02,6.098901098901094997e-01,2.476190476190476275e+00
6.149649620056152344e-02,3.147173266193625807e-02,1.027472527472529151e+00,2.511355311355311315e+00
7.649874687194824219e-02,4.673075455863262562e-02,1.379120879120879550e+00,2.212454212454211699e+00
9.149909019470214844e-02,6.504158083466826668e-02,1.225274725274726251e+00,2.517216117216117155e+00
1.064994335174560547e-01,8.983749141679986394e-02,1.313186813186813851e+00,2.710622710622709874e+00
1.215257644653320312e-01,1.184481574731055531e-01,1.796703296703295649e+00,2.669597069597068995e+00
1.365261077880859375e-01,1.493476768139156974e-01,2.181318681318682451e+00,2.353113553113553635e+00
1.515264511108398438e-01,1.844434271763173427e-01,2.686813186813186149e+00,2.441025641025641235e+00
1.665267944335937500e-01,2.225909819180582616e-01,2.467032967032967150e+00,2.423443223443223715e+00
1.815271377563476562e-01,2.645532921339750487e-01,2.917582417582416099e+00,2.605128205128204755e+00
1.965274810791015625e-01,3.095674067292293330e-01,3.170329670329671501e+00,2.552380952380952195e+00
2.115283012390136719e-01,3.572518501564054816e-01,3.269230769230770051e+00,2.493772893772893795e+00
2.265288829803466797e-01,4.087510490577557221e-01,3.521978021978021900e+00,2.528937728937728835e+00
2.415292263031005859e-01,4.579613946746015074e-01,3.653846153846153300e+00,2.487912087912087955e+00
2.565295696258544922e-01,5.098420691233691571e-01,3.620879120879120450e+00,2.663736263736263155e+00
2.715299129486083984e-01,5.659189745937283078e-01,3.774725274725273749e+00,2.610989010989010595e+00
2.865304946899414062e-01,6.219958800640874585e-01,3.873626373626372299e+00,2.358974358974359475e+00
3.015308380126953125e-01,6.788357366292814277e-01,3.840659340659339449e+00,2.382417582417582835e+00
3.165318965911865234e-01,7.406347753109017162e-01,3.840659340659339449e+00,2.558241758241758035e+00
3.315334320068359375e-01,8.001449607080193260e-01,3.840659340659339449e+00,2.446886446886447075e+00
3.465344905853271484e-01,8.596551461051351595e-01,3.939560439560437999e+00,2.687179487179486514e+00
3.615350723266601562e-01,9.187838559548335837e-01,3.972527472527470849e+00,2.499633699633699635e+00
3.765363693237304688e-01,9.817273212787060999e-01,4.027472527472529151e+00,2.558241758241758035e+00
3.916211128234863281e-01,1.037804226749065251e+00,4.093406593406594851e+00,2.546520146520146355e+00
4.066214561462402344e-01,1.095025558861676629e+00,3.873626373626372299e+00,2.335531135531136115e+00
4.216220378875732422e-01,1.154154268711375053e+00,3.906593406593405149e+00,2.493772893772893795e+00
