time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,-2.747252747252915128e-02,8.791208791208759976e-03
1.500058174133300781e-02,3.624017700465387293e-03,1.373626373626386510e-01,1.362637362637363125e+00
3.000116348266601562e-02,9.346150911726525123e-03,3.901098901098905003e-01,2.546520146520146355e+00
4.500198364257812500e-02,1.659418631265729971e-02,5.439560439560437999e-01,2.581684981684981395e+00
6.000256538391113281e-02,2.841992828259698456e-02,1.159340659340660551e+00,2.253479853479854356e+00
7.500290870666503906e-02,4.406042572671076130e-02,9.615384615384598987e-01,2.593406593406593075e+00
9.000325202941894531e-02,6.618600747692049424e-02,1.445054945054945250e+00,2.716483516483515714e+00
1.050038337707519531e-01,9.060044251163468232e-02,2.115384615384616751e+00,2.482051282051282115e+00
1.200053691864013672e-01,1.180666819256881439e-01,2.368131868131868600e+00,2.452747252747252915e+00
1.350061893463134766e-01,1.497291523613331066e-01,2.049450549450551051e+00,2.558241758241758035e+00
1.500062942504882812e-01,1.817730983443954784e-01,2.434065934065934300e+00,2.388278388278388675e+00
1.650066375732421875e-01,2.191577019913015789e-01,2.719780219780218999e+00,2.540659340659340515e+00
1.800072193145751953e-01,2.599755855649661385e-01,2.620879120879120450e+00,2.441025641025641235e+00
1.950073242187500000e-01,3.034637979705507860e-01,3.038461538461540101e+00,2.446886446886447075e+00
2.100076675415039062e-01,3.492408636606398886e-01,3.071428571428572951e+00,2.605128205128204755e+00
2.250082492828369141e-01,3.984512092774856740e-01,3.357142857142857650e+00,2.575824175824175555e+00
2.400090694427490234e-01,4.488059815365836869e-01,3.554945054945054750e+00,2.487912087912087955e+00
2.550108432769775391e-01,5.033569848172732009e-01,3.390109890109890500e+00,2.429304029304029555e+00
2.700116634368896484e-01,5.621042191195542159e-01,3.554945054945054750e+00,2.511355311355311315e+00
2.850120067596435547e-01,6.162737468528263207e-01,3.807692307692306599e+00,2.610989010989010595e+00
3.000123500823974609e-01,6.651026169222546969e-01,3.873626373626372299e+00,2.470329670329670435e+00
3.150129318237304688e-01,7.219424734874486660e-01,3.653846153846153300e+00,2.552380952380952195e+00
3.300135135650634766e-01,7.799267566948966390e-01,3.708791208791208049e+00,2.423443223443223715e+00
3.450138568878173828e-01,8.386739909971776541e-01,3.774725274725273749e+00,2.569963369963369715e+00
3.600142002105712891e-01,8.970397497520412600e-01,3.972527472527470849e+00,2.569963369963369715e+00
3.750145435333251953e-01,9.565499351491570934e-01,4.027472527472529151e+00,2.376556776556776995e+00
3.900153636932373047e-01,1.014534218356603290e+00,3.939560439560437999e+00,2.540659340659340515e+00
4.050157070159912109e-01,1.072518501564049487e+00,3.807692307692306599e+00,2.546520146520146355e+00
4.200162887573242188e-01,1.137750820172426458e+00,3.653846153846153300e+00,2.534798534798534675e+00
4.350171089172363281e-01,1.197642481116959701e+00,3.653846153846153300e+00,2.616849816849816435e+00
4.500179290771484375e-01,1.241893644617379167e+00,3.873626373626372299e+00,2.622710622710622275e+00
4.650185108184814453e-01,1.278896772716869634e+00,3.137362637362638651e+00,-1.585347985347985045e+00
4.800186157226562500e-01,1.328107118333715420e+00,2.247252747252748151e+00,-9.934065934065934300e-01
4.950191974639892578e-01,1.364347295338369292e+00,2.401098901098901450e+00,-1.409523809523809845e+00
5.100195407867431641e-01,1.390287632562753117e+00,1.478021978021978100e+00,-1.427106227106227365e+00
5.250198841094970703e-01,1.411650263218128032e+00,9.285714285714270488e-01,-1.221978021978021189e+00
5.400202274322509766e-01,1.423476005188067717e+00,6.428571428571423496e-01,-1.309890109890110566e+00
5.550212860107421875e-01,1.424620431830319944e+00,-2.747252747252915128e-02,-1.368498168498168965e+00
5.700223445892333984e-01,1.419279774166476216e+00,-6.318681318681313996e-01,-1.356776556776557285e+00
5.850231647491455078e-01,1.404783703364614666e+00,-1.335164835164835750e+00,-1.216117216117215349e+00
6.000235080718994141e-01,1.386472877088579025e+00,-1.269230769230770051e+00,-1.380219780219780645e+00
6.150240898132324219e-01,1.357480735484855927e+00,-2.005494505494507251e+00,-1.321611721611722245e+00
6.300244331359863281e-01,1.321622034027619463e+00,-2.642857142857142350e+00,-1.268864468864469686e+00
6.450245380401611328e-01,1.278133821622034816e+00,-2.939560439560437999e+00,-1.304029304029304726e+00
6.600248813629150391e-01,1.226253147173265390e+00,-3.543956043956043800e+00,-1.321611721611722245e+00
6.750419139862060547e-01,1.167124437323566966e+00,-4.214285714285715301e+00,-1.304029304029304726e+00
6.900427341461181641e-01,1.100747692072937767e+00,-4.752747252747251849e+00,-1.198534798534797829e+00
7.074210643768310547e-01,1.016060120546272927e+00,-5.170329670329671501e+00,-1.350915750915751445e+00
7.224214076995849609e-01,9.359502555886169972e-01,-5.521978021978021900e+00,-1.368498168498168965e+00
7.389349937438964844e-01,8.371480888075080173e-01,-6.225274725274726251e+00,-1.368498168498168965e+00
7.560164928436279297e-01,7.242313267719531211e-01,-6.642857142857142350e+00,-1.274725274725275526e+00
