time,position,velocity,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.475498864190968984e-01
1.499999999999999944e-02,1.302083333333333148e-01,2.468532986111111160e+00,9.851700472110751505e-01
2.999999999999999889e-02,4.784913049404457275e-01,4.094513052673868003e+00,1.462402087071072776e+00
4.499999999999999833e-02,9.403638450773773583e-01,4.669320859990562234e+00,1.910764319853894389e+00
5.999999999999999778e-02,1.414131765144837738e+00,4.518190388891940579e+00,2.391129470941337765e+00
7.499999999999999722e-02,1.844016452892988100e+00,4.078193692658066638e+00,2.500000000000000000e+00
8.999999999999999667e-02,2.197970028035143741e+00,3.239920794757418676e+00,2.500000000000000000e+00
1.049999999999999961e-01,2.465371134418674171e+00,2.425186977453011927e+00,2.500000000000000000e+00
1.199999999999999956e-01,2.660252603081902034e+00,1.764713269692133490e+00,2.500000000000000000e+00
1.350000000000000089e-01,2.800077408545103896e+00,1.265934408381967025e+00,2.500000000000000000e+00
1.499999999999999944e-01,2.899691889953072810e+00,9.022756294316411907e-01,2.500000000000000000e+00
1.649999999999999800e-01,2.970432709187822873e+00,6.408209164431564187e-01,2.500000000000000000e+00
1.799999999999999933e-01,3.020541589522606429e+00,4.535457101075377473e-01,2.500000000000000000e+00
1.950000000000000067e-01,3.056015172977623262e+00,3.214991294047234716e-01,2.500000000000000000e+00
2.099999999999999922e-01,3.081149048630031029e+00,2.277917061274410127e-01,2.500000000000000000e+00
2.249999999999999778e-01,3.098967613690796430e+00,1.616378465200411507e-01,2.500000000000000000e+00
2.399999999999999911e-01,3.111516721429377963e+00,1.129156310236225508e-01,2.500000000000000000e+00
2.550000000000000044e-01,3.120286906095704804e+00,7.895561810675635894e-02,2.500000000000000000e+00
2.700000000000000178e-01,3.126477611761187436e+00,5.631450535290448423e-02,2.500000000000000000e+00
2.849999999999999756e-01,3.130867657937555837e+00,3.968446277545169265e-02,2.500000000000000000e+00
2.999999999999999889e-01,3.134004519441269565e+00,2.878507862613866736e-02,2.500000000000000000e+00
3.150000000000000022e-01,3.136246476736047839e+00,2.024682784473682412e-02,2.500000000000000000e+00
3.299999999999999600e-01,3.137826817262217904e+00,1.430557729837703129e-02,2.500000000000000000e+00
3.449999999999999734e-01,3.138944264772990156e+00,1.012374058142150555e-02,2.500000000000000000e+00
3.599999999999999867e-01,3.139736048525104906e+00,7.183136141156155896e-03,2.500000000000000000e+00
3.750000000000000000e-01,3.140299359545249747e+00,5.125376122578465671e-03,2.500000000000000000e+00
3.900000000000000133e-01,3.140693480901809220e+00,3.508900093212159906e-03,2.500000000000000000e+00
4.049999999999999711e-01,3.140969829171689209e+00,2.525991683809899330e-03,2.500000000000000000e+00
4.199999999999999845e-01,3.141167751369754235e+00,1.799157137436904535e-03,2.500000000000000000e+00
