time,position,velocity,torque
0.000000000000000000e+00,1.735713740749211809e-02,-2.747252747252915128e-02,8.791208791208759976e-03
1.500034332275390625e-02,1.812008850232693646e-02,1.043956043956058011e-01,3.545787545787550954e-01
3.000068664550781250e-02,1.964599069199657322e-02,1.373626373626386510e-01,9.758241758241759101e-01
4.500102996826171875e-02,2.269779507133584673e-02,1.373626373626386510e-01,1.503296703296703285e+00
6.000137329101562500e-02,2.918287937743180294e-02,3.571428571428576504e-01,1.966300366300366420e+00
7.500171661376953125e-02,3.833829251544962347e-02,6.098901098901094997e-01,2.505494505494505475e+00
9.000229835510253906e-02,5.245288776989376345e-02,1.313186813186813851e+00,2.276923076923077716e+00
1.050026416778564453e-01,6.885633630884235856e-02,1.247252747252748151e+00,2.446886446886447075e+00
1.200032234191894531e-01,9.250782024872172826e-02,1.159340659340660551e+00,2.728205128205127394e+00
1.350038051605224609e-01,1.203555352101925990e-01,1.796703296703295649e+00,2.722344322344321554e+00
1.500051021575927734e-01,1.512550545510027433e-01,2.148351648351649601e+00,2.358974358974359475e+00
1.650054454803466797e-01,1.844434271763173427e-01,2.565934065934065700e+00,2.317948717948718595e+00
1.800057888031005859e-01,2.286945906767368086e-01,2.653846153846153300e+00,2.394139194139194515e+00
1.950113773345947266e-01,2.664606698710620947e-01,3.038461538461540101e+00,2.581684981684981395e+00
2.100119590759277344e-01,3.099488822766467422e-01,3.170329670329671501e+00,2.376556776556776995e+00
2.250125408172607422e-01,3.595407034409099367e-01,3.269230769230770051e+00,2.429304029304029555e+00
2.400131225585937500e-01,4.114213778896775864e-01,3.675824175824175200e+00,2.423443223443223715e+00
2.550134658813476562e-01,4.652094300755322820e-01,3.774725274725273749e+00,2.528937728937728835e+00
2.700140476226806641e-01,5.224307621881436603e-01,3.675824175824175200e+00,2.599267399267398915e+00
2.850143909454345703e-01,5.819409475852594937e-01,3.939560439560437999e+00,2.487912087912087955e+00
3.000149726867675781e-01,6.452658884565494191e-01,4.225274725274726251e+00,2.575824175824175555e+00
3.150150775909423828e-01,7.040131227588304341e-01,4.324175824175824800e+00,2.358974358974359475e+00
3.300163745880126953e-01,7.711528191042962277e-01,4.379120879120879550e+00,2.505494505494505475e+00
3.450171947479248047e-01,8.337148088807513346e-01,4.445054945054945250e+00,2.400000000000000355e+00
3.600177764892578125e-01,8.985656519417108967e-01,4.478021978021978100e+00,2.405860805860806195e+00
3.750193119049072266e-01,9.657053482871749139e-01,4.478021978021978100e+00,2.552380952380952195e+00
3.900194168090820312e-01,1.032463569085221522e+00,4.291208791208791951e+00,2.441025641025641235e+00
4.050197601318359375e-01,1.100366216525520358e+00,4.324175824175824800e+00,2.417582417582417875e+00
4.200201034545898438e-01,1.167887388418401784e+00,4.510989010989010950e+00,2.610989010989010595e+00
4.350204467773437500e-01,1.235408560311283210e+00,4.379120879120879550e+00,2.558241758241758035e+00
4.500212669372558594e-01,1.305981536583505687e+00,4.478021978021978100e+00,2.441025641025641235e+00
4.650225639343261719e-01,1.373502708476387113e+00,4.412087912087912400e+00,2.446886446886447075e+00
4.800231456756591797e-01,1.439497978179598903e+00,4.412087912087912400e+00,2.640293040293039795e+00
4.950237274169921875e-01,1.503585870145723646e+00,4.324175824175824800e+00,2.487912087912087955e+00
5.100243091583251953e-01,1.570344090943770254e+00,4.379120879120879550e+00,2.587545787545787235e+00
5.250246524810791016e-01,1.636339360646982044e+00,4.291208791208791951e+00,2.657875457875457315e+00
5.400249958038330078e-01,1.701953154802776425e+00,4.357142857142857650e+00,2.458608058608058755e+00
5.550253391265869141e-01,1.767948424505989991e+00,4.357142857142857650e+00,2.546520146520146355e+00
5.700256824493408203e-01,1.831654840924697325e+00,4.379120879120879550e+00,2.183150183150182500e+00
5.850262641906738281e-01,1.894979781795987250e+00,4.324175824175824800e+00,1.936996336996337220e+00
6.000273227691650391e-01,1.959830624856946812e+00,4.291208791208791951e+00,1.749450549450548564e+00
6.150300502777099609e-01,2.020485236896314873e+00,4.027472527472529151e+00,1.415384615384615685e+00
6.300303936004638672e-01,2.078469520103761070e+00,3.939560439560437999e+00,1.186813186813186149e+00
6.450307369232177734e-01,2.131494621194780947e+00,3.587912087912087600e+00,1.046153846153845990e+00
6.600315570831298828e-01,2.184519722285800825e+00,3.554945054945054750e+00,8.761904761904766303e-01
6.750321388244628906e-01,2.236400396734568474e+00,3.423076923076923350e+00,6.417582417582412546e-01
6.900327205657958984e-01,2.281414511329824535e+00,3.038461538461540101e+00,4.424908424908426952e-01
7.050333023071289062e-01,2.324902723735409182e+00,2.719780219780218999e+00,3.194139194139200555e-01
7.200336456298828125e-01,2.365720607309071966e+00,2.653846153846153300e+00,2.197802197802189994e-01
7.350339889526367188e-01,2.400816357671473611e+00,2.269230769230770051e+00,1.377289377289372396e-01
7.500345706939697266e-01,2.434767681391623029e+00,2.082417582417583901e+00,1.084249084249080397e-01
7.650358676910400391e-01,2.463378347447928718e+00,1.796703296703295649e+00,1.318681318681313996e-01
7.800366878509521484e-01,2.490081635767147361e+00,1.631868131868131400e+00,1.494505494505489196e-01
7.950372695922851562e-01,2.511062790875104866e+00,1.478021978021978100e+00,2.725274725274733356e-01
8.100376129150390625e-01,2.531280994888227553e+00,1.280219780219781001e+00,3.604395604395609354e-01
8.250379562377929688e-01,2.548065918974593558e+00,1.192307692307693401e+00,4.307692307692310152e-01
8.400382995605468750e-01,2.562943465323872516e+00,8.406593406593394491e-01,6.241758241758237347e-01
8.550386428833007812e-01,2.576676585030899247e+00,8.736263736263722990e-01,7.706959706959715106e-01
8.700392246246337891e-01,2.587739375906004113e+00,7.747252747252737493e-01,8.586080586080591104e-01
8.850398063659667969e-01,2.598802166781108980e+00,6.758241758241751995e-01,1.081318681318681030e+00
9.000408649444580078e-01,2.608339055466544210e+00,6.098901098901094997e-01,1.263003663003663846e+00
9.150421619415283203e-01,2.617494468604562030e+00,6.758241758241751995e-01,1.286446886446887206e+00
9.300425052642822266e-01,2.626649881742579851e+00,5.769230769230766498e-01,1.450549450549450725e+00
9.450428485870361328e-01,2.634279392690928034e+00,6.428571428571423496e-01,1.567765567765567525e+00
9.600431919097900391e-01,2.643816281376363264e+00,5.439560439560437999e-01,1.520879120879120805e+00
9.750437736511230469e-01,2.653734645609215903e+00,6.428571428571423496e-01,1.743589743589742724e+00
9.900438785552978516e-01,2.663653009842068542e+00,8.406593406593394491e-01,1.684981684981684324e+00
1.005049467086791992e+00,2.675478751812008227e+00,9.285714285714270488e-01,1.778754578754579541e+00
1.020049810409545898e+00,2.686160067139695684e+00,8.406593406593394491e-01,1.720146520146519364e+00
1.035050392150878906e+00,2.700656137941557233e+00,8.956043956043941989e-01,1.749450549450548564e+00
1.050050735473632812e+00,2.713244831006331736e+00,9.285714285714270488e-01,1.561904761904761685e+00
1.065051078796386719e+00,2.728885328450445513e+00,7.747252747252737493e-01,1.684981684981684324e+00
1.080052852630615234e+00,2.742999923704889653e+00,1.159340659340660551e+00,1.321611721611722245e+00
1.095053434371948242e+00,2.758258945601587797e+00,7.747252747252737493e-01,1.485714285714285765e+00
1.110053777694702148e+00,2.774662394140536392e+00,1.247252747252748151e+00,1.263003663003663846e+00
1.125054359436035156e+00,2.789921416037232760e+00,1.126373626373627701e+00,1.052014652014651830e+00
1.140054702758789062e+00,2.807087815671016173e+00,8.736263736263722990e-01,1.192673992673991989e+00
1.155055046081542969e+00,2.823491264209964768e+00,1.192307692307693401e+00,8.410256410256415904e-01
1.170055866241455078e+00,2.839894712748913363e+00,1.126373626373627701e+00,6.827838827838821345e-01
1.185056447982788086e+00,2.856298161287861959e+00,8.736263736263722990e-01,7.531135531135539907e-01
1.200057268142700195e+00,2.871938658731975735e+00,1.247252747252748151e+00,5.128205128205127750e-01
1.215057611465454102e+00,2.886816205081254694e+00,1.159340659340660551e+00,4.131868131868134952e-01
1.230058193206787109e+00,2.900930800335698834e+00,8.406593406593394491e-01,3.956043956043959753e-01
1.245058774948120117e+00,2.913138017853055928e+00,8.406593406593394491e-01,2.608058608058616556e-01
1.260059118270874023e+00,2.925726710917830431e+00,7.747252747252737493e-01,1.435897435897430796e-01
1.275059700012207031e+00,2.937170977340352707e+00,7.417582417582408993e-01,1.201465201465197197e-01
1.290060281753540039e+00,2.945563439383535709e+00,5.439560439560437999e-01,8.498168498168467977e-02
1.305060625076293945e+00,2.952048523689631665e+00,3.571428571428576504e-01,8.791208791208759976e-03
1.320060968399047852e+00,2.960059510185397258e+00,4.230769230769233502e-01,3.809523809523795990e-02
1.335061550140380859e+00,2.966926070038910623e+00,3.571428571428576504e-01,6.739926739926715982e-02
1.350061893463134766e+00,2.971503776607919534e+00,2.582417582417591007e-01,5.567765567765547985e-02
1.365063190460205078e+00,2.976462958724345853e+00,2.252747252747262507e-01,1.025641025641021997e-01
1.380079269409179688e+00,2.979133287556267717e+00,2.252747252747262507e-01,1.494505494505489196e-01
1.395079612731933594e+00,2.983329518577859218e+00,4.230769230769233502e-01,2.021978021978014795e-01
1.410079956054687500e+00,2.987144274052033310e+00,5.494505494507251342e-03,3.721611721611726153e-01
1.425084114074707031e+00,2.988288700694285538e+00,1.703296703296715009e-01,3.135531135531142155e-01
1.440084695816040039e+00,2.989051651789120356e+00,1.373626373626386510e-01,3.604395604395609354e-01
1.455085277557373047e+00,2.989814602883955175e+00,7.142857142857295116e-02,4.424908424908426952e-01
1.470085859298706055e+00,2.990577553978789993e+00,7.142857142857295116e-02,4.893772893772894150e-01
1.485086679458618164e+00,2.990959029526207402e+00,5.494505494507251342e-03,5.362637362637361349e-01
1.500087261199951172e+00,2.990959029526207402e+00,3.846153846154010125e-02,5.597069597069594948e-01
1.515087842941284180e+00,2.991340505073624811e+00,-9.340659340659485110e-02,5.890109890109886948e-01
1.530088663101196289e+00,2.991721980621042221e+00,5.494505494507251342e-03,6.241758241758237347e-01
1.545089006423950195e+00,2.992484931715877039e+00,7.142857142857295116e-02,6.417582417582412546e-01
1.560089349746704102e+00,2.993629358358129267e+00,7.142857142857295116e-02,6.886446886446879745e-01
1.575089693069458008e+00,2.995536736095216312e+00,1.043956043956058011e-01,6.945054945054938145e-01
1.590090513229370117e+00,2.997825589379720768e+00,1.373626373626386510e-01,7.706959706959715106e-01
1.605091571807861328e+00,3.000877393759060041e+00,2.252747252747262507e-01,8.234432234432240705e-01
1.620092153549194336e+00,3.003547722590981905e+00,1.923076923076934008e-01,8.410256410256415904e-01
1.635092973709106445e+00,3.007743953612573407e+00,3.846153846154010125e-02,9.054945054945058303e-01
1.650094985961914062e+00,3.012703135728999726e+00,2.252747252747262507e-01,8.351648351648357504e-01
1.665095806121826172e+00,3.017280842298008636e+00,3.571428571428576504e-01,6.945054945054938145e-01
1.680096149444580078e+00,3.023384451056687183e+00,4.560439560439562001e-01,7.531135531135539907e-01
1.695096492767333984e+00,3.029106584267948321e+00,2.582417582417591007e-01,7.003663003662996545e-01
1.710097074508666992e+00,3.034828717479209459e+00,4.230769230769233502e-01,5.538461538461536549e-01
1.725097417831420898e+00,3.042076752880140234e+00,3.241758241758248005e-01,5.010989010989010950e-01
1.740097761154174805e+00,3.048943312733653599e+00,4.560439560439562001e-01,4.424908424908426952e-01
1.755098104476928711e+00,3.055809872587166964e+00,4.230769230769233502e-01,3.956043956043959753e-01
1.770098686218261719e+00,3.063057907988097739e+00,5.439560439560437999e-01,3.135531135531142155e-01
1.785099029541015625e+00,3.069924467841611104e+00,5.769230769230766498e-01,2.080586080586073194e-01
1.800099372863769531e+00,3.076409552147707060e+00,5.219780219780218999e-01,1.728937728937722795e-01
1.815099716186523438e+00,3.082513160906385608e+00,4.230769230769233502e-01,1.260073260073255597e-01
1.830100059509277344e+00,3.085564965285724881e+00,3.846153846154010125e-02,4.981684981684963986e-02
1.845100641250610352e+00,3.089761196307316382e+00,6.428571428571423496e-01,-1.728937728937722795e-01
1.860101699829101562e+00,3.093575951781490474e+00,3.846153846154010125e-02,-7.326007326007299980e-02
1.875102043151855469e+00,3.098153658350499384e+00,3.241758241758248005e-01,-8.498168498168467977e-02
1.890102386474609375e+00,3.100061036087586430e+00,2.582417582417591007e-01,-2.021978021978014795e-01
1.905102729797363281e+00,3.101968413824673476e+00,-2.747252747252915128e-02,-1.201465201465197197e-01
1.920103073120117188e+00,3.103875791561760522e+00,1.703296703296715009e-01,-1.435897435897430796e-01
1.935103654861450195e+00,3.105020218204012750e+00,1.703296703296715009e-01,-6.739926739926715982e-02
1.950104713439941406e+00,3.104638742656595340e+00,-2.747252747252915128e-02,-1.025641025641021997e-01
1.965105295181274414e+00,3.104638742656595340e+00,5.494505494507251342e-03,-7.326007326007299980e-02
1.980105638504028320e+00,3.104638742656595340e+00,5.494505494507251342e-03,-3.223443223443211991e-02
1.995105981826782227e+00,3.104638742656595340e+00,5.494505494507251342e-03,3.809523809523795990e-02
2.010106563568115234e+00,3.105020218204012750e+00,5.494505494507251342e-03,6.739926739926715982e-02
2.025106906890869141e+00,3.105020218204012750e+00,3.846153846154010125e-02,7.912087912087883979e-02
2.040112257003784180e+00,3.105783169298847568e+00,7.142857142857295116e-02,1.494505494505489196e-01
2.055112600326538086e+00,3.105401693751430159e+00,-2.747252747252915128e-02,1.435897435897430796e-01
2.070113420486450195e+00,3.105401693751430159e+00,5.494505494507251342e-03,1.670329670329664395e-01
2.085162162780761719e+00,3.105401693751430159e+00,-6.043956043956200119e-02,1.846153846153839595e-01
2.100163459777832031e+00,3.105401693751430159e+00,5.494505494507251342e-03,1.846153846153839595e-01
2.115163803100585938e+00,3.105401693751430159e+00,-2.747252747252915128e-02,2.080586080586073194e-01
2.130164146423339844e+00,3.106164644846264977e+00,3.846153846154010125e-02,2.256410256410248394e-01
2.145164489746093750e+00,3.106164644846264977e+00,5.494505494507251342e-03,2.315018315018306794e-01
2.160164833068847656e+00,3.106546120393682386e+00,7.142857142857295116e-02,2.256410256410248394e-01
2.175165176391601562e+00,3.106927595941099796e+00,3.846153846154010125e-02,2.256410256410248394e-01
2.190165758132934570e+00,3.106927595941099796e+00,-6.043956043956200119e-02,2.256410256410248394e-01
2.205166339874267578e+00,3.106546120393682386e+00,-6.043956043956200119e-02,2.139194139194131594e-01
2.220169305801391602e+00,3.106927595941099796e+00,3.846153846154010125e-02,2.080586080586073194e-01
2.235169887542724609e+00,3.106546120393682386e+00,3.846153846154010125e-02,2.256410256410248394e-01
2.250171899795532227e+00,3.106546120393682386e+00,3.846153846154010125e-02,2.256410256410248394e-01
2.265172243118286133e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.315018315018306794e-01
2.280172586441040039e+00,3.106546120393682386e+00,-6.043956043956200119e-02,2.197802197802189994e-01
2.295172691345214844e+00,3.106546120393682386e+00,-2.747252747252915128e-02,2.139194139194131594e-01
2.310173273086547852e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.080586080586073194e-01
2.325173616409301758e+00,3.106546120393682386e+00,-1.263736263736277010e-01,2.197802197802189994e-01
2.340173959732055664e+00,3.106546120393682386e+00,-6.043956043956200119e-02,2.256410256410248394e-01
2.355174541473388672e+00,3.106546120393682386e+00,-6.043956043956200119e-02,2.256410256410248394e-01
2.370175123214721680e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.432234432234423593e-01
2.385175466537475586e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.432234432234423593e-01
2.400175809860229492e+00,3.106546120393682386e+00,-6.043956043956200119e-02,2.490842490842481993e-01
2.415176630020141602e+00,3.106546120393682386e+00,-2.747252747252915128e-02,2.549450549450558157e-01
2.430176973342895508e+00,3.106546120393682386e+00,-9.340659340659485110e-02,2.608058608058616556e-01
2.445178031921386719e+00,3.106546120393682386e+00,1.043956043956058011e-01,2.608058608058616556e-01
2.460178613662719727e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.666666666666674956e-01
2.475178956985473633e+00,3.106927595941099796e+00,3.846153846154010125e-02,2.783882783882791756e-01
2.490179777145385742e+00,3.106927595941099796e+00,5.494505494507251342e-03,2.490842490842481993e-01
2.505180120468139648e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.608058608058616556e-01
2.520180702209472656e+00,3.106546120393682386e+00,-6.043956043956200119e-02,2.432234432234423593e-01
2.535181045532226562e+00,3.106546120393682386e+00,-6.043956043956200119e-02,2.315018315018306794e-01
2.550181627273559570e+00,3.106546120393682386e+00,7.142857142857295116e-02,2.256410256410248394e-01
2.565181970596313477e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.315018315018306794e-01
2.580182552337646484e+00,3.106927595941099796e+00,7.142857142857295116e-02,2.432234432234423593e-01
2.595182895660400391e+00,3.106546120393682386e+00,-2.747252747252915128e-02,2.256410256410248394e-01
2.610183477401733398e+00,3.106546120393682386e+00,7.142857142857295116e-02,2.256410256410248394e-01
2.625183820724487305e+00,3.106927595941099796e+00,1.043956043956058011e-01,2.080586080586073194e-01
2.640183925628662109e+00,3.106927595941099796e+00,7.142857142857295116e-02,2.256410256410248394e-01
2.655184268951416016e+00,3.106546120393682386e+00,7.142857142857295116e-02,2.080586080586073194e-01
2.670184612274169922e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.080586080586073194e-01
2.685766220092773438e+00,3.106546120393682386e+00,-2.747252747252915128e-02,1.963369963369956395e-01
2.700767278671264648e+00,3.106546120393682386e+00,5.494505494507251342e-03,1.963369963369956395e-01
2.715767621994018555e+00,3.106546120393682386e+00,5.494505494507251342e-03,1.904761904761897995e-01
2.730768203735351562e+00,3.106546120393682386e+00,-9.340659340659485110e-02,1.846153846153839595e-01
2.745768547058105469e+00,3.106546120393682386e+00,5.494505494507251342e-03,1.846153846153839595e-01
2.760768890380859375e+00,3.106546120393682386e+00,-6.043956043956200119e-02,1.846153846153839595e-01
2.775769233703613281e+00,3.106927595941099796e+00,3.846153846154010125e-02,2.021978021978014795e-01
2.790769577026367188e+00,3.106927595941099796e+00,7.142857142857295116e-02,2.021978021978014795e-01
2.805770397186279297e+00,3.106927595941099796e+00,7.142857142857295116e-02,2.197802197802189994e-01
2.820770740509033203e+00,3.106546120393682386e+00,-2.747252747252915128e-02,2.197802197802189994e-01
2.835771083831787109e+00,3.106546120393682386e+00,-2.747252747252915128e-02,2.256410256410248394e-01
2.850771665573120117e+00,3.106546120393682386e+00,-2.747252747252915128e-02,2.256410256410248394e-01
2.865772008895874023e+00,3.106546120393682386e+00,3.846153846154010125e-02,2.315018315018306794e-01
2.880772352218627930e+00,3.106546120393682386e+00,-2.747252747252915128e-02,2.256410256410248394e-01
2.895772933959960938e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.197802197802189994e-01
2.910773277282714844e+00,3.106546120393682386e+00,3.846153846154010125e-02,2.256410256410248394e-01
2.925773620605468750e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.197802197802189994e-01
2.940774679183959961e+00,3.106546120393682386e+00,-2.747252747252915128e-02,2.256410256410248394e-01
2.955775260925292969e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.080586080586073194e-01
2.970775604248046875e+00,3.106546120393682386e+00,3.846153846154010125e-02,2.139194139194131594e-01
2.985777378082275391e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.256410256410248394e-01
3.000777482986450195e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.256410256410248394e-01
3.015778064727783203e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.256410256410248394e-01
3.030778408050537109e+00,3.106546120393682386e+00,7.142857142857295116e-02,2.197802197802189994e-01
3.045778751373291016e+00,3.106927595941099796e+00,7.142857142857295116e-02,2.197802197802189994e-01
3.060779333114624023e+00,3.106546120393682386e+00,-1.263736263736277010e-01,2.256410256410248394e-01
3.075779676437377930e+00,3.106546120393682386e+00,3.846153846154010125e-02,2.021978021978014795e-01
3.090780258178710938e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.080586080586073194e-01
3.105780601501464844e+00,3.106927595941099796e+00,3.846153846154010125e-02,2.256410256410248394e-01
3.120780944824218750e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.197802197802189994e-01
3.135782718658447266e+00,3.106546120393682386e+00,5.494505494507251342e-03,2.080586080586073194e-01
