time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,-2.747252747252915128e-02,2.930402930402919992e-03
1.500058174133300781e-02,1.716639963378341349e-03,-9.340659340659485110e-02,5.421245421245419749e-01
3.000187873840332031e-02,4.005493247882796481e-03,2.912087912087919506e-01,9.582417582417583901e-01
4.501175880432128906e-02,7.438773174639479180e-03,1.923076923076934008e-01,1.438827838827839045e+00
6.003880500793457031e-02,1.392385748073543539e-02,2.252747252747262507e-01,2.089377289377289060e+00
7.503938674926757812e-02,2.498664835584030186e-02,7.747252747252737493e-01,2.312087912087912756e+00
9.003973007202148438e-02,3.871976806286703265e-02,8.956043956043941989e-01,2.628571428571428115e+00
1.050400733947753906e-01,5.817502098115490128e-02,1.543956043956043800e+00,2.429304029304029555e+00
1.200406551361083984e-01,8.030060273136463422e-02,1.950549450549448949e+00,2.165567765567764980e+00
1.350407600402832031e-01,1.066224155031658682e-01,2.082417582417583901e+00,2.235897435897435059e+00
1.500415802001953125e-01,1.401922636758978769e-01,2.148351648351649601e+00,2.640293040293039795e+00
1.651220321655273438e-01,1.764324406805517498e-01,2.532967032967032850e+00,2.358974358974359475e+00
1.801228523254394531e-01,2.145799954222926686e-01,2.686813186813186149e+00,2.552380952380952195e+00
1.951267719268798828e-01,2.588311589227139109e-01,2.972527472527470849e+00,2.446886446886447075e+00
2.101271152496337891e-01,3.015564202334637400e-01,3.302197802197802901e+00,2.376556776556776995e+00
2.251276969909667969e-01,3.507667658503095254e-01,3.302197802197802901e+00,2.446886446886447075e+00
2.401280403137207031e-01,4.026474402990771750e-01,3.587912087912087600e+00,2.417582417582417875e+00
2.551283836364746094e-01,4.571984435797666890e-01,3.906593406593405149e+00,2.370695970695971155e+00
2.701287269592285156e-01,5.132753490501258398e-01,3.906593406593405149e+00,2.528937728937728835e+00
2.851326465606689453e-01,5.724040588998242640e-01,3.840659340659339449e+00,2.534798534798534675e+00
3.001332283020019531e-01,6.345845731288619618e-01,3.939560439560437999e+00,2.534798534798534675e+00
3.155159950256347656e-01,7.021057450217433882e-01,4.093406593406594851e+00,2.464468864468864595e+00
3.305749893188476562e-01,7.696269169146265909e-01,4.258241758241759101e+00,2.610989010989010595e+00
3.455755710601806641e-01,8.287556267643250152e-01,4.357142857142857650e+00,2.411721611721612035e+00
3.605759143829345703e-01,8.905546654459453038e-01,4.543956043956043800e+00,2.552380952380952195e+00
3.755767345428466797e-01,9.561684596017396842e-01,4.478021978021978100e+00,2.376556776556776995e+00
3.905773162841796875e-01,1.022926680399786292e+00,4.478021978021978100e+00,2.382417582417582835e+00
4.055776596069335938e-01,1.089684901197832900e+00,4.510989010989010950e+00,2.546520146520146355e+00
4.205780029296875000e-01,1.156061646448462099e+00,4.357142857142857650e+00,2.405860805860806195e+00
4.355788230895996094e-01,1.224345769436178344e+00,4.291208791208791951e+00,2.364835164835165315e+00
4.505801200866699219e-01,1.291866941329061547e+00,4.510989010989010950e+00,2.558241758241758035e+00
4.655804634094238281e-01,1.342603189135576969e+00,4.005494505494507251e+00,-1.854945054945055460e+00
4.805810451507568359e-01,1.402494850080110211e+00,2.851648351648350399e+00,-9.992673992673992700e-01
4.955818653106689453e-01,1.446746013580529677e+00,3.071428571428572951e+00,-1.292307692307693046e+00
5.105822086334228516e-01,1.481841763942931323e+00,2.247252747252748151e+00,-1.333333333333333925e+00
5.255827903747558594e-01,1.512359807736324058e+00,1.543956043956043800e+00,-1.263003663003663846e+00
5.405831336975097656e-01,1.532959487296864154e+00,1.159340659340660551e+00,-1.327472527472528085e+00
5.555834770202636719e-01,1.544403753719386430e+00,5.219780219780218999e-01,-1.339194139194139765e+00
5.705840587615966797e-01,1.547455558098725703e+00,-2.747252747252915128e-02,-1.350915750915751445e+00
5.855846405029296875e-01,1.542877851529716793e+00,-6.978021978021970995e-01,-1.280586080586081366e+00
6.005849838256835938e-01,1.529144731822690062e+00,-1.115384615384616751e+00,-1.221978021978021189e+00
6.155862808227539062e-01,1.508163576714732557e+00,-1.302197802197802901e+00,-1.438827838827839045e+00
6.305868625640869141e-01,1.475738155184252776e+00,-2.137362637362638651e+00,-1.333333333333333925e+00
6.455872058868408203e-01,1.441405355916685949e+00,-2.675824175824175200e+00,-1.333333333333333925e+00
6.605877876281738281e-01,1.398298619058518710e+00,-3.093406593406594851e+00,-1.239560439560438709e+00
6.755881309509277344e-01,1.346036469062333651e+00,-3.697802197802197099e+00,-1.251282051282052166e+00
6.905884742736816406e-01,1.286526283665217818e+00,-4.214285714285715301e+00,-1.350915750915751445e+00
7.055888175964355469e-01,1.219005111772334615e+00,-4.631868131868131400e+00,-1.292307692307693046e+00
7.205893993377685547e-01,1.143472953383687596e+00,-5.236263736263737201e+00,-1.350915750915751445e+00
7.355897426605224609e-01,1.060311284046692393e+00,-5.653846153846153300e+00,-1.391941391941392325e+00
7.505903244018554688e-01,9.702830548561838242e-01,-6.258241758241759101e+00,-1.239560439560438709e+00
7.656061649322509766e-01,8.932249942778671681e-01,-6.324175824175824800e+00,3.267399267399268226e+00
7.806084156036376953e-01,7.921339742122537331e-01,-5.137362637362638651e+00,2.271062271062271876e+00
7.956087589263916016e-01,7.043945983062478433e-01,-5.972527472527470849e+00,2.306227106227106916e+00
8.106091022491455078e-01,6.200885023270004126e-01,-5.939560439560437999e+00,2.581684981684981395e+00
8.256094455718994141e-01,5.354009308003355727e-01,-5.335164835164835750e+00,2.546520146520146355e+00
8.406100273132324219e-01,4.526207370107577788e-01,-5.302197802197802901e+00,2.347252747252747795e+00
8.556103706359863281e-01,3.751812008850237135e-01,-5.104395604395605801e+00,2.353113553113553635e+00
8.706109523773193359e-01,2.996490424963766941e-01,-4.950549450549448949e+00,2.400000000000000355e+00
8.856117725372314453e-01,2.306019684138238546e-01,-4.500000000000000000e+00,2.423443223443223715e+00
9.006121158599853516e-01,1.642252231631946557e-01,-4.049450549450551051e+00,2.546520146520146355e+00
9.156126976013183594e-01,1.047150377660788223e-01,-3.796703296703295649e+00,2.364835164835165315e+00
9.306132793426513672e-01,4.711223010605003481e-02,-3.412087912087912400e+00,2.464468864468864595e+00
9.456136226654052734e-01,9.536888685435229718e-04,-3.258241758241759101e+00,2.429304029304029555e+00
9.606139659881591797e-01,-4.139009689478889698e-02,-2.961538461538459899e+00,2.505494505494505475e+00
9.756143093109130859e-01,-7.877470054169499747e-02,-2.005494505494507251e+00,2.511355311355311315e+00
9.906148910522460938e-01,-1.100556954299225509e-01,-1.851648351648350399e+00,2.552380952380952195e+00
1.005615711212158203e+00,-1.344701304646367390e-01,-1.532967032967032850e+00,2.575824175824175555e+00
1.024703502655029297e+00,-1.569771877622638812e-01,-8.846153846153832490e-01,2.517216117216117155e+00
1.039704561233520508e+00,-1.668955519951165201e-01,-2.747252747252915128e-02,2.347252747252747795e+00
1.054705142974853516e+00,-1.707103074692906119e-01,5.494505494507251342e-03,2.364835164835165315e+00
1.070399522781372070e+00,-1.668955519951165201e-01,4.560439560439562001e-01,2.388278388278388675e+00
1.085400104522705078e+00,-1.558327611200116536e-01,1.027472527472529151e+00,2.358974358974359475e+00
1.100400924682617188e+00,-1.382848859388108309e-01,1.159340659340660551e+00,2.616849816849816435e+00
1.115406036376953125e+00,-1.211184863050274174e-01,1.796703296703295649e+00,2.212454212454211699e+00
1.130406618118286133e+00,-9.822995345998286609e-02,1.664835164835164250e+00,2.230036630036629219e+00
1.145407438278198242e+00,-6.771190966659013100e-02,1.983516483516481799e+00,2.411721611721612035e+00
1.160407781600952148e+00,-3.185320820935366726e-02,2.500000000000000000e+00,2.534798534798534675e+00
1.175408363342285156e+00,7.438773174639479180e-03,2.686813186813186149e+00,2.400000000000000355e+00
1.190408706665039062e+00,5.283436331731117264e-02,2.972527472527470849e+00,2.423443223443223715e+00
1.205409288406372070e+00,1.016632333867395488e-01,3.489010989010989050e+00,2.341391941391941955e+00
1.220410108566284180e+00,1.550698100251768352e-01,3.620879120879120450e+00,2.353113553113553635e+00
1.235411405563354492e+00,2.130540932326230319e-01,3.741758241758240899e+00,2.599267399267398915e+00
1.250412702560424805e+00,2.763790341039147336e-01,4.093406593406594851e+00,2.441025641025641235e+00
1.265413761138916016e+00,3.397039749752046589e-01,4.478021978021978100e+00,2.558241758241758035e+00
1.280414104461669922e+00,4.083695735103383129e-01,4.642857142857142350e+00,2.376556776556776995e+00
1.295414447784423828e+00,4.716945143816282382e-01,4.763736263736262799e+00,2.505494505494505475e+00
1.310414791107177734e+00,5.437933928435185749e-01,4.928571428571427049e+00,2.528937728937728835e+00
1.325415372848510742e+00,6.170366979476611391e-01,5.082417582417583901e+00,2.540659340659340515e+00
1.340415954589843750e+00,6.918059052414733401e-01,5.115384615384616751e+00,2.534798534798534675e+00
