time,position,velocity,torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.185202899211228234e-01
1.499999999999999944e-02,1.116071428571428770e-01,2.132493622448979664e+00,1.208332959276879892e+00
2.999999999999999889e-02,4.132861556883686838e-01,3.564304834117454135e+00,1.720780669257286899e+00
4.499999999999999833e-02,8.161629350992312126e-01,4.069202740676013619e+00,2.274009557151571492e+00
5.999999999999999778e-02,1.227189168992103951e+00,3.845046921243653326e+00,2.500000000000000000e+00
7.499999999999999722e-02,1.590678587442365011e+00,3.328183345971292173e+00,2.500000000000000000e+00
8.999999999999999667e-02,1.897645339826391497e+00,2.876182201455239174e+00,2.500000000000000000e+00
1.049999999999999961e-01,2.167897530540941808e+00,2.681188686135250521e+00,2.500000000000000000e+00
1.199999999999999956e-01,2.403955712176367943e+00,2.271101086677983272e+00,2.500000000000000000e+00
1.350000000000000089e-01,2.593457782421200175e+00,1.768801257415952177e+00,2.500000000000000000e+00
1.499999999999999944e-01,2.737651322557648648e+00,1.334130445429024148e+00,2.500000000000000000e+00
1.649999999999999800e-01,2.845043562576807794e+00,9.894108027627815938e-01,2.500000000000000000e+00
1.799999999999999933e-01,2.924304895283016847e+00,7.302472186890014427e-01,2.500000000000000000e+00
1.950000000000000067e-01,2.982354969598942862e+00,5.318983976496906019e-01,2.500000000000000000e+00
2.099999999999999922e-01,3.024779884356341153e+00,3.907402283726565950e-01,2.500000000000000000e+00
2.249999999999999778e-01,3.055979368309692301e+00,2.879198011612395525e-01,2.500000000000000000e+00
2.399999999999999911e-01,3.078894829387105236e+00,2.108336816726137930e-01,2.500000000000000000e+00
2.550000000000000044e-01,3.095744249368804990e+00,1.557457704611729388e-01,2.500000000000000000e+00
2.700000000000000178e-01,3.108128371437927306e+00,1.138667622719586187e-01,2.500000000000000000e+00
2.849999999999999756e-01,3.117161121937444879e+00,8.284631591826412123e-02,2.500000000000000000e+00
2.999999999999999889e-01,3.123727221477919258e+00,6.016656125680013706e-02,2.500000000000000000e+00
3.150000000000000022e-01,3.128553015608235732e+00,4.478952511005918763e-02,2.500000000000000000e+00
3.299999999999999600e-01,3.132103865190307701e+00,3.254805439963416591e-02,2.500000000000000000e+00
3.449999999999999734e-01,3.134700075271998010e+00,2.395523349328275431e-02,2.500000000000000000e+00
3.599999999999999867e-01,3.136612714123049539e+00,1.766614259069259479e-02,2.500000000000000000e+00
3.750000000000000000e-01,3.138022829103406686e+00,1.302074838718800080e-02,2.500000000000000000e+00
3.900000000000000133e-01,3.139058663675652561e+00,9.530318472894793932e-03,2.500000000000000000e+00
4.049999999999999711e-01,3.139818623407608200e+00,7.009914216284282053e-03,2.500000000000000000e+00
4.199999999999999845e-01,3.140334056919715344e+00,4.324022389868589084e-03,2.500000000000000000e+00
4.349999999999999978e-01,3.140681831114525480e+00,3.237255196081705640e-03,2.500000000000000000e+00
4.499999999999999556e-01,3.140936587931250301e+00,2.316428629375204447e-03,-1.399999999999999911e+00
4.649999999999999689e-01,3.141129187214093399e+00,1.854469380893211802e-03,-1.399999999999999911e+00
4.799999999999999822e-01,3.141283563964359704e+00,1.488211152158666660e-03,-1.399999999999999911e+00
