time,position,velocity,torque
0.000000000000000000e+00,1.907377737087045944e-04,5.494505494507251342e-03,2.930402930402919992e-03
1.500082015991210938e-02,1.716639963378341349e-03,-2.747252747252915128e-02,7.238095238095230144e-01
3.000187873840332031e-02,4.386968795300205670e-03,1.923076923076934008e-01,1.227838827838827029e+00
4.500198364257812500e-02,8.964675364309115935e-03,2.252747252747262507e-01,1.690842490842490164e+00
6.000232696533203125e-02,1.621271076523989052e-02,4.230769230769233502e-01,2.358974358974359475e+00
7.500243186950683594e-02,2.841992828259698456e-02,1.027472527472529151e+00,2.388278388278388675e+00
9.000277519226074219e-02,4.253452353704112454e-02,8.956043956043941989e-01,2.499633699633699635e+00
1.050033569335937500e-01,6.313420309758122073e-02,1.225274725274726251e+00,2.722344322344321554e+00
1.200037002563476562e-01,8.678568703746059043e-02,2.049450549450551051e+00,2.411721611721612035e+00
1.350040435791015625e-01,1.131074998092618245e-01,2.335164835164835750e+00,2.394139194139194515e+00
1.500086784362792969e-01,1.443884946974893779e-01,2.247252747252748151e+00,2.487912087912087955e+00
1.650090217590332031e-01,1.771953917753865682e-01,2.181318681318682451e+00,2.376556776556776995e+00
1.800096035003662109e-01,2.172503242542145330e-01,2.532967032967032850e+00,2.657875457875457315e+00
1.950101852416992188e-01,2.557793545433746374e-01,2.851648351648350399e+00,2.353113553113553635e+00
2.100105285644531250e-01,2.988860914015418757e-01,2.917582417582416099e+00,2.464468864468864595e+00
2.250111103057861328e-01,3.458075837338832059e-01,3.137362637362638651e+00,2.546520146520146355e+00
2.400114536285400391e-01,3.934920271610593545e-01,3.269230769230770051e+00,2.517216117216117155e+00
2.550125122070312500e-01,4.453727016098270042e-01,3.357142857142857650e+00,2.593406593406593075e+00
2.700126171112060547e-01,4.983978027008468814e-01,3.521978021978021900e+00,2.517216117216117155e+00
2.850131988525390625e-01,5.529488059815363954e-01,3.675824175824175200e+00,2.312087912087912756e+00
3.000137805938720703e-01,6.090257114518955461e-01,3.708791208791208049e+00,2.376556776556776995e+00
3.150141239166259766e-01,6.685358968490113796e-01,3.708791208791208049e+00,2.616849816849816435e+00
