time,cart_pos,pend_pos,cart_vel,pend_vel,torque
0.000000000000000000e+00,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.914543447630813938e-03
2.000000000000000042e-02,0.000000000000000000e+00,3.141592653589793116e+00,-1.432656488641239213e-04,-1.914744389417804498e-08,8.587719245610804866e-03
4.000000000000000083e-02,-2.865312977282478578e-06,3.141592653206844332e+00,2.618953200240261040e-05,5.907379688987226792e-05,-2.259526779211381599e-03
5.999999999999999778e-02,-2.341522337234426506e-06,3.141593834682782305e+00,-1.726061387556478887e-05,4.769471586646561469e-05,-2.428248819235258663e-02
8.000000000000000167e-02,-2.686734614745722334e-06,3.141594788577099617e+00,-4.550958165588772967e-04,5.322665502633305498e-05,3.510451602675616813e-03
1.000000000000000056e-01,-1.178865094592326901e-05,3.141595853110199954e+00,-3.470203522384396637e-04,2.384447552960936901e-04,-1.189922983416676072e-02
1.199999999999999956e-01,-1.872905799069206174e-05,3.141600622005305876e+00,-5.283965523473756155e-04,3.763024228830048347e-04,-3.359953573193842809e-03
1.400000000000000133e-01,-2.929698903763957338e-05,3.141608148053763649e+00,-5.373632890616062601e-04,5.833368954648753728e-04,-2.304900683900619755e-04
1.600000000000000033e-01,-4.004425481887169668e-05,3.141619814791672738e+00,-4.886401066653214701e-04,7.852940408869242377e-04,6.535709903807227633e-03
1.799999999999999933e-01,-4.981705695217812256e-05,3.141635520672490411e+00,-3.219663670375995596e-04,9.547227978533943255e-04,1.407618965985818309e-02
2.000000000000000111e-01,-5.625638429293011754e-05,3.141654615128447681e+00,-3.479352050690643315e-05,1.039676877235241057e-03,-1.802165910699822732e-03
2.200000000000000011e-01,-5.695225470306824702e-05,3.141675408665992375e+00,-6.277598317795400249e-05,9.881914111247191469e-04,-1.511185033131313277e-02
2.399999999999999911e-01,-5.820777436662732599e-05,3.141695172494214816e+00,-3.286070945158807649e-04,9.300204454184774275e-04,-1.487646182756471869e-02
2.600000000000000089e-01,-6.477991625694494752e-05,3.141713772903123036e+00,-5.638690923862983099e-04,9.642584339402862203e-04,8.262636028021471063e-04
2.800000000000000266e-01,-7.605729810467091968e-05,3.141733058071801921e+00,-4.915697490256112521e-04,1.078484221223701030e-03,-1.972069864776990547e-02
2.999999999999999889e-01,-8.588869308518314635e-05,3.141754627756226270e+00,-7.979226711617682603e-04,1.144400301704615128e-03,-1.110290534062687018e-02
3.200000000000000067e-01,-1.018471465084185045e-04,3.141777515762260276e+00,-9.179575778593628520e-04,1.316621785253052710e-03,1.295325196433122494e-02
