time,cart_pos,pend_pos,cart_vel,pend_vel,force
2.384185791015625000e-06,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.544250976000000719e+00
1.000356674194335938e-02,0.000000000000000000e+00,3.141592653589793116e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.544250976000000719e+00
2.000498771667480469e-02,2.042578124999999581e-04,3.140058672801907313e+00,2.042287921046985130e-02,-1.533762844061258290e-01,3.544136096768885746e+00
3.000569343566894531e-02,6.808593749999999325e-04,3.136990711226136153e+00,4.765679301959661884e-02,-3.067745079174005185e-01,3.543780969609710674e+00
4.000663757324218750e-02,1.407109374999999723e-03,3.133922749650364992e+00,7.261814384818936208e-02,-3.067671945336563621e-01,3.543747631480535620e+00
5.000758171081542969e-02,2.360312499999999564e-03,3.129320807286708028e+00,9.531131380074854553e-02,-4.601507918005067199e-01,3.543102293245721235e+00
6.000828742980957031e-02,3.585859374999999637e-03,3.124718864923051065e+00,1.225460391932484683e-01,-4.601617618761230100e-01,3.542983404625934529e+00
7.000946998596191406e-02,5.151835937499999081e-03,3.118582941771508299e+00,1.565791398874796791e-01,-6.135197629972448663e-01,3.541977079695343367e+00
8.001017570495605469e-02,6.967460937499998612e-03,3.110913037832080175e+00,1.815496876937013893e-01,-7.669362697935235840e-01,3.540596785392700063e+00
9.001207351684570312e-02,9.010039062499999168e-03,3.101709153104766248e+00,2.042190555648256967e-01,-9.202138334559775146e-01,3.538781503008124663e+00
1.000134944915771484e-01,1.134765624999999924e-02,3.092505268377452765e+00,2.337285065198216882e-01,-9.202577064366218584e-01,3.538055780603825085e+00
1.100142002105712891e-01,1.388953124999999823e-02,3.081767402862253036e+00,2.541695627711819117e-01,-1.073710777710968456e+00,3.535552941098265567e+00
1.200153827667236328e-01,1.668105468749999862e-02,3.071029537347053751e+00,2.791193363211595946e-01,-1.073659585245123171e+00,3.534313782727787068e+00
1.300160884857177734e-01,1.969953124999999569e-02,3.058757691043968663e+00,3.018263557907783223e-01,-1.227098031669646483e+00,3.530954752081846948e+00
1.400170326232910156e-01,2.292226562499999690e-02,3.046485844740883575e+00,3.222430133263404772e-01,-1.227068778134669857e+00,3.529022787875119249e+00
1.500177383422851562e-01,2.637195312499999653e-02,3.032680017649912685e+00,3.449444066180326618e-01,-1.380485285628369141e+00,3.524613278248329706e+00
1.600186824798583984e-01,3.002589843749999682e-02,3.018874190558941795e+00,3.653600362362028342e-01,-1.380452375401520326e+00,3.521786562902700091e+00
1.700203418731689453e-01,3.388410156249999777e-02,3.006602344255856707e+00,3.857563003575686378e-01,-1.226981025897854405e+00,3.520910817174634833e+00
1.800212860107421875e-01,3.796925781249999715e-02,2.991262536377000458e+00,4.084770591460651912e-01,-1.533835972668326164e+00,3.512983899258841802e+00
1.900222301483154297e-01,4.225867187499999372e-02,2.977456709286029568e+00,4.289009121033681704e-01,-1.380452375401520326e+00,3.511296245741149402e+00
2.000234127044677734e-01,4.675234374999999443e-02,2.962116901407172875e+00,4.493140535901593013e-01,-1.533799407493090072e+00,3.423800943036632294e+00
2.100245952606201172e-01,5.145027343749999232e-02,2.948311074316202429e+00,4.697374196624389819e-01,-1.380419466743723289e+00,3.265648180439681525e+00
2.200253009796142578e-01,5.630707031249999189e-02,2.932971266437345736e+00,4.856454145806512468e-01,-1.533872539587091577e+00,3.142461173225023607e+00
2.300262451171875000e-01,6.132273437499999313e-02,2.919165439346375290e+00,5.015190559515579904e-01,-1.380452375401475917e+00,3.019540190151153602e+00
2.400269508361816406e-01,6.645187499999999359e-02,2.903825631467518598e+00,5.128778677347065607e-01,-1.533872539587091577e+00,2.931580768723458075e+00
2.500281333923339844e-01,7.169449218749998631e-02,2.891553785164433510e+00,5.241997291885184262e-01,-1.227039525994445324e+00,2.843907480181144365e+00
2.600293159484863281e-01,7.650589843749998342e-02,2.879281938861348422e+00,4.810837341470389217e-01,-1.227039525994445324e+00,3.177785534552485913e+00
2.700307369232177734e-01,8.252015624999999022e-02,2.865476111770377532e+00,6.013403323082797680e-01,-1.380386559654999346e+00,2.246552497236189883e+00
2.800316810607910156e-01,8.753582031249998452e-02,2.854738246255178247e+00,5.015190559515573243e-01,-1.073685180867819389e+00,3.019540190151158043e+00
2.900326251983642578e-01,9.323234374999998797e-02,2.844000380739978517e+00,5.695985658092358461e-01,-1.073685180867863798e+00,2.492351747162222519e+00
3.000335693359375000e-01,9.899695312499998123e-02,2.833262515224779232e+00,5.764065167950025437e-01,-1.073685180867819389e+00,2.439632902863337005e+00
3.100342750549316406e-01,1.048069531249999908e-01,2.825592611285351108e+00,5.809590006198455114e-01,-7.669362697935235840e-01,2.404379757469538248e+00
3.200354576110839844e-01,1.106850390624999902e-01,2.817922707345922984e+00,5.877390903022789992e-01,-7.668997037465228317e-01,2.351876663212841390e+00
3.300361633300781250e-01,1.166085156249999782e-01,2.810252803406494415e+00,5.923058561006997458e-01,-7.669362697935679929e-01,2.316512922260570040e+00
3.400368690490722656e-01,1.226000781249999838e-01,2.805650861042837896e+00,5.991139693892152396e-01,-4.601617618760786010e-01,2.263792821135165223e+00
